Text,Handle,Time Created,Location
"South Central - stay safe, shelter in place, and keep up to date with State and local emergency alerts. If you need shelter the Eagan Center is open.",MarkBegich,2018-11-30 21:15:40,"Anchorage, Alaska"
"Too much of a begich to answer me? #THEGINBEGICHISSILENT? @markbegich. Don't make me send the #hellhounds after you, cuz boy, they gotta bite.

@seanhannity @Acosta BCC @IvankaTrump @MELANIATRUMP",SHERIFFMEOWMEOW,2018-11-23 17:13:26,INDIGICA
To @markbegich via @ICEgov? https://t.co/SqlVSHptyS,SHERIFFMEOWMEOW,2018-11-23 17:09:24,INDIGICA
"What you know about that, @markbegich? CC @realDonaldTrump &amp; @MELANIATRUMP https://t.co/3rqS1P3322",SHERIFFMEOWMEOW,2018-11-23 15:14:33,INDIGICA
"RT @MarkBegich: Thank you Alaska.  We may have come up short, but we will never stop fighting for our shared values - good public education…",acobasi,2018-11-22 16:17:42,"Camden, New Jersey, USA"
@MarkBegich @TomBegich Does he have a plan for this? https://t.co/GAPuiTl9lB,TheGeor78353755,2018-11-21 19:30:07,Bearing Sea
"@MarkBegich @TomBegich If you guys worked from the outside in, instead of the inside out, then we might have a chance.",TheGeor78353755,2018-11-21 05:48:54,Bearing Sea
"@MarkBegich @TomBegich How is that not any different than any other politicians rehteric before him? I would be nice to here something original, if'n hes looking for a strong political future, talk out here in the farthest villages for more than 1 day and take commercial flights like the rest of us.",TheGeor78353755,2018-11-21 05:19:39,Bearing Sea
@TheGeor78353755 @TomBegich Because he is my brother and cares about Alaska and will bring common sense solutions to the challenges we face as a State.,MarkBegich,2018-11-21 03:38:10,"Anchorage, Alaska"
Congratulations Senator Tom Begich! https://t.co/lntdRJQOyy,ErikGunderson4,2018-11-21 02:46:22,"Eagle River, AK"
@MarkBegich @TomBegich How are we lucky?,TheGeor78353755,2018-11-21 02:42:32,Bearing Sea
@MarkBegich @TomBegich Wish he was the Majority leader and wish you were Governor,kathy_trump,2018-11-21 02:39:21,"Talkeetna, Alaska"
"@MarkBegich @TomBegich You’ll land on your feet, too, no doubt!",robcacy,2018-11-21 02:16:57,"NYC, USA"
@MarkBegich @TomBegich #TomBegich is the best. And you too #MarkBegich. So wanted you to be our governor..because everything!!!,akmk,2018-11-21 01:39:23,Alaska
"Congrats to my brother and new Minority Leader @TomBegich. Alaskans are lucky to have your focus on crime, education, and the permanent fund.",MarkBegich,2018-11-21 01:35:34,"Anchorage, Alaska"
"@susiehaidalife @alaskarobotics I wish I was surprised.

This is what @MarkBegich gave us by deciding on a vanity run for Governor.

Dunleavy was a terrible rural educator and I don’t believe there is any hope that he will be any better as a governor.",JuliaFBXLawRpt,2018-11-19 23:51:41,"Fairbanks, AK"
