Text,Handle,Time Created,Location
@WaltMaddox @CoachBillClark Yep!,Jcraft24,2018-11-30 20:55:40,
RT @EBRINDLEY: @CharlesScribner @CoachBillClark @ConferenceUSA @UAB_Athletics @UABFBRBU @UAB_FB @WaltMaddox @UABslant @now_bham @HarmonyWVT…,CharlesScribner,2018-11-30 18:54:14,Alabama
@CharlesScribner @CoachBillClark @ConferenceUSA @UAB_Athletics @UABFBRBU @UAB_FB @WaltMaddox @UABslant @now_bham @HarmonyWVTM13 @UABFootball47 @UAB_AD @JohnArchibald https://t.co/BSO8GTytJe,EBRINDLEY,2018-11-30 18:52:57,"Kimberly, AL"
"And this guy isnt governor, the state of Alabama is missing out https://t.co/ZtafK36zKH",gerald_reed,2018-11-30 18:32:29,"Birmingham, AL"
Well earned and deserved!  Congrats @CoachBillClark https://t.co/BaV2DDSo5I,WaltMaddox,2018-11-30 18:31:24,"Tuscaloosa,Alabama"
"@WaltMaddox @tuscaloosacity @GovernorKayIvey Such a class act, Walt.",resistHSV,2018-11-30 18:27:46,"Huntsville, AL"
I’ve had the honor of working with Jo the last several years in @tuscaloosacity - He will serve @GovernorKayIvey and #Alabama well   #alpolitics https://t.co/qukHAd6EIM,WaltMaddox,2018-11-30 18:19:17,"Tuscaloosa,Alabama"
"@mcoop5 @rogerpatmyers @WaltMaddox Still have the app downloaded! I use it when I visit my friends in B’ham, Nashville, Atlanta, Dallas, Charlotte........

 If only I could use it in Tuscaloosa, too.",R0bGrady,2018-11-30 18:08:30,"Tuscaloosa, AL"
@R0bGrady @rogerpatmyers @WaltMaddox Atlanta has these awesome things for the weekend https://t.co/ORGWA1z5Pm,mcoop5,2018-11-30 18:07:04,
@WaltMaddox @GovernorKayIvey Agree. This is a big net positive.,BraggBobby,2018-11-30 17:21:04,"Tuscaloosa, AL"
@WaltMaddox Isn’t the state of Alabama still paying his legal bills?,MaryWynneKling,2018-11-30 02:49:11,"Auburn, AL"
@WaltMaddox https://t.co/Z7lVcCcKjQ,BraggBobby,2018-11-30 02:43:07,"Tuscaloosa, AL"
"@WaltMaddox Hummm, no parade necessary.",stormcoinc,2018-11-30 02:10:42,
"Honoring convicted criminals. 
Will Alabama always glorify crime in government? @GovernorKayIvey @WaltMaddox #DrainBAMASwamp https://t.co/hx836fX1LE",jgrantburns,2018-11-30 01:32:53,"Huntsville, AL"
@WaltMaddox Like @WaltMaddox ! https://t.co/CaC4HSlsOI,ProfSButler,2018-11-30 00:54:01,"Atlanta, Georgia"
😂😂 https://t.co/G8LmStsSPe,RickNCindy,2018-11-29 23:59:50,
@WaltMaddox Go Nights! Charge On!,DisneyWeaver,2018-11-29 23:48:18,"Birmingham, AL"
@WaltMaddox Turns out you never needed me to handle social media after all. Flame throwing!,Scott_Hardy,2018-11-29 22:37:06,"Alexander City, AL"
😭😭😭😭 https://t.co/gV7f11dxA0,SLayravia,2018-11-29 22:17:13,Hellianz Arena 
@WaltMaddox 🤣🤣🤣🤣🤣,pambroo52110471,2018-11-29 21:15:47,"Valley, AL"
@WaltMaddox https://t.co/sSpaWR1OWp,JBALLR,2018-11-29 20:57:07,"Hueytown, AL"
@WaltMaddox The College Basketball Championship is the first Monday in April.,moose6747,2018-11-29 20:48:59,Alabama
