Text,Handle,Time Created,Location
RT @kayiveyforgov: BREAKING NEWS: New report shows Alabama has broken more jobs records! Vote on Nov 6 to keep Alabama working! https://t.c…,heath5988,2018-10-19 22:20:03,
RT @kayiveyforgov: BREAKING NEWS: New report shows Alabama has broken more jobs records! Vote on Nov 6 to keep Alabama working! https://t.c…,labounty58,2018-10-19 22:16:37,OH
@kayiveyforgov just think about money we could be pulling in for  education if we only had a lottery. Yet  the money being spent on lottery by Alabama citizens today and yesterday is all going to Georgia and Florida. Alabama still sucks when it comes to taking care of our kids,joeregular57,2018-10-19 22:15:55,"Prattville, AL"
RT @kayiveyforgov: BREAKING NEWS: New report shows Alabama has broken more jobs records! Vote on Nov 6 to keep Alabama working! https://t.c…,gregproughyaho1,2018-10-19 22:12:13,"Atascadero, CA"
@Alabama_Lotto @GovernorKayIvey @ADECA @GeorgiaLottery @kayiveyforgov @reprowe13 @RepCraigFord @SenatorDelMarsh,kfow34,2018-10-19 21:57:59,"Alabama, USA"
RT @kayiveyforgov: BREAKING NEWS: New report shows Alabama has broken more jobs records! Vote on Nov 6 to keep Alabama working! https://t.c…,JackMarlow777,2018-10-19 21:42:27,Atlanta Ga
RT @kayiveyforgov: BREAKING NEWS: New report shows Alabama has broken more jobs records! Vote on Nov 6 to keep Alabama working! https://t.c…,Watchman33Eze,2018-10-19 21:34:18,
RT @kayiveyforgov: BREAKING NEWS: New report shows Alabama has broken more jobs records! Vote on Nov 6 to keep Alabama working! https://t.c…,mikeschmidt1995,2018-10-19 21:33:52,
RT @kayiveyforgov: BREAKING NEWS: New report shows Alabama has broken more jobs records! Vote on Nov 6 to keep Alabama working! https://t.c…,g_scog,2018-10-19 21:28:54,
RT @kayiveyforgov: BREAKING NEWS: New report shows Alabama has broken more jobs records! Vote on Nov 6 to keep Alabama working! https://t.c…,DJTsavesAmerica,2018-10-19 21:19:44,USA
RT @kayiveyforgov: BREAKING NEWS: New report shows Alabama has broken more jobs records! Vote on Nov 6 to keep Alabama working! https://t.c…,Athletics89,2018-10-19 21:18:30,"Florida, USA"
RT @kayiveyforgov: BREAKING NEWS: New report shows Alabama has broken more jobs records! Vote on Nov 6 to keep Alabama working! https://t.c…,BGal1964,2018-10-19 21:18:01,United States
RT @kayiveyforgov: BREAKING NEWS: New report shows Alabama has broken more jobs records! Vote on Nov 6 to keep Alabama working! https://t.c…,sxdoc,2018-10-19 21:17:33,USA
RT @kayiveyforgov: BREAKING NEWS: New report shows Alabama has broken more jobs records! Vote on Nov 6 to keep Alabama working! https://t.c…,beaglebabe48,2018-10-19 21:16:59,USA
RT @kayiveyforgov: BREAKING NEWS: New report shows Alabama has broken more jobs records! Vote on Nov 6 to keep Alabama working! https://t.c…,AllTogetherNows,2018-10-19 21:07:23,
RT @kayiveyforgov: BREAKING NEWS: New report shows Alabama has broken more jobs records! Vote on Nov 6 to keep Alabama working! https://t.c…,aircrafttest1,2018-10-19 21:05:13,"Washington, USA"
@mattmurphyshow @AunieLindenberg @kayiveyforgov @WaltMaddox How about that?! One of my followers even looks like a real person! Really underestimated myself there.,JXcommenter,2018-10-19 21:00:45,"Alabama, USA"
"Meanwhile, do you want to jumpstart Alabama’s economy? ⁦@WaltMaddox⁩ ⁦@kayiveyforgov⁩  https://t.co/3HmQrDw7PI",Alabama_Dad,2018-10-19 21:00:00,"Birmingham, AL"
"@mattmurphyshow @AunieLindenberg @kayiveyforgov @WaltMaddox Asking legitimate questions isn’t trolling. Admittedly the name calling was unnecessary, but what’s good for the goose is good for the gander. Btw, you’ve had 10 hours to come up with one benefit for Alabamians of not getting a debate and you’ve failed completely. Tick tock.",JXcommenter,2018-10-19 20:57:55,"Alabama, USA"
RT @kayiveyforgov: BREAKING NEWS: New report shows Alabama has broken more jobs records! Vote on Nov 6 to keep Alabama working! https://t.c…,stoughton_sam,2018-10-19 20:56:06,
@MDJD2 @Donin_AL @WaltMaddox @kayiveyforgov @BillClinton Walt’s a moderate.,H_Threadgill,2018-10-19 20:55:30,
"@kfow34 @GovernorKayIvey @ADECA @GeorgiaLottery https://t.co/iYjB4kuFXF
@GovernorKayIvey @kayiveyforgov does have a big voice in whether AL gets a lottery or not. Just look what Mississippi Gov Phil Bryant did. He called a special session in August &amp; Miss passed a lottery. Ivey won't help AL move forward.",Alabama_Lotto,2018-10-19 20:53:03,
RT @kayiveyforgov: BREAKING NEWS: New report shows Alabama has broken more jobs records! Vote on Nov 6 to keep Alabama working! https://t.c…,edmgail1944,2018-10-19 20:51:54,United States
RT @kayiveyforgov: BREAKING NEWS: New report shows Alabama has broken more jobs records! Vote on Nov 6 to keep Alabama working! https://t.c…,beth2_k3a,2018-10-19 20:51:45,United States
RT @kayiveyforgov: BREAKING NEWS: New report shows Alabama has broken more jobs records! Vote on Nov 6 to keep Alabama working! https://t.c…,mattwethington,2018-10-19 20:32:49,
@H_Threadgill @Donin_AL @WaltMaddox @kayiveyforgov @BillClinton was a great President. But since him Democrats have gone too far left. Walter Maddox is not the answer for Alabama. Democrats are not the answer for Alabama.,MDJD2,2018-10-19 20:22:43,"Tuscaloosa, Alabama"
RT @kayiveyforgov: BREAKING NEWS: New report shows Alabama has broken more jobs records! Vote on Nov 6 to keep Alabama working! https://t.c…,hinkymeter,2018-10-19 19:19:54,Alabama
RT @kayiveyforgov: BREAKING NEWS: New report shows Alabama has broken more jobs records! Vote on Nov 6 to keep Alabama working! https://t.c…,ALGOP,2018-10-19 19:18:31,Alabama
RT @kayiveyforgov: BREAKING NEWS: New report shows Alabama has broken more jobs records! Vote on Nov 6 to keep Alabama working! https://t.c…,willdowe,2018-10-19 19:05:06,"Montgomery, AL"
"@MDJD2 @Donin_AL @WaltMaddox @kayiveyforgov Do you have a problem with putting people over party, or do you think all Democrats are the scum of the earth?

I’ve never understood how helping people is a bad thing.",H_Threadgill,2018-10-19 19:04:02,
"RT @DeplorableJuJuV: 🚨Let's #MAGA For @NatlGovsAssoc By State @GOP🚨

🗳️ALABAMA - Kay Ivey
       👉@kayiveyforgov
       👉https://t.co/5Q2w5…",OtakuBubba,2018-10-19 18:59:33,
"@mattmurphyshow @AunieLindenberg @kayiveyforgov @WaltMaddox Again,  it doing this for attention. I want @kayiveyforgov to debate @WaltMaddox . And you still haven’t answered the question, Little Man.",JXcommenter,2018-10-19 18:56:51,"Alabama, USA"
