State,Candidates,Twitter
Alabama,Tony Hewitt Jr,No Page
,Kay Ivey,https://www.twitter.com/kayiveyforgov
,Eric Lathan,No Page
,Walt Maddox,https://www.twitter.com/waltmaddox
Alaska,Mark Begich,https://www.twitter.com/MarkBegich
,Mike J. Dunleavy,No Page
,Bill Walker,No Twitter
Arizona,Doug Ducey,https://www.twitter.com/dougducey
,David Garcia,https://www.twitter.com/dg4az
,Kevin McCormick,No Twitter
Arkansas,Asa Hutchinson,https://twitter.com/wolfforpa
,Jared Henderson,https://www.twitter.com/JaredforGov
,Mark West,https://www.twitter.com/MarkWest4Gov
California,John H. Cox,No Page
,Gavin Newsom,https://www.twitter.com/GavinNewsom
Colorado,Marcus Giavanni,No Twitter
,Bill Hammons,No Twitter
,Scott Helker,No Twitter
,Jared Polis,https://www.twitter.com/polisforco
,Walker Stapleton,https://www.twitter.com/WalkerStapleton
Connecticut,Oz Griebel,https://www.twitter.com/ozforgovct
,Ned Lamont,https://www.twitter.com/NedLamont
,Bob Stefanowski,https://www.twitter.com/bobforgovernor
,Micah Welintukonis,https://www.twitter.com/MWelintukonis
Florida,Riquet Caballero,https://twitter.com/riquet4liberty
,Ron DeSantis,https://www.twitter.com/RonDeSantisFL
,Andrew Gillum,https://www.twitter.com/AndrewGillum
,Darcy Richardson,https://www.twitter.com/DarcyRichardson
Georgia,Stacey Abrams,https://www.twitter.com/staceyabrams
,Brian Kemp,https://twitter.com/BrianKempGA
,Ted Metz,https://twitter.com/tedmetz
Hawaii,Selina Blackwell,No Twitter
,Jim Brewer,No Twitter
,David Ige,https://twitter.com/GovHawaii
,Eric Link,No Page
,Terrence Teruya,No Twitter
,Andria Tupola,https://twitter.com/votetupola
Idaho,Paulette Jordan,https://www.twitter.com/PauletteEJordan
,Brad Little,https://www.twitter.com/LtGovBradLittle
,Adam Philips,No Page
,Michael Richardson,No Page
,John Thomas Wiechec,No Page
Illinois,Kash Jackson,https://www.twitter.com/kashjackson2018
,Sam McCann,https://twitter.com/mccann_sam
,Gregg Moore,No Page
,J. B. Pritzker,https://twitter.com/jbpritzker
,Bruce Rauner,https://www.twitter.com/BruceRauner
,Dock Walls,https://twitter.com/dockwalls
Iowa,Marco Battaglia,https://www.twitter.com/marcobattaglia
,Fred Hubbell,https://www.twitter.com/fredhubbell
,Jake Porter,https://www.twitter.com/jakedporter
,Kim Reynolds,https://twitter.com/IAGovernor
Kansas,Jeff Caldwell,https://twitter.com/caldwellforks
,Ilan Cohen,No Page
,Aaron Coleman,No Twitter
,Max Correa,No Page
,Joe Larry Hunter,No Page
,Laura Kelly,https://twitter.com/senatorkelly
,Rick Kloos,https://www.twitter.com/kloosforkansas
,Kris Kobach,https://twitter.com/kriskobach1787
,Greg Orman,https://www.twitter.com/GregOrman
,Jared Rogers,No Page
,Nicholas Schreiber,No Page
,Conner Shelton,https://twitter.com/shelton4kansas
Maine,Kenneth Capron,No Twitter
,Alan Caron,https://twitter.com/alancaronforme
,Aaron Chadbourne,https://twitter.com/aaronchadbourne
,Terry Hayes,https://twitter.com/hayesformaine
,John Jenkins,No Twitter
,Janet Mills,https://twitter.com/janetmillsforme
,Shawn Moody,https://twitter.com/Moody4Gov
Maryland,Larry Hogan,https://www.twitter.com/LarryHogan 
,Ben Jealous,https://www.twitter.com/BenJealous
Massachusetts,Charlie Baker,https://www.twitter.com/BakerPolito
,Jay Gonzalez,https://www.twitter.com/jay4ma
Michigan,Bill Gelineau,https://www.twitter.com/BillGelineau
,Jennifer Kurland,https://www.twitter.com/kurland4mi
,Bill Schuette,https://www.twitter.com/SchuetteOnDuty
,Gretchen Whitmer,https://www.twitter.com/gretchenwhitmer
Minnesota,Jeff Johnson,https://twitter.com/mnjeffjohnson
,Jenny Rhoades,No Page
,Tim Walz,https://www.twitter.com/Tim_Walz
,Chris Wright,No Twitter
Nebraska,Bob Krist,https://www.twitter.com/bobkristne
,Pete Ricketts,https://twitter.com/RickettsForGov
Nevada,Adam Laxalt,https://www.twitter.com/AdamLaxalt
,Steve Sisolak,https://www.twitter.com/stevesisolak
New Hampshire,Jilletta Jarvis,https://www.twitter.com/Jarvis4Gov
,Molly Kelly,https://www.twitter.com/NHMollyKelly
,Chris Sununu,https://www.twitter.com/ChrisSununu
New Mexico,Michelle Lujan Grisham,http://twitter.com/Michelle4NM
,Steve Pearce,https://www.twitter.com/pearce4nm
New York,Andrew Cuomo,https://www.twitter.com/andrewcuomo
,Howie Hawkins,https://www.twitter.com/HowieHawkins
,Stephanie Miner,https://www.twitter.com/MinerForNY
,Marcus Molinaro,https://www.twitter.com/marcmolinaro
,Larry Sharpe,https://www.twitter.com/LarrySharpe
Ohio,Richard Cordray,https://www.twitter.com/RichCordray
,Mike DeWine,https://www.twitter.com/MikeDeWine
,Constance Gadell-Newton,https://www.twitter.com/ConstanceForOH
Oklahoma,Kevin Stitt,https://www.twitter.com/StittforGov
,Drew Edmondson,https://www.twitter.com/DrewForOklahoma
,Chris Powell,https://twitter.com/okcspowell
Oregon,Kate Brown,https://www.twitter.com/KateBrownForOR
,Knute Buehler,https://www.twitter.com/KnuteBuehler
Pennsylvania,Ken Krawchuk,https://www.twitter.com/KenK4Pa
,Scott Wagner,https://twitter.com/realscottwagner
,Tom Wolf,https://www.twitter.com/WolfForPA
Rhode Island,Allan Fung,https://www.twitter.com/MayorFung
,Gina Raimondo,https://www.twitter.com/GinaRaimondo
,Joe Trillo,https://twitter.com/trilloforgov
South Carolina,Henry McMaster,https://www.twitter.com/henrymcmaster
,James E. Smith Jr.,https://twitter.com/jamessmithforsc
South Dakota,Kristi Noem,http://twitter.com/RepKristiNoem
,Billie Sutton,https://twitter.com/billiehsutton
Tennessee,Karl Dean,https://www.twitter.com/KarlFDean
,Bill Lee,https://twitter.com/BillLeeTN
Texas,Greg Abbott,https://www.twitter.com/GregAbbott_TX
,Mark Tippetts,https://twitter.com/mark4gov
,Lupe Valdez,https://www.twitter.com/LupeValdez
Vermont,Joseph Barney,No Twitter
,Christine Hallquist,https://www.twitter.com/christineforvt
,Phil Scott,https://www.twitter.com/philscott4vt
Wisconsin,Phil Anderson,https://www.twitter.com/4philanderson
,Tony Evers,https://www.twitter.com/Tony4WI
,Scott Walker,https://www.twitter.com/ScottWalker
,Michael White,No Twitter
Wyoming,Mark Gordon,https://www.twitter.com/mark_gordon_wy
,Rex Rammell,https://twitter.com/RexRammell
,Mary Throne,https://www.twitter.com/MaryforWyoming
,Lawrence Struempf,No Twitter
