Text,Handle,Time Created,Location
"RT @JaredforGov: I grew up in the 3rd District. They'd be lucky to have a Representative in Congress like @joshuamahony.  Smart, compassion…",DinadesalvoA,2018-10-19 21:14:21,"Arkansas, USA"
"RT @anti_orange1: Jared Henderson @JaredforGov 
Has an unparalleled education, and the experience to lead #Arkansas towards a brighter and…",vox_n_thecosmos,2018-10-19 21:05:38,GeeksResist Headquarters
"RT @anti_orange1: Jared Henderson @JaredforGov 
The Democratic candidate for #Arkansas Governor has a vision for the future that will impro…",vox_n_thecosmos,2018-10-19 21:05:13,GeeksResist Headquarters
"RT @anti_orange1: Jared Henderson @JaredforGov 
The Democratic candidate for #Arkansas Governor has a vision for the future that will impro…",skeeterdee,2018-10-19 21:01:55,
"RT @anti_orange1: Jared Henderson @JaredforGov 
The Democratic candidate for #Arkansas Governor has a vision for the future that will impro…",Beverly21811568,2018-10-19 21:01:29,"Maryville, Tennessee"
"RT @anti_orange1: #HealthCare 
#VoteForChange 
@JaredforGov https://t.co/ZxYXQx4iyC",Kari6766,2018-10-19 21:00:56,"Arkansas, USA"
"RT @anti_orange1: Jared Henderson @JaredforGov 
The Democratic candidate for #Arkansas Governor has a vision for the future that will impro…",JediAdiGallia,2018-10-19 21:00:03,Couruscant
RT @aromaticselixir: Love this bringing govt. to life with a gubernatorial candidate who values education! - @JaredforGov @CathyEKoehler @x…,deepblue567,2018-10-19 20:53:23,
"RT @MckeeCortney: Official endorsement for my friend @JaredforGov #BlueWave #arpx
#VOTEBLUE #VoteforCortney https://t.co/5VAjbr8DkD",IndivisEurekaSp,2018-10-19 20:52:29,"Eureka Springs, Arkansas"
"RT @anti_orange1: Jared Henderson @JaredforGov 
The Democratic candidate for #Arkansas Governor has a vision for the future that will impro…",SnowBiAuthor,2018-10-19 20:50:31,GeeksResist Headquarters
"RT @anti_orange1: Jared Henderson @JaredforGov 
Has an unparalleled education, and the experience to lead #Arkansas towards a brighter and…",takinbackmyname,2018-10-19 20:48:38,United States
"RT @anti_orange1: Jared Henderson @JaredforGov 
The Democratic candidate for #Arkansas Governor has a vision for the future that will impro…",takinbackmyname,2018-10-19 20:48:30,United States
"#HealthCare 
#VoteForChange 
@JaredforGov https://t.co/ZxYXQx4iyC",anti_orange1,2018-10-19 20:46:55,United States
"RT @anti_orange1: @JaredforGov @joshuamahony I live in the 3rd district, and I intend to vote for both of you! 
#VoteBlue 
#ElectionsMatter…",CharityL1979,2018-10-19 20:45:54,
"RT @anti_orange1: Jared Henderson @JaredforGov 
The Democratic candidate for #Arkansas Governor has a vision for the future that will impro…",StormResist,2018-10-19 20:45:49,"GeeksResist HQ, TN"
"RT @anti_orange1: @JaredforGov @joshuamahony I live in the 3rd district, and I intend to vote for both of you! 
#VoteBlue 
#ElectionsMatter…",joshuamahony,2018-10-19 20:45:23,"Fayetteville, AR"
"RT @JaredforGov: I grew up in the 3rd District. They'd be lucky to have a Representative in Congress like @joshuamahony.  Smart, compassion…",Inkling61,2018-10-19 20:43:35,
RT @aromaticselixir: Love this bringing govt. to life with a gubernatorial candidate who values education! - @JaredforGov @CathyEKoehler @x…,anti_orange1,2018-10-19 20:42:46,United States
"@JaredforGov @joshuamahony I live in the 3rd district, and I intend to vote for both of you! 
#VoteBlue… https://t.co/XaKlZCDtkA",anti_orange1,2018-10-19 20:42:39,United States
"RT @anti_orange1: Jared Henderson @JaredforGov 
The Democratic candidate for #Arkansas Governor has a vision for the future that will impro…",AgentCarter_SSR,2018-10-19 20:42:27,CLASSIFIED [Level 10 Clearance Required]
"RT @anti_orange1: Jared Henderson @JaredforGov 
The Democratic candidate for #Arkansas Governor has a vision for the future that will impro…",AviFlyGirl,2018-10-19 20:41:53,GeeksResist Headquarters
"RT @anti_orange1: Jared Henderson @JaredforGov 
The Democratic candidate for #Arkansas Governor has a vision for the future that will impro…",JynErso_2017,2018-10-19 20:41:45,RebelScum HQ
"RT @anti_orange1: Jared Henderson @JaredforGov 
The Democratic candidate for #Arkansas Governor has a vision for the future that will impro…",elynnhardi1,2018-10-19 20:41:30,Tennessee 
"RT @anti_orange1: Jared Henderson @JaredforGov 
The Democratic candidate for #Arkansas Governor has a vision for the future that will impro…",oldmillstream,2018-10-19 20:39:33,Just north of NYC
