Text,Handle,Time Created,Location
"RT @MarkWest4Gov: Someone needed to say it, the media and so many others have looked the other way. #arpx #arleg #argov #arnews @DShaneKnig…",MarkMatterZ,2018-10-19 06:52:23,"Jonesboro, AR"
@ElectMikeLee #kerryhicks @LeslieRutledge @JaredforGov @AsaHutchinson @MarkWest4Gov @BlandArk @Gilbert4LtGov… https://t.co/xBElAgZP3F,StevenMDenton1,2018-10-19 04:49:23,"Jonesboro, AR"
Getting ready to watch both @AsaHutchinson (R) &amp; @MarkWest4Gov (L) debate.  #Midterms,DakotaEFlynn,2018-10-18 22:12:02,"Van Buren, AR"
RT @MarkWest4Gov: End corruption in Arkansas politics by taking away the money and power in Little Rock that draws corrupt people. That's w…,iTinaGraves,2018-10-18 21:21:44,"⚡Wolverton Mountain, Arkansas⚡"
"Except for when it comes to abortions. It doesn't matter if you consent to pregnancy, you consented to sex and now… https://t.co/voOYbfPPN5",Rahvyn311,2018-10-18 20:03:31,"Rockwall, TX"
"RT @MarkWest4Gov: Someone needed to say it, the media and so many others have looked the other way. #arpx #arleg #argov #arnews @DShaneKnig…",dtgordo,2018-10-18 19:36:43,"Jonesboro, AR"
"RT @MarkWest4Gov: Someone needed to say it, the media and so many others have looked the other way. #arpx #arleg #argov #arnews @DShaneKnig…",DShaneKnight,2018-10-18 18:22:12,"Arkansas, USA"
"RT @MarkWest4Gov: Someone needed to say it, the media and so many others have looked the other way. #arpx #arleg #argov #arnews @DShaneKnig…",Mark4Libertas,2018-10-18 17:27:51,"Batesville, AR"
"Time to choose - will it be Crook A, Crook B or the honest guy - @MarkWest4Gov https://t.co/yiCIROmkHZ",MarkMatterZ,2018-10-18 16:05:41,"Jonesboro, AR"
RT @MarkWest4Gov: End corruption in Arkansas politics by taking away the money and power in Little Rock that draws corrupt people. That's w…,DShaneKnight,2018-10-18 14:40:06,"Arkansas, USA"
RT @MarkWest4Gov: End corruption in Arkansas politics by taking away the money and power in Little Rock that draws corrupt people. That's w…,mvbcdo,2018-10-18 14:01:52,"Oslo, Norway"
Mark West is a Libertarian candidate running for Governor of Arkansas 2018. @MarkWest4Gov | Web: https://t.co/EC8ohilyOk,darglover,2018-10-18 02:34:56,"Arkansas, USA"
@livefree523 @MarkWest4Gov @Keller4Liberty @DShaneKnight 🚁 ?,sabrtoothtigger,2018-10-17 19:44:38,Weimerica
"RT @MarkWest4Gov: What is the Non-Aggression Principle (NAP)?

Don't hurt people.
Don't take their things.
Government isn't exempt. #arpx @…",dtgordo,2018-10-17 18:24:18,"Jonesboro, AR"
@MarkWest4Gov @Keller4Liberty @DShaneKnight What will you do about the old money people and their businesses in LR… https://t.co/YbYPCJ6NXk,livefree523,2018-10-17 17:47:23,
RT @MarkWest4Gov: We can make Arkansas the Destination State for Liberty that our children will choose to stay in and build their careers a…,JimSistare,2018-10-17 17:44:05,"Spartanburg, SC"
RT @MarkWest4Gov: We can make Arkansas the Destination State for Liberty that our children will choose to stay in and build their careers a…,Keller4Liberty,2018-10-17 17:38:52,"Wisconsin, USA"
@MarkWest4Gov I'm watching the video of your debate.  Is Henderson really wearing a purple suit?,okcspowell,2018-10-17 16:27:43,"Bethany, OK"
RT @MarkWest4Gov: We can make Arkansas the Destination State for Liberty that our children will choose to stay in and build their careers a…,DShaneKnight,2018-10-17 12:56:02,"Arkansas, USA"
