Text,Handle,Time Created,Location
Amazing @NedLamont is even close to @bobforgovernor - what are the people of this state thinking about? https://t.co/Cd5bfYaD4e,unbrokenchain85,2018-10-19 21:32:04,
Amazing @NedLamont is even close to @bobforgovernor - what are the people of this state thinking about? https://t.co/O6NlGL0y9K,unbrokenchain85,2018-10-19 21:28:36,
"RT @ctnewsjunkie: Lamont Releases Taxes, Challenges Stefanowski To Do Same https://t.co/L5FD5OAMyq #ctnewsjunkie #connecticut #ctpolitics #…",FarrishKate,2018-10-19 21:26:45,"Tolland, CT"
RT @unbrokenchain85: Given @NedLamont is a Dannel clone and beleives in the same progressive policies that creates this mess its amazing he…,1718106J,2018-10-19 21:25:59,EVERY BLADE OF GRASS
Given @NedLamont is a Dannel clone and beleives in the same progressive policies that creates this mess its amazing… https://t.co/Y9yDDKnKfD,unbrokenchain85,2018-10-19 21:25:35,
@NedLamont Wow that’s a scare tactic commercial if I’ve ever seen one. None of which is true! I’ve listed to Bob nu… https://t.co/4bn4sv9Op5,Vic1156,2018-10-19 21:22:33,Connecticut
@NedLamont Scheme!  Evil!  You are insulting everyone who is ready this.  We are not stupid!  Scare tactics and mis… https://t.co/AJpUahTGS6,Vic1156,2018-10-19 21:19:51,Connecticut
"RT @kendallmarr: .@NedLamont brags about giving Infosys, an Indian outsourcing company, over $14 million of taxpayer funds. This is the sam…",jvalentine613,2018-10-19 21:16:57,"Ridgefield, CT"
"RT @kendallmarr: .@NedLamont brags about giving Infosys, an Indian outsourcing company, over $14 million of taxpayer funds. This is the sam…",bean9986,2018-10-19 21:10:12,United States
"RT @VTConfidential: Newsman on the job: @johndankosky
 
@NedLamont @bobforgovernor @OzForGovCT #cbadebate 
@wnprwheelhouse @wnpr https://t.…",mrskurantowicz,2018-10-19 21:07:48,Connecticut
RT @bobforgovernor: .@NedLamont wants to give more money to Infosys a company that is bringing in folks from overseas to take your job. #CT…,COORS1LIGHT,2018-10-19 20:50:34,
Yesterday Hartford members supported @NedLamont at the @CTBroadcasters debate. Today they join #fastfood workers at… https://t.co/QHxEEARhnS,32BJSEIU,2018-10-19 20:42:30,Up and Down the East Coast
Listened to @wherewelive today &amp; @OzForGovCT ?? Like his energy. He's a nice guy and smart. Oz would make an excell… https://t.co/pYpdcTuYp2,JimJinksCT,2018-10-19 20:41:28,
"@doremom @NedLamont Funny thing, you aren't even FROM CT.  In fact, your IP doesn't even seem to be U.S based",IShallResist,2018-10-19 20:27:56,USA
RT @bobforgovernor: .@NedLamont wants to give more money to Infosys a company that is bringing in folks from overseas to take your job. #CT…,JGanos,2018-10-19 20:27:36,"St James City, FL"
"RT @kendallmarr: .@NedLamont brags about giving Infosys, an Indian outsourcing company, over $14 million of taxpayer funds. This is the sam…",JGanos,2018-10-19 20:27:16,"St James City, FL"
@NedLamont Great,RussCarmichael1,2018-10-19 20:26:31,facebook
"RT @NedLamont: Connecticut has a long tradition of supporting men and women who have bravely served their country, and the families and lov…",RussCarmichael1,2018-10-19 20:26:24,facebook
"@NedLamont CT need a Governor who will not go for a third historic tax raise, who actually puts the citizens of CT… https://t.co/vkr9nFqHm1",redinbluestate5,2018-10-19 20:24:18,New England
"RT @johncraven1: JUST IN: @NedLamont taxes show he earned nearly $19.5 million from 2013-2017, most of it from investment income. Lamont pa…",News12CTDesk1,2018-10-19 20:24:01,"Norwalk, CT"
@doremom @NedLamont Especially teachers because devos doesn't even believe in Public Education,IShallResist,2018-10-19 20:23:58,USA
@NedLamont On class sizes... Democrats don’t like charter schools as a good alternative to public education also La… https://t.co/YtdIaFybvP,MWB06850,2018-10-19 20:23:51,"CT, USA"
"@doremom @NedLamont 2  trillion.  Fact...Under Trump, wages have remained flat and jobs have not been at the pace O… https://t.co/WgYI3npDck",IShallResist,2018-10-19 20:23:51,USA
@doremom @NedLamont No one received a raise under Trump.  This is a flat out lie.  1 in CT Malloy raised the Min Wa… https://t.co/P7uglexnyR,IShallResist,2018-10-19 20:23:17,USA
@NedLamont Single mom &amp; teacher = 2 identity politics points.,kaptainsteve,2018-10-19 20:22:51,
RT @NedLamont: Gina is a single mom and teacher. She knows that Stefanowski's scheme would hurt her kids. https://t.co/9GmrVZTRNF,PrezHillary17,2018-10-19 20:21:54,
@KristiTalmadge @America_Desi @NedLamont #BoycottVerizon #VerizonIsAntiAmerican,Arch_Angel9999,2018-10-19 20:20:56,Chicago (Chiraq)
"RT @KristiTalmadge: ""Verizon Lays Off 44,000, Transfers 2,500 More IT Jobs To Indian Outsourcer Infosys"" - @NedLamont brags about bringing…",Arch_Angel9999,2018-10-19 20:20:34,Chicago (Chiraq)
@NedLamont https://t.co/pglOBfmgga,redinbluestate5,2018-10-19 20:19:01,New England
"@NedLamont BTW Bob won't show his taxes, who does that remind you of?  This guy reeks of trumpian corruptness",IShallResist,2018-10-19 20:18:29,USA
@NedLamont trying to end Pre Existing Conditions which is expected to be before SCOTUS by next fall.  Liars will li… https://t.co/QjyitTaTmg,IShallResist,2018-10-19 20:17:30,USA
"@NedLamont While Bob says to our faces he's all for investing in Education, his plan on his own website literally c… https://t.co/vmZFJ1KlDl",IShallResist,2018-10-19 20:17:20,USA
RT @NedLamont: Gina is a single mom and teacher. She knows that Stefanowski's scheme would hurt her kids. https://t.co/9GmrVZTRNF,ToniC8,2018-10-19 20:15:47,NYC
