Text,Handle,Time Created,Location
"RT @WalkerStapleton: What a celebration for an incredible American! Worth putting up with #43 giving me grief about my new beard!
Godspeed…",FredWMy,2018-12-07 15:38:02,Colorado
"RT @NormAustin1: My first tweet! Working with @walkawaycolorado
@backboneradio
@cologop 
@lauracarno @Walkerstapleton 
@JoyOverbeck1 
@clea…",Champenoise46,2018-12-07 15:26:13,OC-CAL
"RT @GeorgeHWBush: Happy to congratulate @WalkerStapleton on a terrific primary victory last night, and to join him in thanking those backin…",mitchdezzy,2018-12-07 11:52:26,Earth
RT @fishnette: This is &gt; 2X what #COgov candidate @WalkerStapleton spent. #nmpol even #nmgov GOP Steve Pearce spent $600K more #copolitics…,COpoliticsCO,2018-12-07 02:54:14,"Colorado, USA"
This is &gt; 2X what #COgov candidate @WalkerStapleton spent. #nmpol even #nmgov GOP Steve Pearce spent $600K more #copolitics https://t.co/DTcc6rObbR,fishnette,2018-12-07 02:53:52,"Denver, CO"
"RT @realDonaldTrump: .@WalkerStapleton will be an extraordinary Governor for the State of Colorado. He is strong, smart, and has been succe…",bullscheitt,2018-12-07 02:20:38,"California, USA"
"@WalkerStapleton If you had that beard when you were running, you might have won. If you had lost your Trumpcultism. And your blatant racism. And your entitlement attitude. And your lack of humanity. And your ignorance of anything Coloradans are interested in. And....",justhefactsMs,2018-12-06 23:03:04,"Louisville, CO"
"RT @GeorgeHWBush: Happy to congratulate @WalkerStapleton on a terrific primary victory last night, and to join him in thanking those backin…",stephanieimarh1,2018-12-06 18:51:04,
@WalkerStapleton Congratulations on writing a great Colorado Government Tweet: https://t.co/S3yoeovcau (Ranked 1st for Dec 5.),COGovTweets,2018-12-06 18:50:39,
"RT @WalkerStapleton: What a celebration for an incredible American! Worth putting up with #43 giving me grief about my new beard!
Godspeed…",COGovTweets,2018-12-06 18:45:39,
@SlantEyedShawn @WalkerStapleton Slant eyed Shawn huh? Way to be an absolute public douche.,12231026,2018-12-06 17:59:14,"Colorado, USA"
@EarlDinky @WalkerStapleton Earl’s a dbag of epic dbags!,12231026,2018-12-06 17:56:08,"Colorado, USA"
"@EarlDinky @WalkerStapleton You can always unfollow his twitter account, schmuck",pewlis28,2018-12-06 17:02:40,
@SlantEyedShawn @WalkerStapleton You are obviously unfamiliar with the notion of a graceful victory,pewlis28,2018-12-06 17:02:07,
@WalkerStapleton https://t.co/JTxHWrjz6l,ThulsaGloom,2018-12-06 17:01:36,"Denver, Colorado"
RT @WalkerStapleton: Our Country has lost a hero and I have lost my North Star.  Some of my earliest memories include fishing with him whil…,colo_politics,2018-12-06 16:59:11,"Colorado, USA"
