Text,Handle,Time Created,Location
RT @bobforgovernor: Does anybody think I can’t find 5% waste in our state’s budget? It’s riddled with special favors and needless spending…,peters0801,2018-10-19 21:41:33,Connecticut
RT @bobforgovernor: We are 4-0. Bob will cut your taxes and rebuild Connnecticut! #CTGov #CTPoltics #CTDebate,peters0801,2018-10-19 21:40:35,Connecticut
"I was pulling tons of Democrats from @DanMalloyCT in 14, @OzForGovCT is pulling tons of Republicans from… https://t.co/LAAsktycOa",JoeVisconti,2018-10-19 21:38:58,"Manhattan, NY"
RT @unbrokenchain85: Amazing @NedLamont is even close to @bobforgovernor - what are the people of this state thinking about? https://t.co/C…,WCsox,2018-10-19 21:38:48,
Now @bobforgovernor you need to start interviewing people leaving the state with the reason why and start making ad… https://t.co/fyFWRpEabV,KenpoIII,2018-10-19 21:36:44,
"@bobforgovernor It will take a person who had to learn to make payroll, negotiate contracts and create jobs to fix… https://t.co/2sgaBDTAcG",bgdawg169,2018-10-19 21:34:43,
Amazing @NedLamont is even close to @bobforgovernor - what are the people of this state thinking about? https://t.co/Cd5bfYaD4e,unbrokenchain85,2018-10-19 21:32:04,
Amazing @NedLamont is even close to @bobforgovernor - what are the people of this state thinking about? https://t.co/O6NlGL0y9K,unbrokenchain85,2018-10-19 21:28:36,
"RT @ctnewsjunkie: Lamont Releases Taxes, Challenges Stefanowski To Do Same https://t.co/L5FD5OAMyq #ctnewsjunkie #connecticut #ctpolitics #…",FarrishKate,2018-10-19 21:26:45,"Tolland, CT"
RT @unbrokenchain85: Given @NedLamont is a Dannel clone and beleives in the same progressive policies that creates this mess its amazing he…,1718106J,2018-10-19 21:25:59,EVERY BLADE OF GRASS
Given @NedLamont is a Dannel clone and beleives in the same progressive policies that creates this mess its amazing… https://t.co/Y9yDDKnKfD,unbrokenchain85,2018-10-19 21:25:35,
Think @bobforgovernor will share his returns? https://t.co/EnaPZcXFeD,JoeVisconti,2018-10-19 21:22:35,"Manhattan, NY"
@wokeissimo @bobforgovernor States that have legalized it wrote in magazine capacity restrictions and AWB style res… https://t.co/kOQDTg8RNg,FunnermanBill,2018-10-19 21:11:56,"Innawoods, CT"
@wokeissimo @bobforgovernor Not at all my point,FunnermanBill,2018-10-19 21:10:36,"Innawoods, CT"
"@FunnermanBill @bobforgovernor In the states that have legalized, has that extended beyond the ATF's cheerful remin… https://t.co/7qw888AShu",wokeissimo,2018-10-19 21:08:36,
"RT @VTConfidential: Newsman on the job: @johndankosky
 
@NedLamont @bobforgovernor @OzForGovCT #cbadebate 
@wnprwheelhouse @wnpr https://t.…",mrskurantowicz,2018-10-19 21:07:48,Connecticut
RT @bobforgovernor: We need volunteers in your area! Join the winning team and become a volunteer for our campaign today!,HislopDaivd,2018-10-19 20:58:00,"Danbury, CT"
"RT @rcintc: @GOPPollAnalyst Bob Stefanowski has a plan to clean up Dan Malloy's mess. If you want to cut taxes, grow our economy and rebuil…",hunniemom,2018-10-19 20:55:47,United States
"RT @bobforgovernor: My plan on taxes:
✅Phase Out Income Tax
✅Cut Taxes on Businesses
✅Eliminate Death and Gift Taxes

Ned Malloy’s plan:
X…",COORS1LIGHT,2018-10-19 20:54:39,
"@RRicciardi111 @bobforgovernor Next you’re gonna ask him where his magic wand is

Trump already showed you his",FunnermanBill,2018-10-19 20:52:26,"Innawoods, CT"
RT @bobforgovernor: .@NedLamont wants to give more money to Infosys a company that is bringing in folks from overseas to take your job. #CT…,COORS1LIGHT,2018-10-19 20:50:34,
RT @bobforgovernor: Does anybody really believe that once #NewTaxNed gets tolls on the roads you’re not going to be hit with one every time…,COORS1LIGHT,2018-10-19 20:48:12,
"RT @rcintc: @GOPPollAnalyst Bob Stefanowski has a plan to clean up Dan Malloy's mess. If you want to cut taxes, grow our economy and rebuil…",4HimAloneWeLive,2018-10-19 20:45:45,United States
RT @bobforgovernor: Does anybody think I can’t find 5% waste in our state’s budget? It’s riddled with special favors and needless spending…,TheWayOfMatt,2018-10-19 20:45:44,USA
"RT @bobforgovernor: Twice already, Oz has said that he wouldn't do anything different than Dan Malloy. Oz and Ned will be the same as Mallo…",PattiSerafine,2018-10-19 20:44:40,
@wokeissimo @bobforgovernor Gotta disagree on the grounds that wherever recreational marijuana pops up firearm laws… https://t.co/qgMu7ghFk9,FunnermanBill,2018-10-19 20:43:41,"Innawoods, CT"
@FunnermanBill @bobforgovernor The point being that CT should do that too. Great source of revenue!,wokeissimo,2018-10-19 20:42:27,
"RT @bobforgovernor: Twice already, Oz has said that he wouldn't do anything different than Dan Malloy. Oz and Ned will be the same as Mallo…",Melissa31920880,2018-10-19 20:41:48,"Dallas, Texas, USA"
RT @Lamontius320: @bobforgovernor I’m not sure that a site with a pasted-on image and no functionality other than campaign donations is a g…,lisaloveshjff,2018-10-19 20:29:52,Always busy. I retweet a lot.
"RT @IShallResist: @bobforgovernor Actually no,  you are 2-2 according to post debate polls.  Why do you lie when these things are so easily…",lisaloveshjff,2018-10-19 20:29:16,Always busy. I retweet a lot.
RT @bobforgovernor: Does anybody really believe that once #NewTaxNed gets tolls on the roads you’re not going to be hit with one every time…,JGanos,2018-10-19 20:28:28,"St James City, FL"
