Text,Handle,Time Created,Location
"RT @ParkeyJennifer: My great grandmother was the first woman County Attorney in Pima County, Arizona. A great lady in a tiny package! I sur…",LisaChipman,2018-10-19 21:00:20,south of the mason-dixon
"It's really cool that the @SenSanders rally is at @ASU next week.

David Garcia @dg4az will finally get to return t… https://t.co/XWkzDy7T2a",Scarpinato,2018-10-19 20:55:43,Grand Canyon State 🌵🌞
"RT @dg4az: I stand for everything that Trump and Ducey oppose, such as a government that works for the people and not the wealthy special i…",LoriMeisner,2018-10-19 20:55:35,"Mesa, AZ"
RT @dg4az: Ducey is bought and paid for by special interests including the Koch brothers who have shoveled millions in dirty dark money int…,RepresentMeAZ,2018-10-19 20:55:08,"Tucson, AZ"
RT @dg4az: Ducey is bought and paid for by special interests including the Koch brothers who have shoveled millions in dirty dark money int…,FlipAZ02,2018-10-19 20:54:29,
"My great grandmother was the first woman County Attorney in Pima County, Arizona. A great lady in a tiny package! I… https://t.co/sbsT6GcD0A",ParkeyJennifer,2018-10-19 20:54:28,"Hawaiian Paradise Park, HI"
@jp_twist @dg4az My pleasure!  Candidates on both sides need to be held accountable in all aspects. The smear campa… https://t.co/zbhEU81VXm,Sarah01237002,2018-10-19 20:54:26,"Phoenix, AZ"
RT @dg4az: I’ll build an economy that works for ALL of Arizona. Right now too many families are one paycheck away from being left vulnerabl…,DoubleRGarry,2018-10-19 20:53:37,"Arizona, USA"
"RT @dg4az: I stand for everything that Trump and Ducey oppose, such as a government that works for the people and not the wealthy special i…",Tatzintli,2018-10-19 20:52:34,"Arizona, USA"
"RT @dg4az: I stand for everything that Trump and Ducey oppose, such as a government that works for the people and not the wealthy special i…",misdown1,2018-10-19 20:50:15,Phoenix 
"RT @dg4az: I stand for everything that Trump and Ducey oppose, such as a government that works for the people and not the wealthy special i…",FlipAZ02,2018-10-19 20:49:53,
"RT @dg4az: I stand for everything that Trump and Ducey oppose, such as a government that works for the people and not the wealthy special i…",RepresentMeAZ,2018-10-19 20:47:47,"Tucson, AZ"
"RT @dg4az: I stand for everything that Trump and Ducey oppose, such as a government that works for the people and not the wealthy special i…",CDeBey,2018-10-19 20:46:16,
@TheDemocrats @AndrewGillum @SenBillNelson @FlaDems #ProtectOurCare #ProtectSocialSecurity #ProtectMedicare… https://t.co/72rPsYW8WM,DwntwnDave,2018-10-19 20:45:25,
"@dg4az You stand against a soaring economy, the lowest unemployment rate in years, the lowest hispanic and black un… https://t.co/XmAMWne7kj",javalinarage,2018-10-19 20:44:04,Arizona Desert
"RT @dg4az: I stand for everything that Trump and Ducey oppose, such as a government that works for the people and not the wealthy special i…",manymoremiles,2018-10-19 20:42:03,The only planet with chocolate
".@GadiNBC on #VelshiRuhle re: #RedforEd movement in #Arizona, Prop 207 &amp; the youth vote. Vote for candidates who're… https://t.co/6n9Aj8VmpT",ljyphoto,2018-10-19 20:40:17,"Tucson, AZ"
RT @dg4az: I’m proud to stand by Teamsters Local 104 and all of our union brothers and sisters across this state to fight for everyday work…,bagglo,2018-10-19 20:39:34,"Tonto Basin,AZ"
"RT @dg4az: I stand for everything that Trump and Ducey oppose, such as a government that works for the people and not the wealthy special i…",DianeBlakeley,2018-10-19 20:39:08,United States
"RT @Scarpinato: Sadly -- not only does David Garcia @dg4az have no education funding plan -- he also has no plan for rural Arizona, especia…",Krillrachel,2018-10-19 20:39:02,
@Sarah01237002 @dg4az I'm on disability &amp; have navigated the system &amp; resources for 11 years. Gov. support the peop… https://t.co/Crn5b4l6f9,Amara_Magick,2018-10-19 20:37:21,3rd Generation Arizonan
"@shallowtech @dg4az Billions of dollars in corporate tax giveaways by the Governor and legislature, and you're goin… https://t.co/7rwLZ4GTgY",kovacs4congress,2018-10-19 20:35:45,"Tucson, AZ"
@shallowtech @dg4az You sure hate allowing families to decide how to use their money !  You prefer Massive Tax incr… https://t.co/eNNpK73oIf,javalinarage,2018-10-19 20:35:01,Arizona Desert
"@KodoAndSangha @dg4az of course.  although i think he’ll be in my area later today, not to put too much pressure on you.",azvotercd4,2018-10-19 20:34:41,
"RT @dg4az: I stand for everything that Trump and Ducey oppose, such as a government that works for the people and not the wealthy special i…",imjom,2018-10-19 20:34:38,"Foxborough, MA"
RT @dg4az: Ducey and Trump both want to take healthcare coverage from Arizonans with pre-existing conditions. I believe that healthcare is…,Eugene_Begay45,2018-10-19 20:33:08,"Tucson, AZ"
"RT @dg4az: I stand for everything that Trump and Ducey oppose, such as a government that works for the people and not the wealthy special i…",azjulie2003,2018-10-19 20:33:04,"Phoenix, AZ"
RT @dg4az: I’m proud to stand by Teamsters Local 104 and all of our union brothers and sisters across this state to fight for everyday work…,adamisalamb,2018-10-19 20:31:40,State of Denial
RT @dg4az: Ducey and Trump both want to take healthcare coverage from Arizonans with pre-existing conditions. I believe that healthcare is…,shereades,2018-10-19 20:31:29,"Casa Grande, AZ"
