Text,Handle,Time Created,Location
RT @ProgressNowAZ: Today Trump is in town campaigning for @dougducey. Ducey has gladly and warmly supported Trump since he was the nominee…,JoeWAtAFSCME,2018-10-19 20:47:07,Phoenix AZ
@jp_twist @sjev0 @dougducey @realDonaldTrump One person owned up to his actions and is facing consequences and the… https://t.co/AxJZUVPrqM,kovacs4congress,2018-10-19 20:46:32,"Tucson, AZ"
"RT @SenQuezada29: So a  committee composed of @dougducey appointees stopped a statewide vaccination education program, risking the lives of…",JoeWAtAFSCME,2018-10-19 20:46:31,Phoenix AZ
#anarchy @realDonaldTrump @RealJamesWoods @dougducey @marklevinshow @rushlimbaugh https://t.co/7eIe2QnsZS,dzgocats,2018-10-19 20:46:19,"Arizona, USA"
"RT @jp_twist: @sjev0 @dougducey @realDonaldTrump Well, this is your guy. https://t.co/7BrnBJxOt0",LuisAcosta22,2018-10-19 20:45:30,Phoenix Arizona
"RT @GOPChairwoman: Had a great time campaigning in Arizona yesterday with @LeaPeterson!
 
We knocked doors for @MarthaMcSally, @DougDucey,…",Trumpthebest342,2018-10-19 20:44:20,United States
"Cool

@dougducey https://t.co/o3gnifa34S",carltoersbijns,2018-10-19 20:44:02,Riverside CA (temp) Mesa AZ (p
"@sjev0 @dougducey @realDonaldTrump Well, this is your guy. https://t.co/7BrnBJxOt0",jp_twist,2018-10-19 20:43:37,"Phoenix, AZ"
RT @GlennHamer: Huge what’s going on in Pinal County with @nikolamotor @Lucid_Motors in establishing cutting-edge automotive manufacturing…,MarkNothaft,2018-10-19 20:38:06,"Arizona, USA"
"RT @FreeWildHorses: @DougDucey Thanks for protecting the #wildhorses of #Arizona. Without you, little Ducey would not be living free. #Keep…",Scarpinato,2018-10-19 20:30:09,Grand Canyon State 🌵🌞
@belensisaw @dougducey @realDonaldTrump This #SuburbanMom agrees! #VOTE #VoteThemOut https://t.co/ZVSuWjlBLc,BsparklyMagical,2018-10-19 20:29:17,"Arizona, USA"
RT @belensisaw: A vote for @dougducey is a vote for @realDonaldTrump and his hateful agenda. It's time to kick him out of office. #youthvot…,BsparklyMagical,2018-10-19 20:28:08,"Arizona, USA"
RT @srwhmg: This is Ducey. Ducey was the first born foal of 2017. We named him after Governor Doug Ducey as a thank you for everything he d…,lou_lou_64592,2018-10-19 20:22:51,
A vote for @dougducey is a vote for @realDonaldTrump and his hateful agenda. It's time to kick him out of office.… https://t.co/sD1Ag4SgJp,belensisaw,2018-10-19 20:20:00,"Arizona, USA"
RT @srwhmg: This is Ducey. Ducey was the first born foal of 2017. We named him after Governor Doug Ducey as a thank you for everything he d…,Sadmouse17,2018-10-19 20:16:07,"Los Angeles, California"
RT @ProgressNowAZ: Today Trump is in town campaigning for @dougducey. Ducey has gladly and warmly supported Trump since he was the nominee…,SheriffKCClark,2018-10-19 20:16:07,
RT @srwhmg: This is Ducey. Ducey was the first born foal of 2017. We named him after Governor Doug Ducey as a thank you for everything he d…,kelbast44,2018-10-19 20:10:27,Washington State
RT @kovacs4congress: BREAKING: Leaked footage of tonight’s @realDonaldTrump rally in Mesa featuring @dougducey. Watch till the end. 😂 https…,panhandleprims,2018-10-19 20:08:33,"Hagerstown, MD"
"RT @dougducey: ""There’s a Salt River Wild Horse Named Ducey, and He’s Doing Great"" https://t.co/eoIF3Il8OC via @KTAR923",CBatchPageAZ,2018-10-19 20:07:49,"Page, AZ"
@dougducey @BrophyNews Republicans are generally opposed to the free market when it comes to the economy.  Otherwis… https://t.co/Nq2e85EFx4,FelixHybridroma,2018-10-19 20:02:23,"Phoenix, AZ"
RT @srwhmg: This is Ducey. Ducey was the first born foal of 2017. We named him after Governor Doug Ducey as a thank you for everything he d…,GRAVEDI18102810,2018-10-19 20:00:37,Hippy Hill South Dakota USA
Hey #AZ @GeneralBrnovich joined this lawsuit on behalf of @dougducey and Arizona. Is this really what we want? Don’… https://t.co/aFVt06yzvT,kdd774,2018-10-19 19:55:31,
@nyja9 @dougducey,BsparklyMagical,2018-10-19 19:52:51,"Arizona, USA"
"INTERPOL's OPERATION INFRA-RED https://t.co/FEmB6udmDW via @YouTube ""#FBI Affidavits @ScottsdalePD @azcentral… https://t.co/AwzICxli2n",GastonBonSaint,2018-10-19 19:49:58,
RT @ProgressNowAZ: Today Trump is in town campaigning for @dougducey. Ducey has gladly and warmly supported Trump since he was the nominee…,AngelaKrebs444,2018-10-19 19:48:51,"Las Vegas, NV"
@Iam_MissSimpson @dougducey @AZHistSociety @TheBushCenter https://t.co/0mvRcnnODP,lajames68,2018-10-19 19:48:38,Phoenix
@azcapmedia @dougducey 👀,cliccmade,2018-10-19 19:48:07,"Phoenix, Arizona"
"@SenQuezada29 @dougducey A pilot program. Take your rage elsewhere.
Any parent not educated on vaccinations is beyond help.
#WasteOfMoney",a_zvoter,2018-10-19 19:47:18,"Phoenix, AZ"
The @yavapaicounty Board of Supervisors takes a strong leadership role in the fight against #distracteddriving… https://t.co/p9ktTbadSI,CYMPO,2018-10-19 19:42:52,Arizona
"RT @GigiLindley: @realDonaldTrump will be here in Mesa, Arizona to rally for @dougducey and @MarthaMcSally on Friday. 🇺🇸🌵💃🏽
More info at: h…",JakeSteele2650,2018-10-19 19:38:46,"Ohio, USA"
@CarmenMForman @dougducey @POTUS The @UpshotNYT poll of the U.S. Senate race also shows @realDonaldTrump's favorabi… https://t.co/d3LItgK72P,ldelpuerto,2018-10-19 19:38:36,Phoenix AZ
RT @ProgressNowAZ: Today Trump is in town campaigning for @dougducey. Ducey has gladly and warmly supported Trump since he was the nominee…,ProgressiveFor,2018-10-19 19:38:10,"Washington, DC |San Antonio,TX"
@ProgressNowAZ @RepresentMeAZ @dougducey Ugh!!!!!😠😠😠😠😠😠,Jeanett71953326,2018-10-19 19:29:39,
@ProgressNowAZ @StormResist @dougducey When does he actually work?,canadawatching,2018-10-19 19:28:55,"Alberta, Canada"
RT @ProgressNowAZ: Today Trump is in town campaigning for @dougducey. Ducey has gladly and warmly supported Trump since he was the nominee…,StormResist,2018-10-19 19:28:14,"GeeksResist HQ, TN"
RT @TeamDucey: Arizona's border ranchers trust @dougducey to secure Arizona's future. https://t.co/YNY2GIbaN5 #AZGOV #SecureAZ https://t.co…,1AmericanGirl,2018-10-19 19:26:11,USA
RT @srwhmg: This is Ducey. Ducey was the first born foal of 2017. We named him after Governor Doug Ducey as a thank you for everything he d…,meganhmanning,2018-10-19 19:25:25,
RT @ProgressNowAZ: Today Trump is in town campaigning for @dougducey. Ducey has gladly and warmly supported Trump since he was the nominee…,InSpiteOfTrump,2018-10-19 19:24:37,United States
RT @srwhmg: This is Ducey. Ducey was the first born foal of 2017. We named him after Governor Doug Ducey as a thank you for everything he d…,Revoltin_Morgan,2018-10-19 19:22:16,"The Godswood, Winterfell"
RT @ProgressNowAZ: Today Trump is in town campaigning for @dougducey. Ducey has gladly and warmly supported Trump since he was the nominee…,drhoctor2,2018-10-19 19:19:40,"Southern Tier, NY"
RT @ProgressNowAZ: Today Trump is in town campaigning for @dougducey. Ducey has gladly and warmly supported Trump since he was the nominee…,joycemarieh66,2018-10-19 19:19:00,"Mesa, AZ"
"@dougducey @KTAR923 Do they bite? The rats at Murphy school district do! 

https://t.co/feH9Rxf6xE",LaSnugs,2018-10-19 19:15:22,"Phoenix, AZ"
@dougducey @KTAR923 Thank God for U protecting these animals that R apart of the backbone that developed this count… https://t.co/rPysTPzw0J,moniqueguild,2018-10-19 19:15:07,"Malibu, California"
"RT @Scarpinato: This is rich!

@DougDucey's bipartisan credentials are strong: Civics. #Prop123. #Prop301. #20x2020. Opioid Act. Maybe that…",chadheywoodaz,2018-10-19 19:14:27,
RT @srwhmg: This is Ducey. Ducey was the first born foal of 2017. We named him after Governor Doug Ducey as a thank you for everything he d…,Freedom4Horses,2018-10-19 19:13:56,United States
RT @ProgressNowAZ: Today Trump is in town campaigning for @dougducey. Ducey has gladly and warmly supported Trump since he was the nominee…,GurrdyGirl,2018-10-19 19:11:11,
RT @ProgressNowAZ: Today Trump is in town campaigning for @dougducey. Ducey has gladly and warmly supported Trump since he was the nominee…,RepresentMeAZ,2018-10-19 19:10:30,"Tucson, AZ"
