Text,Handle,Time Created,Location
"RT @ctnewsjunkie: Lamont Releases Taxes, Challenges Stefanowski To Do Same https://t.co/L5FD5OAMyq #ctnewsjunkie #connecticut #ctpolitics #…",FarrishKate,2018-10-19 21:26:45,"Tolland, CT"
"RT @RussellBlairCT: .@colinmcenroe pictures a future where the state of Connecticut is saved by the ""Griebel miracle"" https://t.co/54KpQj1S…",FarrishKate,2018-10-19 21:25:25,"Tolland, CT"
@OzForGovCT and I just met with Green Bank leadership to discuss how we can work together to address climate change… https://t.co/dVyst05NAj,MonteFrankCT,2018-10-19 21:10:28,Sandy Hook
"RT @VTConfidential: Newsman on the job: @johndankosky
 
@NedLamont @bobforgovernor @OzForGovCT #cbadebate 
@wnprwheelhouse @wnpr https://t.…",mrskurantowicz,2018-10-19 21:07:48,Connecticut
"RT @OzForGovCT: Honesty, integrity and experience in CT matters. https://t.co/kgi7KhqR67",TheStevieConway,2018-10-19 21:06:04,"Newtown, CT"
"RT @wherewelive: Oz Griebel (@OzForGovCT) has been a longtime leader in the Greater Hartford business community. Now, he’s running for gove…",SophiaMacGillis,2018-10-19 20:52:14,
Listened to @wherewelive today &amp; @OzForGovCT ?? Like his energy. He's a nice guy and smart. Oz would make an excell… https://t.co/pYpdcTuYp2,JimJinksCT,2018-10-19 20:41:28,
"RT @OzForGovCT: Honesty, integrity and experience in CT matters. https://t.co/kgi7KhqR67",cigarjim,2018-10-19 20:26:29,CT/NYC/RI
"RT @DFANewHaven: .@OzForGovCT says on @wherewelive that he and @MonteFrankCT are ""not the product of a shotgun marriage,"" i.e. separate Gov…",OzForGovCT,2018-10-19 19:55:41,"Connecticut, USA"
RT @pactvl: @wherewelive @OzForGovCT Go Oz!,OzForGovCT,2018-10-19 19:54:11,"Connecticut, USA"
"RT @RussellBlairCT: .@colinmcenroe pictures a future where the state of Connecticut is saved by the ""Griebel miracle"" https://t.co/54KpQj1S…",colinmcenroe,2018-10-19 19:48:48,Hartford
@markdavisWTNH I thank you for providing equal coverage of all three candidates. Something that we need across all… https://t.co/Dyt6P5CdR8,TheStevieConway,2018-10-19 19:46:40,"Newtown, CT"
@ctnewsjunkie @bobforgovernor @NedLamont @OzForGovCT Oh sh*t... what’s hiding in BobTrump’s financial closet? Is Pr… https://t.co/jvOCFiZq3d,SarahFicca,2018-10-19 19:44:27,New Haven 
@wherewelive @OzForGovCT Go Oz!,pactvl,2018-10-19 19:42:46,
RT @OzForGovCT: We have a plan to reinvigorate Connecticut's energy infrastructure. #Energy #StraightTalk #ClimateChange https://t.co/jCGgv…,MinckLife,2018-10-19 19:42:35,"Orlando, FL"
"RT @southington_rtc: @bobforgovernor won the #CTGovDebate ! @OzForGovCT &amp; @NedLamont have the same solutions as Dan Malloy: More taxes, tol…",jaypug06791,2018-10-19 19:40:39,
"RT @MonteFrankCT: Really proud to be @OzForGovCT’s running mate.  Honesty, integrity and experience matter.  The new straight talk express…",mcon56,2018-10-19 19:38:53,
@DennisHouseTV @OzForGovCT @bobforgovernor @NedLamont @WFSBnews Really - he must think we are all idiots- Ned you are such an empty suit!,pactvl,2018-10-19 19:32:54,
"RT @ctnewsjunkie: Lamont Releases Taxes, Challenges Stefanowski To Do Same https://t.co/L5FD5OAMyq #ctnewsjunkie #connecticut #ctpolitics #…",dcnewsjunkie_ct,2018-10-19 19:32:19,
"RT @ctnewsjunkie: Lamont Releases Taxes, Challenges Stefanowski To Do Same https://t.co/L5FD5OAMyq #ctnewsjunkie #connecticut #ctpolitics #…",doughardy_ct,2018-10-19 19:32:09,Connecticut
"Lamont Releases Taxes, Challenges Stefanowski To Do Same https://t.co/L5FD5OAMyq #ctnewsjunkie #connecticut… https://t.co/K8qOiMSKZF",ctnewsjunkie,2018-10-19 19:31:57,Hartford
@DennisHouseTV @OzForGovCT @bobforgovernor @NedLamont @WFSBnews What joke he’s had the questions and canned answers,pactvl,2018-10-19 19:22:56,
RT @OzForGovCT: Great job Monte https://t.co/xdLCXdmw56,StephyGriebs,2018-10-19 19:21:56,TBD
"@bgaymoreoften @CTDems @CTGOP @OzForGovCT Unfortunately, Oz is a spoiler vote in our current voting system. Voting… https://t.co/wp7rIo3SHx",The_Smashter,2018-10-19 19:14:16,#SaveNetNeutrality
RT @bobforgovernor: .@NedLamont = @OzForGovCT = More Tolls! #ctgovdebate #cbadebate https://t.co/gIbmvlWJz6,LarryCh00312599,2018-10-19 19:07:40,WallaWalla Wa.
"RT @OzForGovCT: We're working towards affordable, high-quality healthcare. Join us. Vote Oz and Monte on November 6th. #StraightTalk #Healt…",ImmaChocoholic,2018-10-19 19:01:08,"Hartford, Connecticut"
First it was @OzForGovCT then @bobforgovernor this Sunday we have @NedLamont on Face the State.  The attack say he'… https://t.co/WUE9DnczeV,DennisHouseTV,2018-10-19 18:55:58,Hartford
"RT @MonteFrankCT: Really proud to be @OzForGovCT’s running mate.  Honesty, integrity and experience matter.  The new straight talk express…",SusannahMacNeil,2018-10-19 18:53:11,
"@OzForGovCT Great job last night Oz, you made those two look like wet noodles! You need to tweet more!! You can cou… https://t.co/pZCdwzTvy0",Raddion,2018-10-19 18:42:16,"Salem, Connecticut"
