Text,Handle,Time Created,Location
@JoeStGeorge @KDVR @PolisForCO Thanks for asking this... note the non answer.,Bandaidken,2018-10-19 21:13:48,
RT @JoeStGeorge: ICYMI: Our conversation with @PolisForCO on education -- how is he going to pay for all day Kindergarten? Our week long se…,HopefulGardenr,2018-10-19 21:08:50,
RT @sgtmolly06: @JamesViser The guy is really clueless. We #Coloradans voted against single payer 80% to 20%. We don’t want it! And thanks…,zene55,2018-10-19 20:57:58,Dripping Springs. Tx
@therealkijib @danhaleyCO @ColoradoRising Where did 500ft come from? 2500 is what 112 is. And you who else prob doe… https://t.co/O7fNXoQQWU,Bri4CO,2018-10-19 20:54:56,"Pueblo, CO"
Did you get your mail-in #ballot yet #Colorado? Be sure to #vote. My personal recommendation for #Governor is… https://t.co/FqNUNJrytc,GoCatGo,2018-10-19 20:54:52,"Longmont, Colorado"
"RT @cbiemiller: @PolisForCO You're for pushing political changes that conveniently help your investments grow, while pushing higher costs o…",Right_Not_Wrong,2018-10-19 20:54:16,4th Gen Colorado Native 
"OM and I just sent in our ballots so that’s 2 votes for @PolisForCO @PhilForColorado @StephanyForCO Amendment A,… https://t.co/sYnc6LhHjz",knownforms,2018-10-19 20:53:30,the ghost hole
RT @PolisForCO: The most important message for everyone these next couple weeks: https://t.co/E20d0Kojlq,alexiaagracee,2018-10-19 20:53:09,
"@PolisForCO @jaredpolis Question: If Colorado is able to do this, then why should ""national leadership"" even be a c… https://t.co/1VYOmnLXfq",barris4congress,2018-10-19 20:52:58,Evergreen
"RT @PolisForCO: Colorado is home to some of North America’s most majestic wild animals, and millions of domestic and farmed animals, too. I…",maeve5280,2018-10-19 20:52:27,"Aurora, CO, USA"
"@apoliticvoice @LauraLoomer @PolisForCO wants carbon taxes, single payer system, a.k.a government run health care,… https://t.co/PV3y3ltIDG",Getaclue77,2018-10-19 20:42:43,
"RT @PolisForCO: I'm not here to tell you what I'm against. I'm here to tell you what I'm for. 

We have 19 days left in this election. Let'…",XanderMartinCO,2018-10-19 20:42:18,"Boulder, CO"
@FrankD1992 @KAW710CO @jeffhunt @PolisForCO MORE than NY: Miami GOP Chairman caught leading Proud Boys in attack on… https://t.co/BqHHxeKaft,SentinelJust,2018-10-19 20:38:44,The Mountains
@PolisForCO can't pay for his promises. He can't even come up with a decent lie to cover for his lack of a plan. Ma… https://t.co/wG9tJF05rg,MileHighTemplar,2018-10-19 20:36:12,"Denver, CO"
"RT @PolisForCO: VP Mike Pence: @WalkerStapleton would bring the ""same kind of leadership"" to Colorado that he &amp; Trump have brought to Ameri…",seanspam,2018-10-19 20:35:26,
@silentbearmusic @PolisForCO @ColoradoRising @BernieSanders Do you even know what fracking is?,cbiemiller,2018-10-19 20:34:31,Colorado
RT @flttrbydragnfly: @apoliticvoice @LauraLoomer Yes!! @LauraLoomer please come and investigate @PolisForCO very soon. Colorado could be lo…,Getaclue77,2018-10-19 20:34:28,
"@5280StreetDogs @PolisForCO @WalkerStapleton Streetdogs, you are SO WRONG. 
Try reading and listening to something other than FUXnews.",FUDonnyT,2018-10-19 20:34:25,
"RT @PolisForCO: This is democracy. Three generations of voters in Arapahoe made plans to vote! We have 18 days left, make a plan today and…",Winston00bound,2018-10-19 20:29:37,
@FrankD1992 @KAW710CO @jeffhunt @PolisForCO I’ve exposed your tweets for the falsehoods that they are. It’s your ch… https://t.co/SQNI0J1Cqu,SentinelJust,2018-10-19 20:24:08,The Mountains
@PolisForCO What happens to these majestic animals when the environment they live in is ruined by burning fossil fu… https://t.co/kIP2Ba5LVr,FUDonnyT,2018-10-19 20:21:49,
"RT @PolisForCO: This is democracy. Three generations of voters in Arapahoe made plans to vote! We have 18 days left, make a plan today and…",BudsnotBots,2018-10-19 20:20:09,"Commerce City, CO"
"RT @PolisForCO: Colorado is home to some of North America’s most majestic wild animals, and millions of domestic and farmed animals, too. I…",jalapenojuice,2018-10-19 20:20:06,"Colorado, USA"
@PolisForCO Wish we could vote for someone who wasn't pro fracking.  Coloradans care about the environment!,FUDonnyT,2018-10-19 20:18:16,
RT @JoeStGeorge: ICYMI: Our conversation with @PolisForCO on education -- how is he going to pay for all day Kindergarten? Our week long se…,KDVR,2018-10-19 20:16:32,"Denver, Colorado"
@FrankD1992 @KAW710CO @jeffhunt @PolisForCO You believe all the lies from the GOP ~ the GOP Tax Bill was designed f… https://t.co/Tt6a6uLyYd,SentinelJust,2018-10-19 20:14:42,The Mountains
RT @JoeStGeorge: ICYMI: Our conversation with @PolisForCO on education -- how is he going to pay for all day Kindergarten? Our week long se…,channel2kwgn,2018-10-19 20:14:04,"Denver, Colorado"
@FrankD1992 @KAW710CO @jeffhunt @PolisForCO Lol apparently you didn’t because she wasn’t physically assaulted. And… https://t.co/De37bviUUx,SentinelJust,2018-10-19 20:14:01,The Mountains
ICYMI: Our conversation with @PolisForCO on education -- how is he going to pay for all day Kindergarten? Our week… https://t.co/Pt3vtP8ZaP,JoeStGeorge,2018-10-19 20:11:32,"Denver, CO"
This is just a stuuuuuupid strategy for the #Dems to run on! In #Colorado @PolisForCO wants to repeal #Trump… https://t.co/PVoUzGVxgV,sgtmolly06,2018-10-19 20:07:30,
