Text,Handle,Time Created,Location
"RT @DADEtweets: We had @Riquet4Liberty
on the podcast back when he was running for #Florida governor. Now the #Libertarian is vying for a s…",trailduster6bt,2018-10-14 00:09:46,German Democratic Republic
"RT @afterpartiesorg: FLORIDA @GreenPartyFL @LP_Florida https://t.co/5tsshvGhoN, https://t.co/GzysNVomGk, @beaukpad @iElijahManley @Riquet4L…",Jillzywillzy,2018-10-11 02:41:23,"Venice, FL"
"FLORIDA @GreenPartyFL @LP_Florida https://t.co/5tsshvGhoN, https://t.co/GzysNVomGk, @beaukpad @iElijahManley… https://t.co/mHfxpQ9DIH",afterpartiesorg,2018-10-10 18:53:55,
RT @Riquet4Liberty: Honored to contribute grain of sand to the fight against the bankrupt philosophy of #Socialism. #WalkAway https://t.co/…,salvador_soldi,2018-10-10 13:54:12,United States
"RT @Riquet4Liberty: ""The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking."" Alb…",Jamesmiltonray,2018-10-10 09:39:52,"Florida, USA"
"I keep telling @Riquet4Liberty we NEED to ban pants with belt-loops, but he won't listen!!! https://t.co/0GjIKortNS (NSFW language)",Jamesmiltonray,2018-10-10 09:39:29,"Florida, USA"
"@jaketapper One guy who deserves some attention is south Florida's @Riquet4Liberty 

https://t.co/ZNw4yC45D2",Jamesmiltonray,2018-10-10 06:55:27,"Florida, USA"
"RT @DADEtweets: We had @Riquet4Liberty
on the podcast back when he was running for #Florida governor. Now the #Libertarian is vying for a s…",LucianDeKari,2018-10-09 21:40:40,"Panama City, FL"
"RT @DADEtweets: We had @Riquet4Liberty
on the podcast back when he was running for #Florida governor. Now the #Libertarian is vying for a s…",LP_Florida,2018-10-09 21:03:24,Florida
"@DADEtweets @Riquet4Liberty @LPNational This might interest you, @doug_hanks.",nicolasajimenez,2018-10-09 19:33:03,"Miami, Fla."
"RT @DADEtweets: We had @Riquet4Liberty
on the podcast back when he was running for #Florida governor. Now the #Libertarian is vying for a s…",nicolasajimenez,2018-10-09 19:21:26,"Miami, Fla."
"We had @Riquet4Liberty
on the podcast back when he was running for #Florida governor. Now the #Libertarian is vying… https://t.co/NFbDcGWfO8",DADEtweets,2018-10-09 19:20:59,"Miami, FL"
RT @Riquet4Liberty: Honored to contribute grain of sand to the fight against the bankrupt philosophy of #Socialism. #WalkAway https://t.co/…,George_T_L_3,2018-10-09 15:44:26,United States
RT @Riquet4Liberty: Honored to contribute grain of sand to the fight against the bankrupt philosophy of #Socialism. #WalkAway https://t.co/…,Jamesmiltonray,2018-10-09 15:39:47,"Florida, USA"
"¡Mira quién es! Spotted @Riquet4Liberty in this @reason video by @GloriaAlvarez85.
https://t.co/eyNb21l4Sy https://t.co/dbFMGJ8WHm",nicolasajimenez,2018-10-09 14:46:09,"Miami, Fla."
