Text,Handle,Time Created,Location
"RT @WolfForPA: I want to reform our criminal justice system.
That's why I worked with leaders to:
→Sign the nation’s first clean slate legi…",krisbm2,2018-10-19 21:01:17,"Pennsylvania, USA"
"RT @WolfForPA: I want to reform our criminal justice system.
That's why I worked with leaders to:
→Sign the nation’s first clean slate legi…",EasttownDems,2018-10-19 21:00:46,Berwyn  |  Devon  |  Paoli
"RT @WolfForPA: When I promised to protect all Pennsylvanians, I meant our furry friends too. That’s why I signed Libre’s law, landmark anim…",krisbm2,2018-10-19 20:59:43,"Pennsylvania, USA"
RT @EasttownDems: 🌊🌊🌊 My sweet committeepeople do humor me! We're totally pumped for @HoulahanForPa @WolfForPA @Bob_Casey @JohnFetterman @T…,AviFlyGirl,2018-10-19 20:57:20,GeeksResist Headquarters
"RT @immelza: @WolfForPA is running for PA Governor. Wolf supports women's rights, equality &amp; education. He expanded #Medicare now PA uninsu…",MSudsie,2018-10-19 20:52:35,"Wisconsin, USA"
"Sadly, not surprised. @GovernorTomWolf has vetoed welfare reform legislation. @WolfForPA benefits from @SEIU’s prof… https://t.co/nvAel0ZwSp",MattBrouillette,2018-10-19 20:51:29,"Pennsylvania, USA"
@WolfForPA @ellievan65 We must stop the new Farm Bill which is a sham cover for overriding thousands of state level… https://t.co/GdgNQNlyZg,M51382131,2018-10-19 20:42:04,
Mission accomplished! #MakingItHapPENN for @Ron_Dinicola @Bob_Casey @WolfForPA @JohnFetterman @BobMerski… https://t.co/wUEmbbrewl,JustJason4Erie,2018-10-19 20:39:37,Erie PA
"@WolfForPA @ellievan65 Fortunately, Tom is running against an idiot. Unfortunately, that now describes 95% of the RepubliKlan party.",ksk1951,2018-10-19 20:39:02,"Pennsylvania, USA"
"RT @WolfForPA: I want to reform our criminal justice system.
That's why I worked with leaders to:
→Sign the nation’s first clean slate legi…",johnewetzel,2018-10-19 20:33:54,
"RT @WolfForPA: When I promised to protect all Pennsylvanians, I meant our furry friends too. That’s why I signed Libre’s law, landmark anim…",ellievan65,2018-10-19 20:33:28,"Wisconsin, USA"
Guns in schools: A local PA school boards quietly changes policy to allow teachers and staff to be armed. A mo. lat… https://t.co/eNS7ceGbec,andrea_helene,2018-10-19 20:33:28,Los Angeles. CA
"RT @WolfForPA: I want to reform our criminal justice system.
That's why I worked with leaders to:
→Sign the nation’s first clean slate legi…",ellievan65,2018-10-19 20:33:05,"Wisconsin, USA"
"RT @DebeHudson: @blondeintheburg Yahoo! It's working. #BlueWaveComing2018

All our Democrats can make a difference in clean water, air, peo…",blondeintheburg,2018-10-19 20:32:15,"Pittsburgh, PA"
"RT @immelza: @WolfForPA is running for PA Governor. Wolf supports women's rights, equality &amp; education. He expanded #Medicare now PA uninsu…",KathCLeSage,2018-10-19 20:12:56,"Skippack, PA, USA"
"RT @WolfForPA: I want to reform our criminal justice system.
That's why I worked with leaders to:
→Sign the nation’s first clean slate legi…",BenFrankB,2018-10-19 20:09:48,"Lancaster, PA"
"RT @WolfForPA: I want to reform our criminal justice system.
That's why I worked with leaders to:
→Sign the nation’s first clean slate legi…",handygandy12,2018-10-19 20:07:16,
"RT @WolfForPA: I want to reform our criminal justice system.
That's why I worked with leaders to:
→Sign the nation’s first clean slate legi…",HMeemaw,2018-10-19 20:03:47,Northeast USA   *Illegitimi non carborundum*
RT @EasttownDems: 🌊🌊🌊 My sweet committeepeople do humor me! We're totally pumped for @HoulahanForPa @WolfForPA @Bob_Casey @JohnFetterman @T…,HMeemaw,2018-10-19 20:01:51,Northeast USA   *Illegitimi non carborundum*
"RT @immelza: @WolfForPA is running for PA Governor. Wolf supports women's rights, equality &amp; education. He expanded #Medicare now PA uninsu…",steve_amp,2018-10-19 19:59:44,The Twilight Zone
"RT @WolfForPA: I want to reform our criminal justice system.
That's why I worked with leaders to:
→Sign the nation’s first clean slate legi…",RickieBansbach,2018-10-19 19:59:15,"Pennsylvania, USA"
