Text,Handle,Time Created,Location
RT @DanLairdMD: @GovSandoval @AdamLaxalt @SenCortezMasto Anti-opioid zealotry harms chronic pain patients.,Elianok10,2018-12-07 20:32:25,
LOL @AdamLaxalt pulled a Gary Johnson dropping off the face of social media after an election loss.,crevassier,2018-12-07 19:27:57,"Reno, NV"
".@MarkAmodeiNV2 Hey look! A Bundy has more principals than you!

@DeanHeller @AdamLaxalt Please clap. https://t.co/o3fs1PU4Oa",nevadamrjones,2018-12-07 19:19:30,"Carson City, NV"
RT @DanLairdMD: @GovSandoval @AdamLaxalt @SenCortezMasto Anti-opioid zealotry harms chronic pain patients.,TracyBe23425720,2018-12-07 11:32:55,"Minnesota, USA"
@DanLairdMD @GovSandoval @AdamLaxalt @SenCortezMasto Can we clone a 100 of you and have you move to Oregon? It is a living nightmare here and is about to become a living hell.,knidonovan,2018-12-07 05:56:36,Portland
@DanLairdMD @GovSandoval @AdamLaxalt @SenCortezMasto True CDC like living by Been annoying neighbor in the neighborhood is jabbering away don’t have no relations what the hell they’re talking about I make this shit up as a gum maybe they got hit and ran over see if they want to Tylenol,Bozo21inc,2018-12-07 03:15:56,
"@DanLairdMD @GovSandoval @AdamLaxalt @SenCortezMasto CDC Don’t have no I deer with pain sit there in your circle, and what’s up with what they believe .There no kinda dr Agrees with medicine people with autoimmune disease and affects the nerves and other problems deep in their body say neither pain relief",Bozo21inc,2018-12-07 03:13:17,
@DanLairdMD @GovSandoval @AdamLaxalt @SenCortezMasto In a you can’t take so many Ternal. And it’s extra hard and kills you’re from what they’re saying new studies I never did anything for me,Bozo21inc,2018-12-07 03:10:21,
RT @DanLairdMD: @GovSandoval @AdamLaxalt @SenCortezMasto Anti-opioid zealotry harms chronic pain patients.,OconnorPeggy,2018-12-06 21:42:12,"Virginia, USA"
RT @DanLairdMD: @GovSandoval @AdamLaxalt and all the other self-serving anti-opioid crusading politicians: Will you apologize to all the st…,masonis_marilyn,2018-12-06 17:54:57,"Michigan, USA"
"@DanLairdMD @GovSandoval @AdamLaxalt @SenCortezMasto seriously, muscle relaxers, neurontin, lyrica?
radio frequency ablation?
What ARE we supposed tio use?
My new ""pain mgmt"" dr said tylenol.
TYLENOL.
4000mg daily limit
😳
I still need my liver",mbDunningKruger,2018-12-06 15:21:55,"California, USA"
RT @DanLairdMD: @GovSandoval @AdamLaxalt @SenCortezMasto Anti-opioid zealotry harms chronic pain patients.,garysplace101,2018-12-06 15:18:55,"Arizona, USA"
@GovSandoval @AdamLaxalt @SenCortezMasto Anti-opioid zealotry harms chronic pain patients.,DanLairdMD,2018-12-06 15:17:42,"Las Vegas, NV"
"@AlabamaAnnaJ @MomE6363 @ClarkCountyNV @SteveSisolak @LASairport @RenoAirport @AdamLaxalt I agree! Then if .@SteveSisolak gets his way, he will have his big fat hands in our pockets to pay for all the costs for his #HarryReid payoff.  This is his first priority as governor-to-be. This tells us what kind of governor he will be for sure.",BarbArn,2018-12-06 00:19:13,"Las Vegas, NV"
@MomE6363 @BarbArn @ClarkCountyNV @SteveSisolak @LASairport @RenoAirport @AdamLaxalt Leave them both alone!,AlabamaAnnaJ,2018-12-05 21:29:40,"Las Vegas, NV"
RT @MomE6363: @ClarkCountyNV @SteveSisolak @LASairport @RenoAirport @AdamLaxalt NO! NO! NO!!! Please do not consider renaming McCarran Airp…,BarbArn,2018-12-05 21:01:40,"Las Vegas, NV"
RT @mike_pence: Great to see @AdamLaxalt today in Carson City! Get out and vote to make him the next Governor of Nevada! https://t.co/gjg8R…,Ginny_Zahnke,2018-12-05 16:51:14,Bahamas
@MichelleRindels @AdamLaxalt He flunked contracts in law school.,MickStrongin,2018-12-05 16:26:43,Las Vegas
@MichelleRindels @TheNVIndy @AdamLaxalt ?????corruption????,R2Roche,2018-12-05 01:00:02,
RT @MichelleRindels: .@AdamLaxalt's office says he missed the Board of Examiners meeting because he was in Lovelock to chair a Committee on…,janet3621,2018-12-04 23:57:17,
