Text,Handle,Time Created,Location
"Oh I concede, no I don't, yes I do, no I don't. #andrewgillum",juliusagusta,2018-12-07 23:47:25,
"i ready for @AndrewGillum or @staceyabrams to President 2020!!! 
governorship may not have been yours but with the organizing skills, momentum and values you both exerted in 2018, i don’t see a problem with a clean sweep.",KingB4MyTime,2018-12-07 23:45:10,Mt Zion
@AndrewGillum Still can't figure out how all those people voted for it but not the politicians who would make sure it happens. Boneheads.,udaho208,2018-12-07 23:43:02,
RT @FredrickLoren59: @Houpt_Sascha @imitationbacun @weavebe @HillaryClinton @AndrewGillum Her  title should be “Her Drunkenness”. A complet…,FredrickLoren59,2018-12-07 23:41:33,"New York, USA"
"One of my favorite people in FL politics @KevinCate has provided his insider's account on Andrew Gillum's campaign through the primary, with part two to follow in a week:  ""Why @Andrewgillum Won - https://t.co/5oP3QCWxSf",Ealanbrock,2018-12-07 23:33:53,
Such a good read about @AndrewGillum‘s improbable campaign. Excited for part two. https://t.co/73iZsNbx8y,TomasAlcala,2018-12-07 23:33:46,"Miami, Fl"
@AndrewGillum ✊,PaulMiller1313,2018-12-07 23:30:37,"Chicago, IL"
@AndrewGillum @ellievan65 Illegal voter suppression/ fraud is over the top now by the GOP. They need to be penalized for their illegitimate handling of votes. Lock them up,lindavsny,2018-12-07 23:26:56,"New York, USA"
RT @AnaCabrera: What do @BetoORourke and @AndrewGillum have in common? Both have met with President Obama in recent weeks amid 2020 specula…,sanders_denice,2018-12-07 23:26:20,"Tennessee, USA"
Why am I NOT surprised... this is a travesty ..... https://t.co/cyJvklumFD,BSolloway,2018-12-07 23:24:36,"Jacksonville, FL"
@KevinCate @AndrewGillum ❤️ this. I was in Riviera Beach with a friend when I heard him talk about August 28. He meant it and in that moment we all felt it. Hope he runs again. We’ll all be here for him when he does and next time he’ll win.,NancyTwinMama,2018-12-07 23:23:18,"Florida, USA"
"@AndrewGillum @RonDeSantisFL 

Yes, as of yet, I’ve had no response or acknowledgement of my letter sent to:
The Future #Governor of #Florida 

#concerns #mail #DangerZone #mosquito #ticks #LymeDisease #LymeDiseaseExistsInFlorida #Denial #Medical #EducateDoctors #HelpFromFriends #HELP_ME https://t.co/RpY2aLM1VN",kristie4lyme,2018-12-07 23:19:13,"Boynton Beach, FL"
@jonfavs Dems need to get @staceyabrams and @AndrewGillum on board for messaging. How about a drumbeat for resignation? Why do they stay silent?,SpeakOutNow16,2018-12-07 23:15:04,
"RT @KevinCate: Why @AndrewGillum Won — Part One. 

https://t.co/N2hxV06onz",brandonujohnson,2018-12-07 23:14:01,Florida A&M University 
"RT @KevinCate: Why @AndrewGillum Won — Part One. 

https://t.co/N2hxV06onz",CATECOMM,2018-12-07 23:07:44,Tallahassee/Tampa Bay/Orlando
RT @HelenArmstrong5: @AndrewGillum @fightfor15 @ScottWalker @SenatorRoth @SenFitzgerald @repvos @RepSteineke @WIGOPSenate 2. CALL THESE GOP…,jsdraze79,2018-12-07 23:06:13,"Porterfield, WI"
"@KevinCate @AndrewGillum “If you ain’t first, yer last”
-Ricky Bobby",brainbadrash,2018-12-07 23:05:41,up here in my tree
RT @HelenArmstrong5: @AndrewGillum @fightfor15 @ScottWalker @SenatorRoth @SenFitzgerald @repvos @RepSteineke @WIGOPSenate 2. CALL THESE GOP…,nancymhet,2018-12-07 23:03:54,"Eau Claire, WI"
"RT @HelenArmstrong5: @AndrewGillum @fightfor15 WI GOP thieves CALL THEM. #StrikeWI

Ph # start w 608-266

Gov Scott Walker
@ScottWalker
Ph…",nancymhet,2018-12-07 23:03:51,"Eau Claire, WI"
@AndrewGillum The poison pill. Who didn't see this coming?,step4battle,2018-12-07 23:03:48,"Texas, USA"
