Text,Handle,Time Created,Location
"@BrianKempGA Nice slideshow! Cozy family, farm.",washqbuck,2018-12-08 00:00:56,
@BrianKempGA I agree and congratulations!,Colel5,2018-12-08 00:00:17,Watkinsville Ga 
@BrianKempGA This is a lovely photo.,sidneys2d,2018-12-07 23:58:41,Shipyard Creek
@BrianKempGA I’m very proud of Marty. Ga is very proud she will be our First Lady,bertieshabel,2018-12-07 23:57:12,"Georgia, USA"
"@BrianKempGA God bless you, and your wife Sr.",RourkeBeto,2018-12-07 23:57:03,
@BrianKempGA Nice to meet you just Marty! I am just Tatiana. Peach 🍑 State and Tatiana love Savannah . Please go there for me. Once again congratulations Brian on your win.,twright55,2018-12-07 23:56:38,"McLean, VA"
RT @ABKayEl: @chrislhayes It's because we here in GA have been fighting this kind of electoral fraud with @BrianKempGA for years AND NO ONE…,Janeway12004,2018-12-07 23:55:37,
"@BrianKempGA If she married you, something is bad wrong with her and Georgia doesn’t want her.🤢",PerezJeremiah,2018-12-07 23:55:00,"Georgia, USA"
@BrianKempGA FUCKYOU,JJZagata,2018-12-07 23:53:10,Los Angeles
❤️ https://t.co/EejiRzIkY8,sasteedley14,2018-12-07 23:52:17,"Georgia, USA"
"Incredibly proud of my wife, Marty, and know she's going to serve all Georgians well as First Lady -&gt; https://t.co/NFtw9z8IGz #gapol",BrianKempGA,2018-12-07 23:52:04,"Athens, GA"
@chrislhayes It's because we here in GA have been fighting this kind of electoral fraud with @BrianKempGA for years AND NO ONE CARES ENOUGH TO DO ANYTHING ABOUT IT. 🤷,ABKayEl,2018-12-07 23:50:36,Atlanta
"RT @DanPeacock12: NOT  1 jet has flown over in 2 Days No Commercial  traffic in my area.

 Now this morning from Every Direction #weatherWa…",Sharon05860493,2018-12-07 23:47:49,
"RT @DanPeacock12: NOT  1 jet has flown over in 2 Days No Commercial  traffic in my area.

 Now this morning from Every Direction #weatherWa…",AndrisDoveiks,2018-12-07 23:47:25,Ikšķile
"@BrianKempGA 2 Samuel 22
7 “In my distress I called to the LORD; I called out to my God. From his temple he heard my voice; my cry came to his ears. 
8 The earth trembled and quaked, the foundations of the heavens shook; they trembled because he was angry. 
9 Smoke rose from his nostrils... https://t.co/4UJMJCkRtR",Mike02963693,2018-12-07 23:42:48,
