Text,Handle,Time Created,Location
"It's funny to me that Trump wants someone ""politically savvy"" as his COS and first thinks of Nick Ayers, a major architect of @BruceRauner's disastrous term marked by lunatic and needless political self-harm. Ayers will surely pour gasoline on the ongoing dumpster fire.",gjzielinski,2018-12-07 22:47:19,
RT @lansingboy: Poison 4 Profit. Your company @Sterigenics1 @BruceRauner   @StopSterigenics https://t.co/VXhWcNC2kz,carissa40066490,2018-12-07 21:45:07,
RT @lansingboy: Poison 4 Profit. Your company @Sterigenics1 @BruceRauner   @StopSterigenics https://t.co/VXhWcNC2kz,MarginofEra,2018-12-07 21:18:06,"Illinois, USA"
RT @lansingboy: Poison 4 Profit. Your company @Sterigenics1 @BruceRauner   @StopSterigenics https://t.co/VXhWcNC2kz,NLVZ1314,2018-12-07 20:20:53,
RT @lansingboy: Poison 4 Profit. Your company @Sterigenics1 @BruceRauner   @StopSterigenics https://t.co/VXhWcNC2kz,jen_mcconahy,2018-12-07 19:32:57,"Burr Ridge, IL"
@QuancyClayborne @BruceRauner !,IndivisibleNap,2018-12-07 19:32:09,
Poison 4 Profit. Your company @Sterigenics1 @BruceRauner   @StopSterigenics https://t.co/VXhWcNC2kz,lansingboy,2018-12-07 18:49:32,Chicago
@GovWalker Sorry. Gov. @BruceRauner can no longer help you out. #twill #ILjobs,Futureme2007,2018-12-07 18:47:04,Chicago
"@Marco2041972 @POTUS @cnnbrk @AssociatedPress @FoxNews @TIME @nytimes @washingtonpost @chicagotribune @WSJ @SNLUpdate @Trevornoah @realDonaldTrump @ABC @NBCNightlyNews @CBSNews @LouDobbs @CivilRights @Twitter @TGowdySC @YouTube @HillaryClinton @RandPaul @ChrisCuomo @HowardStern @FaceTheNation @DevinNunes @MeetThePress @librarycongress @PressSec @SenTedCruz @SenJohnMcCain @SenTomCotton @StephenAtHome @senatemajldr @SenWarren @SenatorCollins @lisamurkowski @jimmyfallon @SethMacFarlane @GeorgeHWBush @JebBush @laurawbush @MichaelAvenatti @BruceRauner @BarackObama  as much as I disliked bank bailouts for the 2nd time in 30 years (S&amp;L). We have promoted stupid to top levels of companies, @realDonaldTrump you don’t get a pass you threw gas on a fire with tax cuts. We poor people will pay forever @cnn @ChrisCuomo @HillaryClinton",mpa_mark,2018-12-07 18:14:54,
@mpa_mark @Marco2041972 @POTUS @cnnbrk @AssociatedPress @FoxNews @TIME @nytimes @washingtonpost @chicagotribune @WSJ @SNLUpdate @Trevornoah @realDonaldTrump @ABC @NBCNightlyNews @CBSNews @LouDobbs @CivilRights @Twitter @TGowdySC @YouTube @HillaryClinton @RandPaul @ChrisCuomo @HowardStern @FaceTheNation @DevinNunes @MeetThePress @librarycongress @PressSec @SenTedCruz @SenJohnMcCain @SenTomCotton @StephenAtHome @senatemajldr @SenWarren @SenatorCollins @lisamurkowski @jimmyfallon @SethMacFarlane @GeorgeHWBush @JebBush @laurawbush @MichaelAvenatti @BruceRauner @Lebron @LindseyGrahamSC @Ocasio2018 Stay off the Meths and Stop watching CNN you might figure things out and come up with a better result,WimRosl,2018-12-07 09:58:54,
@johnpletz @CrainsChicago @JBPritzker I’m pretty sure @BruceRauner unpopularity helped,Donillini,2018-12-07 05:08:19,Chicago
@JBPritzker a satanic statue in the Capitol building.  see when you are born with a silver spoon you have zero toughness.  zero.  Go there and rip it out @JeanneIves @BruceRauner,tjghetto,2018-12-07 02:53:25,
@UgaritNoosphere @BruceRauner He has that hedge fund money waiting for him when he leaves. I think he'll be okay lol,MikeCarolla,2018-12-07 01:36:23,"New York, USA"
Do you think @BruceRauner just spends evening after evening in existential despair over having completely wasted 4 years of the one life he’s ever going to have?,UgaritNoosphere,2018-12-07 00:50:17,
