Text,Handle,Time Created,Location
Today is my friendsmas (which because of a sequence of events we have been calling ChrisSununu don’t ask) and I’m so excited these people got me through my first semester of college and I owe them so much,delaney_jz,2018-12-07 15:43:38,I like to pretend I'm famous
"RT @TheWhiteHatter: Thank you @ChrisSununu for leading the way and your rousing remarks before the selecting of delegates. 
The time is now…",JoeSweeneyNH,2018-12-07 03:20:44,"New Hampshire, USA"
"Thank you @ChrisSununu for leading the way and your rousing remarks before the selecting of delegates. 
The time is now to get back on track.
@RockinghamCoGOP https://t.co/qqPJy0bckn",TheWhiteHatter,2018-12-07 03:18:44,"Atkinson, New Hampshire"
"@ChrisSununu hello, do I get a reply?",realSaschaBarth,2018-12-06 23:39:45,United States
"RT @ChrisMoyerNH: ""The Democrats’ best offensive opportunity may be in NH, a perpetually swingy state that reelected @ChrisSununu to a seco…",michbeyer,2018-12-06 22:55:35,"Washington, DC"
"RT @ChrisMoyerNH: ""The Democrats’ best offensive opportunity may be in NH, a perpetually swingy state that reelected @ChrisSununu to a seco…",ChairmanBuckley,2018-12-06 19:47:16,"Manchester, New Hampshire"
RT @michbeyer: This is beyond laughable. Municipalities could reduce property taxes by expanding renewable energy. @ChrisSununu knows that…,CousinSnitt,2018-12-06 19:46:01,NH
RT @michbeyer: This is beyond laughable. Municipalities could reduce property taxes by expanding renewable energy. @ChrisSununu knows that…,ChairmanBuckley,2018-12-06 19:42:31,"Manchester, New Hampshire"
RT @michbeyer: This is beyond laughable. Municipalities could reduce property taxes by expanding renewable energy. @ChrisSununu knows that…,StonewallNH,2018-12-06 16:20:40,New Hampshire
This is beyond laughable. Municipalities could reduce property taxes by expanding renewable energy. @ChrisSununu knows that but is only interested in carrying out the agenda of his campaign donor Eversource #nhpolitics https://t.co/L1ZjO5iSbh,michbeyer,2018-12-06 15:10:29,"Washington, DC"
"""The Democrats’ best offensive opportunity may be in NH, a perpetually swingy state that reelected @ChrisSununu to a second 2-year term but simultaneously flipped control of the state legislature from red to blue. Sununu...could be vulnerable."" #nhpolitics https://t.co/1ySxkYs4wJ",ChrisMoyerNH,2018-12-06 13:14:41,
"RT @Jay1043: For an entertaining podcast listen about 💰in NH politics, scroll to the 30 min. mark: discussion of NH legal &amp; political celeb…",nh4progress,2018-12-06 13:00:59,NH
RT @ScarlettMLewis: Warm welcome in New Hampshire. @ChrisSununu https://t.co/qRat6qOOzF,LowellRoemer,2018-12-06 05:19:04,"Longview, WA USA"
RT @StellaDeSantis4: #freepamsmart next! @ZellnerLaw @ChrisSununu @Jamylynnb @derrynhgop https://t.co/FEePdCY5Gk,StellaDeSantis4,2018-12-06 00:54:10,"Pennsylvania, USA"
Congratulations to all the newbies and the returnies to the @NHHouseofReps and the @TheNHSenate with a special shout out to Leaders @ShurtleffSteve @DonnaSoucy @ChrisSununu. We are excited to support a great term with you protecting the beauty of the #603 #NHpolitics,NHSierraClub,2018-12-05 23:08:32,"Concord, NH"
Don’t count on the @NHDems to be a check on @ChrisSununu.,Gains__,2018-12-05 20:34:39,Houston
RT @CelineTVNEWS: The man accused of threatening NH Governor @ChrisSununu through an online message to the CIA heads to court in #Concord i…,GalenEttlin,2018-12-05 18:18:46,"Burlington, VT"
The man accused of threatening NH Governor @ChrisSununu through an online message to the CIA heads to court in #Concord in less than an hour. https://t.co/2PEGQHekrV,CelineTVNEWS,2018-12-05 15:17:38,"Burlington, VT"
@zapeters @LaurieJasperNH @ChrisSununu @GovLarryHogan @GovChrisSununu @LarryHogan Standing next to his pal Betsy?,undergpossum,2018-12-05 04:09:13,New Hampshire
"RT @CelineTVNEWS: Concord man arrested, accused of sending threatening message about Governor @ChrisSununu to @CIA website stating that he’…",wcax,2018-12-05 03:06:46,"Burlington,VT"
