Text,Handle,Time Created,Location
"How awesome is this?  @SenWhitehouse @SenJackReed @davidcicilline @JimLangevin @GinaRaimondo thank you for this shout out. Love being a counselor, working for RISDeaf and being in Rhode Island @RIDeptEd @RISCATweets @ASCAtweets https://t.co/5XO0qRnjLi",jebatiano,2018-12-07 23:55:53,Rhode Island
"RT @Mark_Shriver: Congratulations on your new leadership role, @GinaRaimondo! We look forward to working with you and governors across the…",meairy,2018-12-07 20:30:03,"Cedar Rapids, IA"
@projo @GinaRaimondo going to blame @DonGrebien ?,Jeffpal85,2018-12-07 19:13:06,
"RT @kowyatt: Take a listen to this @GovLovePodcast with @CommerceRI secretary Stefan Pryor - we talk #ecdev, his work with Governor @GinaRa…",GovLovePodcast,2018-12-07 16:02:45,City Hall
@GinaRaimondo why are you protecting the criminal #ScottAvedisian ? #WarwickRI #WarwickFireDept  #RI #FridayFact #FridayReads #FridayMotivation https://t.co/mlRJzmMu3m,WarwickWatchRI,2018-12-07 14:38:43,"Warwick, RI"
@GinaRaimondo #RI #corruption #Dems #Warwick #Avedisian https://t.co/eEjFseojm9,WarwickWatchRI,2018-12-07 14:36:51,"Warwick, RI"
"RT @kowyatt: Take a listen to this @GovLovePodcast with @CommerceRI secretary Stefan Pryor - we talk #ecdev, his work with Governor @GinaRa…",bruce_katz,2018-12-07 14:36:17,"Washington, DC"
"Take a listen to this @GovLovePodcast with @CommerceRI secretary Stefan Pryor - we talk #ecdev, his work with Governor @GinaRaimondo, and why he thinks Johnny Cash is better than @U2: https://t.co/8iXxS4ZFYe https://t.co/ZDAU712SfE",kowyatt,2018-12-07 14:35:08,"West Linn, Oregon"
"RT @StopPollution9: this is what the world will look like soon....help stop before it gets worse
start recycling!
#pollution #savetheplanet…",atrayu3,2018-12-07 05:43:57,UK
RT @GinaRaimondo: Let’s keep going. Go faster. And keep bringing the change. https://t.co/c68ca2FRet,CarolMaeWY,2018-12-07 01:58:11,Short Grass Prairie of WY
"Hey Rhode Island, do you think climate change could take our state's beauty?
@Blake_Filippi @BrianCNewberry @MikeWChip @repmorgan @JimLangevin @davidcicilline @MayorFung @GinaRaimondo @GinaRaimondo @SenatorRuggerio @CindyCoyneRI @OBrien2018forNP @SenLynchPrata @SerpaPserpa2004 https://t.co/Sd91XQDZLy",IsEnvironment,2018-12-07 01:47:54,
"RT @StopPollution9: this is what the world will look like soon....help stop before it gets worse
start recycling!
#pollution #savetheplanet…",WOjCQwQJgcW801q,2018-12-07 01:45:17,
"RT @StopPollution9: this is what the world will look like soon....help stop before it gets worse
start recycling!
#pollution #savetheplanet…",muchoray,2018-12-07 01:44:09,Run Lolita
RT @GinaRaimondo: Let’s keep going. Go faster. And keep bringing the change. https://t.co/c68ca2FRet,Kat4Obama,2018-12-07 01:03:54,"Washington State, USA"
@NomDeVoyage1 @PhilMurphyNJ @DemGovs @GinaRaimondo Tell em how you really feel.... hahahahaha,Ross1Jim,2018-12-06 23:47:49,United States
"RT @StopPollution9: this is what the world will look like soon....help stop before it gets worse
start recycling!
#pollution #savetheplanet…",beverlynichols,2018-12-06 23:14:55,"Las Vegas, NV ps it's Nevaaada like tha*t!"
"RT @StopPollution9: this is what the world will look like soon....help stop before it gets worse
start recycling!
#pollution #savetheplanet…",Nutkin_GQWP,2018-12-06 23:14:35,"England, United Kingdom"
"RT @StopPollution9: this is what the world will look like soon....help stop before it gets worse
start recycling!
#pollution #savetheplanet…",ExBatsforEver,2018-12-06 22:47:05,Kent
