Text,Handle,Time Created,Location
"#Hawaii  @GovHawaii   sworn into office for 2nd term as Hawaii’s governor, saying this generation’s legacy will rest on how well it prepares children for a technology-driven future https://t.co/3VVVrN6K7x @HITribuneHerald   #imuaTMT #WeSupportTMT",SylvieDahl,2018-12-07 23:40:03,"Hilo, Hawaii"
"RT @GovHawaii: 2,400 American servicemen and servicewomen and 1,100 American citizens lost their lives 77 years ago today at Pearl Harbor.…",Darediva,2018-12-07 23:11:48," Jonesboro, AR, USA"
"RT @GovHawaii: 2,400 American servicemen and servicewomen and 1,100 American citizens lost their lives 77 years ago today at Pearl Harbor.…",CEDRdigital,2018-12-07 22:54:30,United States
🧐 https://t.co/7NP2o76ArB,chadvictory,2018-12-07 22:42:58,Chicago via Kauai 
@GovHawaii @Qualcomm This video quality is terrible!,BjGD23,2018-12-07 22:40:18,Utah
"Understand your background as an engineer powers your love of these things..wish you loved our land, water, people and Mauna as much.  Technology to date has not protected these things on our very fragile islands. https://t.co/bum0Y5K6xW",EAducator,2018-12-07 22:39:15,"Honolulu, HI"
RT @GovHawaii: Addressing you from the moon in #VirtualReality using VIVE Focus VR headset at the #SnapDragonSummit with @Qualcomm. Great d…,PBN_Anna,2018-12-07 22:34:34,"Honolulu, HI"
@GovHawaii @Qualcomm https://t.co/rUynoXCrma,bluehawaiipod,2018-12-07 22:32:02,"Honolulu, HI"
Addressing you from the moon in #VirtualReality using VIVE Focus VR headset at the #SnapDragonSummit with @Qualcomm. Great discussion on tech powered by #5G #Snapdragon855. #HIGov https://t.co/AqXpsv7LOD,GovHawaii,2018-12-07 22:27:46,"Honolulu, HI"
"RT @GovHawaii: 2,400 American servicemen and servicewomen and 1,100 American citizens lost their lives 77 years ago today at Pearl Harbor.…",DannoCS_,2018-12-07 21:20:55,"Lisbon, Portugal"
"大平洋戦争開戦 真珠湾攻撃の日
沖縄の血を持つ日系移民のハワイ州イゲ知事がこのようなコメントをする背景を 日本の入管法改定する政治家は少し心に留めて欲しい https://t.co/NcxyOsJ34s",MOCO96815,2018-12-07 21:07:22,港出船の銅鑼の音愉し
"RT @GovHawaii: 2,400 American servicemen and servicewomen and 1,100 American citizens lost their lives 77 years ago today at Pearl Harbor.…",RyanNutrition,2018-12-07 20:56:32,San Jose/Silicon Valley
"RT @GovHawaii: 2,400 American servicemen and servicewomen and 1,100 American citizens lost their lives 77 years ago today at Pearl Harbor.…",WataugaDems,2018-12-07 20:55:08,"Boone, NC"
"RT @GovHawaii: 2,400 American servicemen and servicewomen and 1,100 American citizens lost their lives 77 years ago today at Pearl Harbor.…",kbMaui_,2018-12-07 20:42:34,"Lahaina, HI"
"RT @GovHawaii: 2,400 American servicemen and servicewomen and 1,100 American citizens lost their lives 77 years ago today at Pearl Harbor.…",EmsjpinHI,2018-12-07 20:41:57,"Honolulu, HI"
