Text,Handle,Time Created,Location
RT @chadjamian: And now here’s a video of my cat running into my room to say “I love you” and then not being able to handle the emotions of…,Gerald_Locz,2018-12-07 22:19:18,United States
RT @chadjamian: And now here’s a video of my cat running into my room to say “I love you” and then not being able to handle the emotions of…,SVUAngelDelgado,2018-12-07 22:19:18,"New York, USA"
RT @chadjamian: And now here’s a video of my cat running into my room to say “I love you” and then not being able to handle the emotions of…,MVO_Drizz,2018-12-07 22:19:17,Practice lol
"I decided to handle closing my Mom’s estate by myself. Anyone’s help complicates and worsens everything. Suicide’s side effects are complex, painful, and isolating. It all feels like punishment and nothing brings me peace accept handling it all myself.",lightskinwalka,2018-12-07 22:19:17,"Salt Lake City, UT"
"RT @RedactedTonight: Every day thousands of ads tell you to need more, yet our world can't handle this level of consumption. It's collapsin…",screamoisntdead,2018-12-07 22:19:17,lost
"RT @DanWolken: Hugh Freeze, on running a faith-based program and his belief in Jesus: “He’s the only one I’ve ever met who can handle my ju…",Willscha1,2018-12-07 22:19:16,
RT @chadjamian: And now here’s a video of my cat running into my room to say “I love you” and then not being able to handle the emotions of…,Danisaur567,2018-12-07 22:19:15,"Phoenix,AZ"
"RT @LincolnsKE: I was at 4000 followers, now I’m at 13.9K !! 😱 You need to Join this wave! 🏄🏾‍♂️🏄🏾‍♀️

IF YOU ARE ONLINE 🗣🗣🗣🗣 RETWEET &amp; LIK…",oohgabb,2018-12-07 22:19:14,ATL 
RT @chadjamian: And now here’s a video of my cat running into my room to say “I love you” and then not being able to handle the emotions of…,Artistic_mk01,2018-12-07 22:19:13,Crying
RT @chadjamian: And now here’s a video of my cat running into my room to say “I love you” and then not being able to handle the emotions of…,jackie_kozloski,2018-12-07 22:19:11,"Wilmington, DE"
RT @chadjamian: And now here’s a video of my cat running into my room to say “I love you” and then not being able to handle the emotions of…,jaydenskye11,2018-12-07 22:19:11,"Seattle, WA"
@RojGrobes Max is right. Game on the line magic. Steph can’t handle that pressure. None of the warriors can,jamonsessions,2018-12-07 22:19:10,"Paramon, Jalisco"
RT @chadjamian: And now here’s a video of my cat running into my room to say “I love you” and then not being able to handle the emotions of…,Lucasisti1995,2018-12-07 22:19:10,"Mississauga, Ontario"
RT @chadjamian: And now here’s a video of my cat running into my room to say “I love you” and then not being able to handle the emotions of…,asunaei,2018-12-07 22:19:09,Toronto
RT @chadjamian: And now here’s a video of my cat running into my room to say “I love you” and then not being able to handle the emotions of…,sammmyd24,2018-12-07 22:19:08,
RT @chadjamian: And now here’s a video of my cat running into my room to say “I love you” and then not being able to handle the emotions of…,nychael2,2018-12-07 22:19:08,
RT @chadjamian: And now here’s a video of my cat running into my room to say “I love you” and then not being able to handle the emotions of…,judittur,2018-12-07 22:19:08,"Barcelona, España"
RT @chadjamian: And now here’s a video of my cat running into my room to say “I love you” and then not being able to handle the emotions of…,AAlbasery,2018-12-07 22:19:08,"Chicago, IL"
"Institutionalization. Freedom 2 difficult 2 handle. Like generations of those living at the feet of govt on welfare plantations Poor whites &amp; blacks trade freedom 4 https://t.co/8uj14nORuG Gets Free, Hijacks Car N Parking Lot After Release https://t.co/7ZQVnBCMru via @dailycaller",freedomforusnow,2018-12-07 22:19:08,
RT @chadjamian: And now here’s a video of my cat running into my room to say “I love you” and then not being able to handle the emotions of…,ebolaquadrada,2018-12-07 22:19:07,
RT @chadjamian: And now here’s a video of my cat running into my room to say “I love you” and then not being able to handle the emotions of…,ShitHQSays,2018-12-07 22:19:07,pnw
Trump to handle coin toss at 2018 Army vs. Navy football game https://t.co/OFev0Snbqg https://t.co/fBJYGfeLMA,holidayhqteam,2018-12-07 22:19:06,
"RT @my69cents: Me: I can handle Johnny Walker

15 minutes later: 👇 https://t.co/rVb6X4Q1ad",kamranfazal1,2018-12-07 22:19:05,"لاہور, پاکستان"
@No1Jarlsberg It would have helped if the calendar had the correct Twitter handle as it directed people to the wrong one and they might have missed the competition for delicious cheese 🧀,mousey911,2018-12-07 22:19:05,
"RT @realDonaldTrump: ... So if you want to aim high, you have to have the guts to handle the inevitable bumps in the road."" - Think BIG",phil4gop,2018-12-07 22:19:04,
RT @cilllllaaaaa: I handle my own,big_jeffry97,2018-12-07 22:19:04,Modesto
"@fabrickind I can't play first person games to this day. =_= Weirdly enough though, I can handle watching let's plays but I also sit far back if it is on a TV.",tm_liza,2018-12-07 22:19:04,
