Text,Handle,Time Created,Location
"RT @IndivisibleNEIA: Documents showing this overpayment (Bribe) from @KimReynoldsIA were withheld until after two days after the election,…",hls22,2018-12-07 23:54:38,
"RT @IndivisibleNEIA: Documents showing this overpayment (Bribe) from @KimReynoldsIA were withheld until after two days after the election,…",TurnageJohn,2018-12-07 23:35:51,"Pleasantville,Iowa"
"RT @IndivisibleNEIA: Documents showing this overpayment (Bribe) from @KimReynoldsIA were withheld until after two days after the election,…",DaytonTiger,2018-12-07 23:25:54,
"So much winning .@KimReynoldsIA .@IAGovernor 
#Iowa let major Medicaid provider keep $2.4M in overpayments https://t.co/8qJuo2HthA via @qctimes",SahilcdesaiC,2018-12-07 21:43:35,"Bettendorf, IA"
"Great news for Iowa beef producers! #iagov

More from @agripulse:
https://t.co/l0BsY7Fagt",IAGovernor,2018-12-07 21:22:18,"Iowa, USA"
"RT @IndivisibleNEIA: Documents showing this overpayment (Bribe) from @KimReynoldsIA were withheld until after two days after the election,…",mve53,2018-12-07 20:47:43,Mason City. IA
"RT @IndivisibleNEIA: Documents showing this overpayment (Bribe) from @KimReynoldsIA were withheld until after two days after the election,…",KatyMissKaty,2018-12-07 19:51:00,"Cedar Falls, IA"
RT @desmoinesdem: Plaintiffs noted that #Iowa Supreme Court found state constitution protects #women's right to #abortion. https://t.co/rW3…,Tajalithaca,2018-12-07 19:18:31,
"My dad used to call each Dec. 7th and ask me if I knew what day it was? World War II Veterans may not talk about their service, but they sure remember or remembered that Dec. 7th was Pearl Harbor day. Thank you to our World War II Veterans seems so inadequate! But, thank you!! https://t.co/lNwSswea5V",midgetgolf1,2018-12-07 18:54:40,
"Iowa Governor Kim Reynolds [@IAGovernor] Pearl Harbor Day Proclamation, which was read by Dan Gannon, Commission Chair. One more name, LEO F. GREENWOOD, of Farley, Iowa, added to Survivor’s Memorial. Great event today. #WeRemember #NotForgotten #AllGaveSome #SomeGaveAll https://t.co/PJC8dX85tU",toddjacobus,2018-12-07 18:20:31,"Des Moines, IA"
"Dan Gannon, Chair of Iowa Commission of Veterans Affairs, read Governor Kim Reynolds’ [@IAGovernor ] Pearl Harbor Memorial Proclamation during ceremony at 11:40 am today. #WeRemember #NotForgotten https://t.co/Nam8QTspza",toddjacobus,2018-12-07 17:46:41,"Des Moines, IA"
Should have clarified way upthread: Alice Clapman of @PPFA is speaking in Polk County District Court on behalf of plaintiffs today. Martin Cannon of Thomas More Society is speaking on behalf of defendants (@IAGovernor and #Iowa Board of Medicine),desmoinesdem,2018-12-07 17:44:07,"Windsor Heights, Iowa"
"Attorney for @IAGovernor claiming #Iowa law ""does not ban a single abortion""--only requires that it happen before fetal heartbeat can be detected. Claiming plaintiffs overstate how hard it wd be to get an abortion.
(sidesteps issue: heartbeat can be detected way before viability)",desmoinesdem,2018-12-07 16:58:15,"Windsor Heights, Iowa"
"Remembering the lives lost at Pearl Harbor 77 years ago today, including several Iowans whose remains have recently been identified. #iagov

More from @AP:
https://t.co/AEXUlRKag4",IAGovernor,2018-12-07 16:56:32,"Iowa, USA"
"Plaintiffs noted that #Iowa Supreme Court found state constitution protects #women's right to #abortion. https://t.co/rW3Wr7KQt8 That case involved 72-hour waiting period approved in 2017--MUCH less restrictive than ""heartbeat"" ban #ialegis approved, @IAGovernor signed this year",desmoinesdem,2018-12-07 16:53:11,"Windsor Heights, Iowa"
"Thomas More Society is representing @IAGovernor @KimReynoldsIA &amp; #Iowa Board of Medicine because @AGIowa declined to defend 6-week #abortion ban https://t.co/c46InxLdBe
Today they're arguing against summary judgment, asking for trial b/c key facts related to case are disputed",desmoinesdem,2018-12-07 16:42:55,"Windsor Heights, Iowa"
"RT @IndivisibleNEIA: Documents showing this overpayment (Bribe) from @KimReynoldsIA were withheld until after two days after the election,…",InkonElbows,2018-12-07 16:16:03,United States
"RT @RayBake: It's a good thing Iowa elected @RobSandIA.

This smells like a $2.4 million dollar payoff quietly approved by @IAGovernor Kim…",DiannaSchwertl2,2018-12-07 16:14:24,"Iowa, USA"
"@IAGovernor at the helm- companies keeping our tax dollars, instead of having it come back to help the people that need it. 

We should be sharing this on every GOP page/website/twitter/letter to the editor in every local paper we can think of.

https://t.co/Vykpcy3vQO",KRactivist82,2018-12-07 14:58:51,
"RT @RayBake: It's a good thing Iowa elected @RobSandIA.

This smells like a $2.4 million dollar payoff quietly approved by @IAGovernor Kim…",BanaChase,2018-12-07 14:56:06,The conundrum that is Iowa. 
"RT @IndivisibleNEIA: Documents showing this overpayment (Bribe) from @KimReynoldsIA were withheld until after two days after the election,…",BoMatkin,2018-12-07 14:17:03,"Des Moines, IA"
"@john_silveria @AlwaysActions @RodStryker @realDonaldTrump @VP @onetoughnerd @GovHolcomb @GovMikeHuckabee @IAGovernor @ButchOtter @GovernorTomWolf @LtGovBradLittle @seanhannity @marklevinshow @ASavageNation @ElrushboRush This story is another example of how fucked up we've become.  I don't see Muslim ""preachers"" being arrested for expressing their views publicly.  In the case of the this man, he wasn't doing a thing.  Shameful!",librepind,2018-12-07 14:16:46,
"Documents showing this overpayment (Bribe) from @KimReynoldsIA were withheld until after two days after the election, though requested in early October. It's time for @RobSandIA to hold @IAGovernor accountable for her coverups. https://t.co/sW8nss5ogh",IndivisibleNEIA,2018-12-07 14:14:48,"Iowa, USA"
"RT @RayBake: It's a good thing Iowa elected @RobSandIA.

This smells like a $2.4 million dollar payoff quietly approved by @IAGovernor Kim…",KrystalLEstell,2018-12-07 13:20:06,"Iowa, USA"
@IAGovernor @IALtGov Schools in Iowa have to increase class size because of lack of funding. Yeah this seems more important.,chrisledman,2018-12-07 13:07:21,
"@iowadnr Overpasses and underpasses are to expensive? Iowa wildlife have no worth outside the licenses to hunt them?
Deer signs don't save them... a deer sign didn't save this Coyote... who never stood a chance crossing 4 lanes of cars going 65+ @iowadot @IAGovernor https://t.co/C1jkf4h2Ha",RealJoshuaPlace,2018-12-07 13:01:50,"Iowa, USA"
RT @IALtGov: Proud to be part of the 5th cohort of Hunt-Kean Leadership Fellows - @IAGovernor led the way as part of the very first cohort…,cahuggins,2018-12-07 05:47:31,
"RT @RayBake: It's a good thing Iowa elected @RobSandIA.

This smells like a $2.4 million dollar payoff quietly approved by @IAGovernor Kim…",PCPhartblossom,2018-12-07 03:16:19,"Coralville, IA"
"RT @ThatBlonde66: @POSPOTHUS @IAGovernor You’ve been bought, @IAGovernor ...HANDS OFF !!!",POSPOTHUS,2018-12-07 00:43:20,
"@POSPOTHUS @IAGovernor You’ve been bought, @IAGovernor ...HANDS OFF !!!",ThatBlonde66,2018-12-07 00:40:42,The kitten’s in the “mitten”😻
"RT @RayBake: It's a good thing Iowa elected @RobSandIA.

This smells like a $2.4 million dollar payoff quietly approved by @IAGovernor Kim…",GenThomas,2018-12-07 00:20:34,Iowa
"RT @RayBake: It's a good thing Iowa elected @RobSandIA.

This smells like a $2.4 million dollar payoff quietly approved by @IAGovernor Kim…",LadehoffMike,2018-12-06 23:55:45,"Flyover country, Iowa"
@IAGovernor @IALtGov Care to explain this ⬇️ https://t.co/uJ1mRBy5sk,SJI2783,2018-12-06 23:44:48,
@Michaeliowa1965 @rjfoley I’m going to predict that absolutely no one will be held responsible. @IAGovernor should never have been elected.,SJI2783,2018-12-06 23:43:14,
"RT @RayBake: It's a good thing Iowa elected @RobSandIA.

This smells like a $2.4 million dollar payoff quietly approved by @IAGovernor Kim…",windy123,2018-12-06 23:43:03,"Iowa, USA"
"@RayBake @RobSandIA @IAGovernor Smells it does. Smells bad. 

Just consider the source.",JabbasIA,2018-12-06 23:36:27,"Dorchester, Iowa"
"It's a good thing Iowa elected @RobSandIA.

This smells like a $2.4 million dollar payoff quietly approved by @IAGovernor Kim Reynolds.

#CorruptGOP #iagov #iapolitics https://t.co/y9eTWBLduG",RayBake,2018-12-06 23:33:05,Iowa
RT @IALtGov: Proud to be part of the 5th cohort of Hunt-Kean Leadership Fellows - @IAGovernor led the way as part of the very first cohort…,auntkaty,2018-12-06 21:27:40,"Des Moines, IA"
@IAGovernor @IALtGov Fantastic news - congrats to @IALtGov !  Sure is nice to no longer read about Acting LG - the REAL deal now :),JwcJeff,2018-12-06 20:30:25,"West Des Moines, IA"
A fun #TBT for you - last week in AZ at @The_RGA we spotted @Citiz4Solutions senior advisor and former senator @KellyAyotte with @IAGovernor @henrymcmaster #RepublicanGovernors https://t.co/8wQqkdHn2u,Citiz4Solutions,2018-12-06 19:51:58,United States of America
RT @john_silveria: @AlwaysActions @RodStryker This is appalling! Wake Up America 🇺🇸 Do you have any idea what's happening? https://t.co/Bf4…,Trumptrooper2,2018-12-06 18:55:13,Nationwide
@iowadot @iowadnr @IAGovernor https://t.co/boC5CvEcQE,RealJoshuaPlace,2018-12-06 18:14:42,"Iowa, USA"
RT @IALtGov: Proud to be part of the 5th cohort of Hunt-Kean Leadership Fellows - @IAGovernor led the way as part of the very first cohort…,PatrickCSims,2018-12-06 18:11:31,
@IAGovernor @IALtGov We are honored to have two great Iowa leaders as #HKFellows. Thank you for your dedication to education!,Hunt_Institute,2018-12-06 18:07:52,"Durham, NC"
RT @SoCalValleyGal: @john_silveria @AlwaysActions @RodStryker @realDonaldTrump @VP @onetoughnerd @GovHolcomb @GovMikeHuckabee @IAGovernor @…,bud13579,2018-12-06 17:56:36,
RT @john_silveria: @AlwaysActions @RodStryker This is appalling! Wake Up America 🇺🇸 Do you have any idea what's happening? https://t.co/Bf4…,bud13579,2018-12-06 17:56:12,
"@IowaSEA if there is one, do we riot?  Walk out?  How massive a protest will it take since @IAGovernor #ialegis seem to be tone deaf on this and other important pocketbook issues. https://t.co/GvvtTP8OWB",biophyschemPaul,2018-12-06 17:48:11,"Waukee, IA"
RT @john_silveria: @AlwaysActions @RodStryker This is appalling! Wake Up America 🇺🇸 Do you have any idea what's happening? https://t.co/Bf4…,MexicanJanimuc,2018-12-06 17:42:51,
RT @john_silveria: @AlwaysActions @RodStryker This is appalling! Wake Up America 🇺🇸 Do you have any idea what's happening? https://t.co/Bf4…,CarenDee,2018-12-06 17:31:14,
