Text,Handle,Time Created,Location
Hi @KateBrownForOR #ORleg please take the severity of the moment into consideration and pass the #cleanenergyjobs bill.  We have a unique opportunity to boost the #Oregon economy AND protect our beautiful home!  #climatemandate #iloveoregon #ORpol #pnw #RCTID https://t.co/CIV4ZuqGTf,AVigs,2018-12-07 23:08:30,
Omg Mandy Moore on #ThisIsUs looks like @KateBrownForOR and I am dying https://t.co/QsGp9N8LnL,ChesterSyme,2018-12-07 04:55:59,"UNATCO HQ, Liberty Island, NYC"
RT @chandlermelvin2: Oregon’s biggest mistake right here🤷🏼‍♀️ @KateBrownForOR https://t.co/c9vzG7rJwi,ChadLitson94,2018-12-07 02:56:29,
@PattyMurray and @SenAlexander both of you have encouraged a great deal of harm to ind w cp. You highlighted @KateBrownForOR @OregonGovBrown.  The task force is NOT based on science. https://t.co/9ycutrkKav,esteckler2,2018-12-07 00:27:23,"Bismarck, ND"
RT @chandlermelvin2: Oregon’s biggest mistake right here🤷🏼‍♀️ @KateBrownForOR https://t.co/c9vzG7rJwi,AaronAtencio44,2018-12-06 23:49:08,"Drain, Oregon "
RT @chandlermelvin2: Oregon’s biggest mistake right here🤷🏼‍♀️ @KateBrownForOR https://t.co/c9vzG7rJwi,powercumm,2018-12-06 21:56:24,Your moms house
"RT @03_jensen: @KateBrownForOR surely you're not supporting forced tapers of chronic pain patients in your state? The AMA, and real experts…",wydmindfeersart,2018-12-06 21:26:38,
"More retaliation by bad actors at the Oregon State Bar, plus destruction of records! 

https://t.co/reyM6wzYMv

@OregonSOS
@OregonPRA
@KateBrownForOR
@ORSenateRs
@ORHouseDems
@OregonHouseGOP
@Oregon_GOP @ORDems
@ORSenDemocrats
@OregonCapitol
@ORPolitics",VolinStephanie,2018-12-06 20:20:57,"West Orange, NJ"
RT @chandlermelvin2: Oregon’s biggest mistake right here🤷🏼‍♀️ @KateBrownForOR https://t.co/c9vzG7rJwi,JonathanDill13,2018-12-06 19:36:43,"Roseburg, OR"
Oregon’s biggest mistake right here🤷🏼‍♀️ @KateBrownForOR https://t.co/c9vzG7rJwi,chandlermelvin2,2018-12-06 19:36:16,
"The latest draft #SageGrousePlan is out.
Apparently the slow witted @KateBrownForOR needed to be told SEVERAL times things she ardently believed didn't EVER exist in reality.

This is what happens when city people THINK they can smugly control what they don't understand.",TRO_News,2018-12-06 17:18:58,"Oregon, USA"
@KateBrownForOR Is anyone in your office looking into this as a solution to Oregon’s growing homeless and crime rates? https://t.co/oXmBZPaaXh,mikesmyman1,2018-12-06 16:02:05,"Oregon, USA"
"RT @03_jensen: @KateBrownForOR surely you're not supporting forced tapers of chronic pain patients in your state? The AMA, and real experts…",raaamises,2018-12-06 15:02:19,
"@KateBrownForOR surely you're not supporting forced tapers of chronic pain patients in your state? The AMA, and real experts such as @DrSeanMackey @BethDarnall @VanilaSingh OPPOSE FORCED tapers and dosage dictated by numbers rather than patient outcomes such as function and QOL.",03_jensen,2018-12-06 14:54:20,
"And let’s not forget @sharicedavids @KateBrownForOR, who wouldn’t break stride in charge #teamLPAC https://t.co/jceax0t8xS",smsandberg,2018-12-06 13:49:53,"Princeton, NJ and NYC"
"Congratulations #PortlandState Great recognition just as @KateBrownForOR proposes defunding public universities, raising tuition, instituting hiring freezes. How do I explain this to my students who are so dedicated to school even as they work multiple jobs to make ends meet. https://t.co/9yvQcuOwAD",mrinalinitankha,2018-12-06 13:09:08,"Portland, OR"
@KateBrownForOR @OregonHCS Prineville NEEDS affordable housing for seniors!!,captiveoregonia,2018-12-06 06:56:51,"Oregon, USA"
"@OHAOregon @KateBrownForOR 
@realDonaldTrump @pence @vicenews @FLOTUS @StanfordPain @RWitherspoon @Oprah @ABC @HBODocs @STARZ https://t.co/3NBmBAjIM7",steveconnieWood,2018-12-05 21:22:24,oregon
"RT @bluthwayne: Pay attention to what is happening in FRANCE 
@KateBrownForOR @OregonGovBrown 

https://t.co/oqgS2ezT8D",JackaLopez3,2018-12-05 20:41:13,
"Pay attention to what is happening in FRANCE 
@KateBrownForOR @OregonGovBrown 

https://t.co/oqgS2ezT8D",bluthwayne,2018-12-05 20:23:19,
‘My community has been fighting this [fracking project] for 12 years and will continue to do so!’ #PeoplePower #ToxicTourCOP24 #Oregon @KateBrownForOR,ukycc,2018-12-05 13:28:40,United Kingdom
@GinaHaspell1 @GinaHospel @Wearewithyousir @CIA helps me could #THEUNITEDSTATESOFAMERICAInternalRevenueService #IRS please investigate #LEVY #MODA #BLOOMBERG #CODYWILSON and many other @tedwheeler @KateBrownForOR #RichieSheerwood #TheAmericanFederation and all its affiliates.,Cliffor22575455,2018-12-05 11:36:57,"Portland, OR"
It appears that you all sold our children’s future for 7 pieces of silver? How can anyone permit a marijuana dispensary open next to Brentwood park behind Lane Middle School in pdx. @repblumenauer @KateBrownForOR @RonWyden @JeffMerkley @KOINNews https://t.co/sycvXhAt5U,HGLopez90,2018-12-05 04:16:00,"Albuquerque, NM"
"@KateBrownForOR In the era of climate change there is something incredibly perverse about cutting down a tree and shipping it 3,000 miles to die in a city largely responsible for our coming planetary extinction.",james_roe,2018-12-05 03:19:58,Portland OR
@Reuters @HilaryRuss @KateBrownForOR @RonWyden @SenJeffMerkley @Oregonian,Sperry1224,2018-12-04 09:37:27,"Portland,OR"
"@Reuters @HilaryRuss ""Oregon's Washington County, Intel and Genentech Inc jave both been getting a property tax exemption on capital projects for years. Hillsboro School District lost nearly $97 million in fiscal 2017, more than any district in the country"" @KateBrownForOR @RonWyden @SenJeffMerkley",Sperry1224,2018-12-04 09:36:19,"Portland,OR"
@rebekahgolden @KateBrownForOR 🖒🖒🖒,HappyOldSoul,2018-12-04 04:58:41,United States
@KateBrownForOR @OPB Listening... Too many very unclear agenda items that really do not make a difference in K12. We need more time in school and 100% stability in funding. We need to stop guessing each year. And replace the poor leadership at each level at ODE.,CommonComments,2018-12-04 04:18:07,"I block trolls, sales& lists"
@HappyOldSoul @KateBrownForOR Nope.,rebekahgolden,2018-12-04 04:16:47,"Portland, OR"
@rebekahgolden @KateBrownForOR Did you give them your ballot?,HappyOldSoul,2018-12-04 04:06:15,United States
RT @dawill333: My colleague Raj Chetty beaming in via satellite to join speakers like @RonWyden @SenJeffMerkley @KateBrownForOR to talk #op…,RichardvReeves,2018-12-03 22:21:56,Washington DC
@LJBreedlove @riotwomennn @lackadaisicowl @EricHolder @KamalaHarris @amyklobuchar @RepJoeKennedy @SenBooker @SenDuckworth @staceyabrams @HillaryClinton @SenWarren @SenSherrodBrown @ChrisMurphyCT @BetoORourke @KateBrownForOR @GavinNewsom @MartinOMalley @RepBarbaraLee @NancyPelosi @MitchLandrieu @AmbassadorRice @SallyQYates I’m quite familiar with the era and it’s horrors. If you want to label Biden a racist or insensitive that is your right,NEmpirecd2003,2018-12-03 22:00:33,
