Text,Handle,Time Created,Location
@KnuteBuehler I got my daughter away from her own dad when she was 3 because I caught him before he could do things. They Refused to prosecute cuz she was 3. I renewed show cause papers that he was a danger&amp; I refused to go for child support. I would've done anything to keep him away from her.,fisherlady1960,2018-12-06 18:35:28,"Michigan, USA"
"@KnuteBuehler @KnuteBuehler Good point. If you’d talked more about this issue and less about abortion, who would be governor-elect right now.",mompete1965,2018-12-06 05:11:33,"West Linn, OR"
@KnuteBuehler Those people who failed to protect this child should be losing their jobs for starters. Just as those on parole boards who knowingly release dangerous people back into society to harm and kill again should be held responsible criminally and civilly.,Seifenmacher1,2018-12-06 04:25:06,
@KnuteBuehler @RonWyden @SenJeffMerkley,CravalynnB,2018-12-06 02:41:41,"Oregon, USA"
@KnuteBuehler Thank you.,kasilynnclausen,2018-12-06 01:10:13,"Oregon, USA"
@KnuteBuehler Next time..get the platform early. Work on the backstories. Set up the win and bury the competition with the data.,bbkrish,2018-12-06 00:57:10,United States
@KnuteBuehler Stop yhe $ played to illegals and get them out of the medical system !,amante112,2018-12-06 00:31:26,
"@KnuteBuehler Yep, hoped you learned a lot from Oregonians. Like how we don’t like lies and deceit. And we don’t scapegoat others to blind the people to your greed and corruption. Kate Brown was clearly the better choice. Better luck never Knute.",PatrickBHester,2018-12-05 22:05:48,Oregon 
@KnuteBuehler I am with you.,Mommafrogg,2018-12-05 19:39:03,"Oregon,Eugene"
@brittertwits @KnuteBuehler @OregonGovBrown @Oregonian @SenSaraGelser I hope so! Thanks @brittertwits,Sit_lena,2018-12-05 19:34:22,N 38°54' 0'' / W 77°0' 0''
"KNUTE, UNFORTUNATELY, WE ARE DEALING WITH THE SAME OLD OREGON !  KATE BROWN, HASEN’T AND WON’T DO ANYTHING, SO NOW IT MUST BE THE RESPONSIBILITY OF EACH AND EVERY CITIZEN, TO CAMPION THE MOST VULNERABLE !!! https://t.co/xYEsSnbD6E",rb4775,2018-12-05 19:33:47,
@Sit_lena @KnuteBuehler @OregonGovBrown @Oregonian Thankfully @SenSaraGelser is all over it based on meeting today.,brittertwits,2018-12-05 19:33:38,"Sherwood, OR"
"@KnuteBuehler Note the lack of any response from @OregonGovBrown in light of the @Oregonian's article on CIRTs.  No Accountability. No transparency. No vision. Just a lot of posturing, lots of new Child cabinets &amp; taskforces, &amp; even more conflicting strategies. 🙄 ZERO outcomes. #IMHO #Orpol",Sit_lena,2018-12-05 19:24:57,N 38°54' 0'' / W 77°0' 0''
"@KnuteBuehler Knute, Kate Brown transferred School Funding Money to State Retirement Funding so the money was there but now they just want more and more. Bull Shit 
Older Oregonians on fixed incomes don't have more unless we don't eat or don't take our meds.",f8uto,2018-12-05 17:42:35,"Portland, OR"
"@KnuteBuehler What about drafting legislation that requires greater testing what about trapping legislation that requires traded testing of CPS case workers to root out gender and Racial bias. 
It’s because it’s not political beneficial to solve problems plaguing minorities for the Democrats. https://t.co/aJp4LxAFKR",pauldejean65,2018-12-05 17:31:38,"Lake View, Oregon "
