Text,Handle,Time Created,Location
Damn @MayorBowser @LarryHogan Why it take y'all so long to fix roads? https://t.co/lbKig1f1mT,p1z4T,2018-12-07 16:34:47,In the Orion Spur (Milky Way)
@GovLarryHogan @LarryHogan  You need to rebuke this comment.  Forcefully and publicly.  The @capgaznews family deserves your support.  #enough https://t.co/brPmO5ISbj,kvaughan521,2018-12-07 14:43:30,
@RedMaryland @capgaznews @BrianGriffiths @LarryHogan BOUT TIME    CLEAN UP  VOTING HERE,sher308,2018-12-07 12:52:51,
RT @RedMaryland: The latest for the @capgaznews from RM's @BrianGriffiths talks of @LarryHogan's bold move on redistricting https://t.co/7v…,sher308,2018-12-07 12:52:29,
The latest for the @capgaznews from RM's @BrianGriffiths talks of @LarryHogan's bold move on redistricting https://t.co/7vadhlEDRp #MDPolitics #Maryland,RedMaryland,2018-12-07 12:45:00,Maryland
"There really needs to be a law about the lumen output for ""HID"" and ultra-bright head lights. @LarryHogan https://t.co/jW28T7abXH",meeeshh12,2018-12-07 07:06:59,in CHAR!
RT @MilitaryBowl: The #MilitaryBowl announced that Maryland Governor @LarryHogan will be the Grand Marshal of the Military Bowl Parade! Aft…,NoelleHayden,2018-12-07 02:16:29,
"@LarryHogan Governor Hogan, as a Libertarian-Leftist, I'd love to see you challenge President Trump in 2020. With Jeff Flake bowing out, the field is cleared. Will you run? #larryhogan2020 #politics #trump #donaldtrump",YoProAlliance,2018-12-06 23:15:49,United States
"RT @IsaacDovere: Next week, the Niskanen Center is hosting an event in DC called “Starting Over: The Center-Right After Trump.”

Welcoming…",BrownJessemb27,2018-12-06 21:46:44,"Fort Valley, GA"
RT @MilitaryBowl: The #MilitaryBowl announced that Maryland Governor @LarryHogan will be the Grand Marshal of the Military Bowl Parade! Aft…,judojoewalters,2018-12-06 20:59:11,"Upper Township, New Jersey USA"
RT @MilitaryBowl: The #MilitaryBowl announced that Maryland Governor @LarryHogan will be the Grand Marshal of the Military Bowl Parade! Aft…,MohMuseum,2018-12-06 19:57:33,"Mt. Pleasant, South Carolina"
RT @MilitaryBowl: The #MilitaryBowl announced that Maryland Governor @LarryHogan will be the Grand Marshal of the Military Bowl Parade! Aft…,MarylandSports,2018-12-06 19:23:03,Maryland
"RT @IsaacDovere: Next week, the Niskanen Center is hosting an event in DC called “Starting Over: The Center-Right After Trump.”

Welcoming…",davischip94,2018-12-06 19:17:17,"Atlanta, GA"
"The #MilitaryBowl announced that Maryland Governor @LarryHogan will be the Grand Marshal of the Military Bowl Parade! After the Parade, Governor Hogan will join the Medal of Honor Recipients and other dignitaries on the field, where he will conduct the pregame coin toss🏈 https://t.co/d9tAKS4jTl",MilitaryBowl,2018-12-06 19:01:30,"Washington, D.C. & Annapolis"
"RT @IsaacDovere: Next week, the Niskanen Center is hosting an event in DC called “Starting Over: The Center-Right After Trump.”

Welcoming…",JBoogieG,2018-12-06 17:13:20,"Virginia, USA"
@IsaacDovere @LarryHogan It's brave of the Niskanen center to have an entire event dedicated to the Democrats.,unabanned,2018-12-06 17:09:01,
"RT @IsaacDovere: Next week, the Niskanen Center is hosting an event in DC called “Starting Over: The Center-Right After Trump.”

Welcoming…",Maarak,2018-12-06 17:07:34,"Formerly DC, now further West."
"RT @IsaacDovere: Next week, the Niskanen Center is hosting an event in DC called “Starting Over: The Center-Right After Trump.”

Welcoming…",dangerdaveball,2018-12-06 17:02:11,"Hang in there. No, not there."
"RT @IsaacDovere: Next week, the Niskanen Center is hosting an event in DC called “Starting Over: The Center-Right After Trump.”

Welcoming…",Politics1com,2018-12-06 17:01:14,United States
"RT @IsaacDovere: Next week, the Niskanen Center is hosting an event in DC called “Starting Over: The Center-Right After Trump.”

Welcoming…",Bencjacobs,2018-12-06 17:00:20,"Washington, DC"
"Next week, the Niskanen Center is hosting an event in DC called “Starting Over: The Center-Right After Trump.”

Welcoming address will be delivered by just re-elected Maryland Gov @LarryHogan",IsaacDovere,2018-12-06 16:59:31,
"After 5 years at @GSGUMD, I finally met Provost Mary Ann Rankin this week and she is worse than Wallace Loh!!!
Hats off to all the deans and chairs and staff who are running @UofMaryland, because these two aren't!
@presidentloh
@Univ_System_MD
@LarryHogan
@thedbk
#LohMustGo",RoozbehBakhshi,2018-12-06 15:27:51,Washington DC
@LarryHogan thank you for helping #Maryland #ActonClimate and take the lead! #RGGI,HollyEdge72717,2018-12-06 07:56:26,20736
"@LarryHogan Why are you speaking at a ""never trump"" rally. MD needed a better GOP candidate then you!  You're a disgrace to the party.  I hope you sink like a stone.",LynnesCommunity,2018-12-06 05:39:17,United States
RT @RamonaGiwargis: NOW: National Governors Association @NatlGovsAssoc chair Montana @GovernorBullock hosts discussion in Las Vegas about a…,NatlGovsAssoc,2018-12-06 02:23:03,"Washington, D.C."
"RT @BunkyLuffman: Christmas swagger inspired by the best Governor in the country @LarryHogan &amp; @routeoneapparel!
 #HoganStrong #MerryChrist…",routeoneapparel,2018-12-06 01:20:03,"Everywhere, MD"
@MyBGE sure makes it hard hard to start a business. They just want to hold $2300 for a year and there is nothing you can do about it. @LarryHogan should look into this if he is small business friendly.,Jacob39795915,2018-12-05 23:29:02,
@GovLarryHogan @LarryHogan this is a weird flex but ok,badtweetist,2018-12-05 22:26:32,USA
RT @GovLarryHogan: President George H.W. Bush is someone I have respected and admired my entire life. As our nation mourns the loss of this…,LarryHogan,2018-12-05 22:25:17,"Annapolis, MD"
"RT @GovLarryHogan: Fresh out of college, I became a Chairman of Youth for Reagan-Bush &amp; was involved in the reelection campaign &amp; in Presid…",LarryHogan,2018-12-05 22:25:09,"Annapolis, MD"
"RT @GovLarryHogan: I first met President George H.W. Bush nearly 50 years ago, in January of 1969, when I was 12 years old. I was standing…",LarryHogan,2018-12-05 22:25:06,"Annapolis, MD"
RT @GovLarryHogan: I was truly honored to attend the funeral today of a true American hero whose life literally defined public service. I w…,LarryHogan,2018-12-05 22:25:03,"Annapolis, MD"
