Text,Handle,Time Created,Location
"The manufacturing jobs are booming! however, the qualified workers are not! We have a great solution to help solve that problem, could really use your help in letting people know about it. https://t.co/wYvDTXXdwe @IvankaTrump @realDonaldTrump @VP @LtGovBradLittle @BetsyDeVosED https://t.co/c0tXT0iIFk",john_silveria,2018-12-07 20:53:25,American Veteran
"Mr. President, Praising Mike Pompeo is a good thing, expounding on the weaknesses of Rex Tillerson has no bearing on the positive. With all due respect I would focus on the positive. Here's a great example https://t.co/wYvDTXXdwe @IvankaTrump @BetsyDeVosED @VP @LtGovBradLittle https://t.co/2FwAxxST7B",john_silveria,2018-12-07 20:34:15,American Veteran
HOT OFF THE PRESS! https://t.co/wYvDTXXdwe Can't wait to share this with many more schools! @IvankaTrump @realDonaldTrump @VP @LtGovBradLittle @LLickleyforID @onetoughnerd @GovHolcomb @ScottCarlton777 @RussFulcher @BetsyDeVosED @SecretaryAcosta @seanhannity @MELANIATRUMP @POTUS,john_silveria,2018-12-07 19:46:46,American Veteran
"@john_silveria @AlwaysActions @RodStryker @realDonaldTrump @VP @onetoughnerd @GovHolcomb @GovMikeHuckabee @IAGovernor @ButchOtter @GovernorTomWolf @LtGovBradLittle @seanhannity @marklevinshow @ASavageNation @ElrushboRush This story is another example of how fucked up we've become.  I don't see Muslim ""preachers"" being arrested for expressing their views publicly.  In the case of the this man, he wasn't doing a thing.  Shameful!",librepind,2018-12-07 14:16:46,
"RT @davlinnews: And @LtGovBradLittle says see you later to the Senate, to handshakes, hugs, and a standing ovation. #idpol https://t.co/8Rh…",mrtatko,2018-12-07 00:16:49,
"RT @davlinnews: And @LtGovBradLittle says see you later to the Senate, to handshakes, hugs, and a standing ovation. #idpol https://t.co/8Rh…",BetsyZRussell,2018-12-06 23:26:10,"Boise, Idaho"
"And @LtGovBradLittle says see you later to the Senate, to handshakes, hugs, and a standing ovation. #idpol https://t.co/8RhojW45QI",davlinnews,2018-12-06 21:49:53,"Boise, ID"
RT @john_silveria: @AlwaysActions @RodStryker This is appalling! Wake Up America 🇺🇸 Do you have any idea what's happening? https://t.co/Bf4…,Trumptrooper2,2018-12-06 18:55:13,Nationwide
"Many states are beginning to understand the benefits and results of this unique solution. Help your students, schools, communities and local shops by sharing the unequaled benefits...@IvankaTrump @realDonaldTrump @VP @LtGovBradLittle @LLickleyforID https://t.co/9vRBTQNvfa https://t.co/2gPnwOwInV",john_silveria,2018-12-06 18:36:32,American Veteran
RT @SoCalValleyGal: @john_silveria @AlwaysActions @RodStryker @realDonaldTrump @VP @onetoughnerd @GovHolcomb @GovMikeHuckabee @IAGovernor @…,bud13579,2018-12-06 17:56:36,
RT @john_silveria: @AlwaysActions @RodStryker This is appalling! Wake Up America 🇺🇸 Do you have any idea what's happening? https://t.co/Bf4…,bud13579,2018-12-06 17:56:12,
RT @john_silveria: @AlwaysActions @RodStryker This is appalling! Wake Up America 🇺🇸 Do you have any idea what's happening? https://t.co/Bf4…,MexicanJanimuc,2018-12-06 17:42:51,
RT @john_silveria: @AlwaysActions @RodStryker This is appalling! Wake Up America 🇺🇸 Do you have any idea what's happening? https://t.co/Bf4…,CarenDee,2018-12-06 17:31:14,
RT @SimplotCompany: @JimEdwardsnyc @LtGovBradLittle @MayorBieter @CityOfBoise @BoiseFryCo Only six fries?!? https://t.co/Oc9AfyJpKH,JimEdwardsnyc,2018-12-06 17:31:09,"Boise, ID"
RT @john_silveria: @AlwaysActions @RodStryker This is appalling! Wake Up America 🇺🇸 Do you have any idea what's happening? https://t.co/Bf4…,KLMacRae,2018-12-06 17:19:43,United States
@JimEdwardsnyc @LtGovBradLittle @MayorBieter @CityOfBoise @BoiseFryCo Only six fries?!? https://t.co/Oc9AfyJpKH,SimplotCompany,2018-12-06 16:54:51,"Boise, ID"
"@john_silveria @AlwaysActions @RodStryker @realDonaldTrump @VP @onetoughnerd @GovHolcomb @GovMikeHuckabee @IAGovernor @ButchOtter @GovernorTomWolf @LtGovBradLittle @seanhannity @marklevinshow @ASavageNation @ElrushboRush Christians &amp; Jews should get together &amp; fight this -
If both remain silent, then Muslim Privilege will continue.
Soon enough there'll be a #BlashpemyLaw convicting 
Christians &amp; Jews for even mentioning #MuslimPrivilege 
@PamelaGeller @RubinReport 
@Franklin_Graham @Paula_White https://t.co/sieSCC07Gt",BluDiamindVIi,2018-12-06 15:29:29,Blue Skies & Rocky Shores
RT @john_silveria: @AlwaysActions @RodStryker This is appalling! Wake Up America 🇺🇸 Do you have any idea what's happening? https://t.co/Bf4…,2IslandJoJo,2018-12-06 14:42:32, Detroit MI-FL Gab@2IslandJoJo
RT @john_silveria: @AlwaysActions @RodStryker This is appalling! Wake Up America 🇺🇸 Do you have any idea what's happening? https://t.co/Bf4…,ProudPatriot33,2018-12-06 14:36:28,Land Of The Free 
RT @john_silveria: @AlwaysActions @RodStryker This is appalling! Wake Up America 🇺🇸 Do you have any idea what's happening? https://t.co/Bf4…,audreywalshwes1,2018-12-06 12:01:51,
RT @john_silveria: @AlwaysActions @RodStryker This is appalling! Wake Up America 🇺🇸 Do you have any idea what's happening? https://t.co/Bf4…,DanaHickle,2018-12-06 10:10:47,"Texas, USA"
RT @john_silveria: @AlwaysActions @RodStryker This is appalling! Wake Up America 🇺🇸 Do you have any idea what's happening? https://t.co/Bf4…,sallytca,2018-12-06 07:00:33,OR
@FriendsOfAcosta @howardcomer @john_silveria @AlwaysActions @RodStryker @realDonaldTrump @VP @onetoughnerd @GovHolcomb @GovMikeHuckabee @IAGovernor @ButchOtter @GovernorTomWolf @LtGovBradLittle @seanhannity @marklevinshow @ASavageNation @ElrushboRush Go into the schools and preach!!! Don’t hide your light under a bushel!,Burke12Mel,2018-12-06 03:06:39,
RT @john_silveria: @AlwaysActions @RodStryker This is appalling! Wake Up America 🇺🇸 Do you have any idea what's happening? https://t.co/Bf4…,GenivaHudson,2018-12-06 02:00:06,
RT @john_silveria: @AlwaysActions @RodStryker This is appalling! Wake Up America 🇺🇸 Do you have any idea what's happening? https://t.co/Bf4…,RnRedgirl,2018-12-06 01:49:49,"San Diego, CA"
The Idaho Icon conversation between @LtGovBradLittle and @NFL hall of fame member Jerry Kramer was great! Thank you @IdahoTaxinfo! https://t.co/02LNy6zh1P,Luke_H_Kilcup,2018-12-05 21:25:26,Lewis Clark State '16
@sethogilvie @dvodowney @LtGovBradLittle The governor-elect is trolling me.,davlinnews,2018-12-05 21:17:18,"Boise, ID"
@dvodowney @LtGovBradLittle @davlinnews It would seem like an indicator.,sethogilvie,2018-12-05 21:15:34,Boise
"@sethogilvie @LtGovBradLittle So does this mean he finally said how he voted on it? After all the times @davlinnews  asked him, and she didn’t even get to be there.",dvodowney,2018-12-05 21:13:24,"Boise, ID"
RT @john_silveria: @AlwaysActions @RodStryker This is appalling! Wake Up America 🇺🇸 Do you have any idea what's happening? https://t.co/Bf4…,Donna_Maria2,2018-12-05 20:39:18,"Florida, USA"
"@howardcomer @john_silveria @AlwaysActions @RodStryker @realDonaldTrump @VP @onetoughnerd @GovHolcomb @GovMikeHuckabee @IAGovernor @ButchOtter @GovernorTomWolf @LtGovBradLittle @seanhannity @marklevinshow @ASavageNation @ElrushboRush “How do you disbelieve, seeing you are the ones to whom Gods Revelations are recited and His Messenger is amidst you? Whoever holds fast to God, he has certainly been guided to a straight path.”",FriendsOfAcosta,2018-12-05 20:38:48,"Lima, Peru"
"@sethogilvie @kkruesi @LtGovBradLittle Obviously, I haven't confirmed anything, but the few followers the account has suggests it might be a dummy for keeping the name open. @gov_little",Sharp208,2018-12-05 20:24:57,"Boise, ID"
@kkruesi @sethogilvie @LtGovBradLittle Is it this? https://t.co/zCxrfqtBrz,Ryan_A_Lawrence,2018-12-05 20:17:01,"Boise, ID"
