Text,Handle,Time Created,Location
@BadgerJapanese @MayorFung What happened? Did he Funging win?,ColbertBotMarkV,2018-12-07 23:26:20,
"RT @AllanFungRI: May we all take a moment to think of the brave souls, both departed and still with us, who were attacked in Pearl Harbor 7…",NBC10_Lindsay,2018-12-07 22:02:25,RI ➡️MI ➡️MA ➡️RI📍
RT @TedNesi: New Twitter handle for the mayor of Cranston: @AllanFungRI. (It used to be @MayorFung.),elium2,2018-12-07 19:11:26,RI
New Twitter handle for the mayor of Cranston: @AllanFungRI. (It used to be @MayorFung.),TedNesi,2018-12-07 18:52:12,"Providence, RI"
"RT @AllanFungRI: May we all take a moment to think of the brave souls, both departed and still with us, who were attacked in Pearl Harbor 7…",Giarrusso30,2018-12-07 17:31:11,"East Greenwich, RI"
"RT @MayorFung: May we all take a moment to think of the brave souls, both departed and still with us, who were attacked in Pearl Harbor 77…",IanDon,2018-12-07 15:07:46,"Providence, Rhode Island"
"RT @MayorFung: May we all take a moment to think of the brave souls, both departed and still with us, who were attacked in Pearl Harbor 77…",SherriLynn20869,2018-12-07 14:28:21,"Pawtucket, RI"
"RT @MayorFung: Happy to cut the ribbon on another new small business in Cranston!  Welcome to Bonetown Burgers &amp; BBQ at 39 Phenix Ave, &amp; be…",therealmikesnow,2018-12-07 13:44:51,
"@MayorFung Oh My God yes, Mayor Fung... If we fail to memorialize the righteous of the past and ignore the bad lessons of history... We'll only end-up repeating it !!!",MaderiaSr,2018-12-07 13:11:41,"Rhode Island, USA"
"RT @MayorFung: May we all take a moment to think of the brave souls, both departed and still with us, who were attacked in Pearl Harbor 77…",ri1929shrugs,2018-12-07 12:59:16,narragansett RI
"RT @MayorFung: Happy to cut the ribbon on another new small business in Cranston!  Welcome to Bonetown Burgers &amp; BBQ at 39 Phenix Ave, &amp; be…",andrewg95,2018-12-07 12:56:40,"Providence, RI"
"RT @MayorFung: May we all take a moment to think of the brave souls, both departed and still with us, who were attacked in Pearl Harbor 77…",RightInRI,2018-12-07 12:46:29,"Rhode Island, USA"
"RT @MayorFung: May we all take a moment to think of the brave souls, both departed and still with us, who were attacked in Pearl Harbor 77…",ebbitt,2018-12-07 12:45:06,Washington DC
"RT @MayorFung: May we all take a moment to think of the brave souls, both departed and still with us, who were attacked in Pearl Harbor 77…",ChrisR386,2018-12-07 12:40:22,"Massachusetts, USA"
"RT @MayorFung: May we all take a moment to think of the brave souls, both departed and still with us, who were attacked in Pearl Harbor 77…",ColdWarBowTie,2018-12-07 12:37:16,"Millis, Massachusetts"
"RT @MayorFung: May we all take a moment to think of the brave souls, both departed and still with us, who were attacked in Pearl Harbor 77…",NicholasCaruolo,2018-12-07 12:36:07,
@MayorFung My grandfather was at Pearl Harbor during the attack. Thankfully survived however then was in missions over Japan for ww2 after that. Sadly our ww2 vets are passing away of age and disease now. The greatest generation.,capeislsweather,2018-12-07 12:35:53,"Nantucket, MA"
"May we all take a moment to think of the brave souls, both departed and still with us, who were attacked in Pearl Harbor 77 years ago today.  #PearlHarbor77 https://t.co/gkaxjDp5lt",MayorOfCranston,2018-12-07 12:34:15,"Cranston, RI"
"RT @MayorFung: May we all take a moment to think of the brave souls, both departed and still with us, who were attacked in Pearl Harbor 77…",BarbaraAnnRI,2018-12-07 12:34:13,
"May we all take a moment to think of the brave souls, both departed and still with us, who were attacked in Pearl Harbor 77 years ago today.  #PearlHarbor77 https://t.co/L1kN9XFxHc",AllanFungRI,2018-12-07 12:33:36,"Cranston, RI"
@GoinPostal77 @projo @RICenterFreedom @davidcicilline @SenWhitehouse @TedNesi @TimWhiteRI @repmorgan @GovRaimondo @MayorFung That’s because in the dems eyes they did nothing wrong,Joe_Clifford13,2018-12-07 11:48:25,"Rhode Island, USA"
"RT @MayorFung: Happy to cut the ribbon on another new small business in Cranston!  Welcome to Bonetown Burgers &amp; BBQ at 39 Phenix Ave, &amp; be…",Mark_McDonough,2018-12-07 11:43:39,"Rhode Island, USA"
