Text,Handle,Time Created,Location
"RT @JavierForNM: Can we finally do the right thing? We have a crisis in child well being. 
1% from the land grant fund will go a long way i…",NMFDW1,2018-12-07 20:17:37,"New Mexico, USA"
"RT @JavierForNM: Can we finally do the right thing? We have a crisis in child well being. 
1% from the land grant fund will go a long way i…",NMHouseDems,2018-12-07 18:15:34,New Mexico
"We hear you in #NM, @Ocasio2018! Wondering if our congressional reps signed off on the #OrientationAgenda?! @Michelle4NM @Deb4CongressNM @MartinHeinrich #StevePearce @XochforCongress #BenRayLujan @TomUdallPress https://t.co/wV0g9ssA8Y",leahblackattack,2018-12-07 17:45:48,Instagram: @nomadicleahblack
@XochforCongress @Deb4CongressNM @repbenraylujan @Michelle4NM @NewMexicoGOP @GOP https://t.co/6smbsKsLKr,Ruiz04Sweet,2018-12-07 16:28:10,"New Mexico, USA"
"@DaveWilliams08 @NMHouseDems @Michelle4NM @InvestinkidsNow @RepMoe @StJoesChildren has published several reports on this. Also, the ECE Funders group has published own study. So has the NM Now group. At the end of the day, not rocket science. The 1% would be used for expanded home visiting, Pre k, enhanced referral services and workforce devp.",JavierForNM,2018-12-07 16:16:50,"Albuquerque, NM"
@JavierForNM @NMHouseDems @Michelle4NM @InvestinkidsNow @RepMoe @JavierForNM are there any proposals out yet for review about where/how the additional 1% would be spent?,DaveWilliams08,2018-12-07 14:35:20,
"RT @JavierForNM: Can we finally do the right thing? We have a crisis in child well being. 
1% from the land grant fund will go a long way i…",katiestone,2018-12-07 13:34:55,"Albuquerque, NM"
@JavierForNM @NMHouseDems @Michelle4NM @InvestinkidsNow @RepMoe We have work to do!,emcimino,2018-12-07 13:18:16,"New Mexico, USA"
"@JavierForNM @NMHouseDems @Michelle4NM @InvestinkidsNow @RepMoe The issue is that fossil fuel severance taxes is subsidized bubble that is going to pop- just like that! We cannot continue to rely on fossil fuel funding the coffers. Adaptation must be sustainable, decentralized with rural jobs long term.",emcimino,2018-12-07 13:17:13,"New Mexico, USA"
"@JavierForNM @NMHouseDems @Michelle4NM @InvestinkidsNow @RepMoe I support what has to be funded for children in the state, it is a crisis. Climate change is bigger crisis. Our children will not have a future unless it is addressed. We must enforce and inspect and fine the fossil fuel industry. We must adapt to renewables with 10 years.",emcimino,2018-12-07 13:13:32,"New Mexico, USA"
"RT @JavierForNM: Can we finally do the right thing? We have a crisis in child well being. 
1% from the land grant fund will go a long way i…",lizthomsonnm,2018-12-07 13:07:32,
"RT @JavierForNM: Can we finally do the right thing? We have a crisis in child well being. 
1% from the land grant fund will go a long way i…",RobertaRael,2018-12-07 07:55:55,"Albuquerque, New Mexico"
@JavierForNM @RepMoe @NMHouseDems @Michelle4NM @InvestinkidsNow I hope you can Javier and @RepMoe!,PMondragon505,2018-12-07 05:45:50,"Albuquerque, NM"
