Text,Handle,Time Created,Location
"Here’s one suggestion: a coherent statewide energy policy that maximizes the economic value, jobs, and environmental benefits from #cleanenergy for #Ohio! https://t.co/RfSs08AXGT",FleisherELPC,2018-12-08 00:19:16,Columbus
RT @MikeDeWine: Excited this morning to participate in the Columbus 2020 Economic Development forum to talk about the future of our state’s…,andyshifflette,2018-12-08 00:13:19,"Columbus, Ohio"
RT @MikeDeWine: Excited this morning to participate in the Columbus 2020 Economic Development forum to talk about the future of our state’s…,_COKeeffe,2018-12-08 00:10:32,"Ohio, USA"
@MikeDeWine @CBUSRegion Giving more of our money away to the rich?,SirLoinOfBoeuf,2018-12-07 23:29:08,"Ohio, USA"
RT @foxhillbarbara: So happy for my friends @MikeDeWine and @FranFor1stLady and for this great State! https://t.co/4Z2cd6djCH,tslayb,2018-12-07 23:14:44,
"@ohiogop Excited for a fresh start after 8 years of asshole @JohnKasich I know the people of Ohio will be @MikeDeWine #1 priority, not writing books, running for President and other stupid shit Kasich did that didn’t serve Ohioans.",SlippyField,2018-12-07 22:28:26,"Belle Valley, Ohio"
Looking forward to meeting and supporting #Governor-elect @MikeDeWine here in #Germany soon to promote #Ohio #success #EconDev #GoWest #transatlantic #business #opportunities #us #expansion #fdi https://t.co/OKP1ryupbA,muench_ibc_biz,2018-12-07 21:47:26,"Bochum, GERMANY"
"Chase the future my Ohio Friends....
 https://t.co/z4inid21nr

The @SchaefflerGroup is already building EV components in Wooster

EV tooling automation is being engineered @ GROB in Blufton

@MikeDeWine
@robportman
@SenSherrodBrown
@ElectMikeOBrien
@elonmusk",nate__schroeder,2018-12-07 21:46:37,"Los Angeles, CA"
RT @MikeDeWine: Excited this morning to participate in the Columbus 2020 Economic Development forum to talk about the future of our state’s…,CharlieWinburn,2018-12-07 21:33:44,"Cincinnati, Ohio"
"Your move @andrewginther 👀
And Ohio can reach higher than 12.5% @MikeDeWine ! https://t.co/pnq0pEOA2V",gobuxgal,2018-12-07 21:27:32,"Ohio, USA"
"Study showing more rural Midwesterners (Ohio too) employed in clean energy than fossil fuel. W/ Ohio economic recovery lagging compared to most states, might be something for @MikeDeWine &amp; @ohiogop to think about. https://t.co/D3zgEr7sGs. @OHIOcitizenact, @NRDC, @EnvDefenseFund https://t.co/O1B0euQJgr",CleCityCouncil,2018-12-07 21:16:24,"Cleveland, Ohio"
