Text,Handle,Time Created,Location
@NedLamont @Infosys @trinitycollege Ned; please support our companies operating in CT to the fullest. We must provide training and jobs over welfare. We have to get out of the welfare mindset. We can train people for good jobs with benefits.,Buster842,2018-12-07 22:47:50,CT U.S.A.
RT @TheRealStory61: THIS SUNDAY ON THE REAL STORY: Senate leaders @SenatorFasano &amp; Sen. Looney join @JennBNews &amp; @AlTerzi to discuss the up…,JennBNews,2018-12-07 22:35:54,"Hartford, CT"
"THIS SUNDAY ON THE REAL STORY: Senate leaders @SenatorFasano &amp; Sen. Looney join @JennBNews &amp; @AlTerzi to discuss the upcoming session, &amp; gives their take on talks so far with Gov.-Elect @NedLamont. Also- @SeanScanlonCT discusses ""Ethan's Law"". Sunday at 10 A.M. on @FOX61News https://t.co/r6LQtnBYEZ",TheRealStory61,2018-12-07 22:35:30,"Hartford, CT"
"Everyone came out to our Chaz &amp; AJ McDermott Chevrolet Lexus Toy Drive @jordansfurn ! Even @SenBlumenthal &amp; Governor-Elect @NedLamont, who took to Rock 'Em Sock 'Em Robots!
#CHAZAJTOYS #SenatorBlumenthal #NedLamont
Listen: https://t.co/fCGe8Hz11R",ChazandAJ,2018-12-07 22:07:56,Connecticut/New York
"#CT also elected Democrat #NedLamont for Governor with LESS than half the vote - winning by plurality with 49.2%. The Republican candidate took 46.3%, while the #Independent candidate took 3.9%...enough of a margin to change the race’s outcome, had voters gone Republican.",NerdyInNOLA,2018-12-07 21:41:48,*Officially Not A Bot*
#Connecticut https://t.co/fJauHyJbxN,womenstrongnow,2018-12-07 21:17:02,"Connecticut, USA"
"RT @bozzo1931: @NedLamont Help FREE Kato and Kleo! Locked up 23 hours a day for 5 YEARS!
ABUSE by @townofhamden CT
https://t.co/WSKzqx6Qsy…",juleekerr,2018-12-07 21:07:17,#FreeKatoandKleo & on FB
RT @christinemaier4: @_AnimalAdvocate @FreeKatoAndKleo @townofhamden @curtleng @NedLamont @SenBlumenthal @ChrisMurphyCT Thank god @_AnimalA…,juleekerr,2018-12-07 21:07:06,#FreeKatoandKleo & on FB
"It was an honor to help officially welcome @Infosys to Hartford this week. They’re up and running in their new offices, working with @trinitycollege and CT employers to make sure our workforce is trained for Connecticut’s 21st century jobs.

https://t.co/sajlCmNHsj",NedLamont,2018-12-07 20:50:55,Connecticut
RT @CTMirrorPaz: Nick Balletto on whether he can get @NedLamont's support for another term as Democratic chairman: “I had a cursory convers…,Bill_Flood,2018-12-07 20:36:10,"Portland, CT"
@RegionalPlan @NedLamont Kudos to Melissa....Governor-elect Lamont will be well served by her expertise!,michael_cacace,2018-12-07 20:33:38,"Stamford, CT"
"Nick Balletto on whether he can get @NedLamont's support for another term as Democratic chairman: “I had a cursory conversation and expressed my interest about a month ago, and that’s it. I haven’t had any other conversations.” https://t.co/8pHBPScPWJ via @ctmirror",CTMirrorPaz,2018-12-07 20:32:11,
"Congrats to our VP for State Programs + #CT Director Melissa Kaplan-Macey, AICP - who was recently named as co-chair of Connecticut Governor-elect @NedLamont's Transportation Transition Policy Committee: https://t.co/RqhEOnllvP",RegionalPlan,2018-12-07 20:15:11,New York
RT @FreeKatoAndKleo: #Christmas is coming!  Please don't let @FreeKatoAndKleo's spend their 7th(!) one away from home!  @townofhamden @curt…,CarolineSalfati,2018-12-07 19:53:48,
Bravo @Travelers https://t.co/PqAwhd1MM7,CTnewshound,2018-12-07 19:34:07,"Hartford, CT"
Thank you to @SenBlumenthal and @NedLamont for joining @991PLRFM and @ChazandAJ and helping to raise over $190K for children this holiday.  @jordansfurn and @McDermottChevy thank u!! https://t.co/tzxNdfMQOJ,Kristinradio999,2018-12-07 18:51:11,"Southbury, CT"
"#Connecticut losing the gutsiest leader in child welfare https://t.co/i7oIn8IKjg

@nedlamont @govmalloyoffice",davidbraze,2018-12-07 18:33:53,"West Haven, CT"
@KarenAttiah @mehdirhasan @ChrisMurphyCT @LizLinehanforCT @LizLinehan @secupp @KurczyBeast @NedLamont @ChrisCoons @LindseyGrahamSC @RandPaul @morningmika @JoeNBC @NicolleDWallace @senatemajldr @IgnatiusPost @SenFeinstein @NancyPelosi @JeffFlake @samstein @salahkhashoggi,DanielPCareyJr,2018-12-07 18:31:47,"Southington, Connecticut"
"RT @BlossomBlogger: Wooster Square Remembers 🇺🇸  #PearlHarbor #PearlHarborDay @QBridgeProgram @mjpisci @doughausladen @newsgirlct
@gilsimmo…",newsgirlct,2018-12-07 17:27:16,"New Haven, Connecticut"
"From my (long-ago) @HamdenHigh classmate, Daniel Knudsen. It's time for Connecticut, @NedLamont, @SusanForCT, &amp; @CTDems to step up, get creative, and produce some innovative polices to address #climate change!

https://t.co/nIolPTWGQJ

Cc: @YaleClimateComm",MethodsMaven,2018-12-07 16:17:51,
"RT @bozzo1931: @NedLamont Help FREE Kato and Kleo! Locked up 23 hours a day for 5 YEARS!
ABUSE by @townofhamden CT
https://t.co/WSKzqx6Qsy…",irishartygirl,2018-12-07 16:13:18,"Waterbury, CT"
RT @christinemaier4: @_AnimalAdvocate @FreeKatoAndKleo @townofhamden @curtleng @NedLamont @SenBlumenthal @ChrisMurphyCT Thank god @_AnimalA…,irishartygirl,2018-12-07 16:13:07,"Waterbury, CT"
"RT @BlossomBlogger: Wooster Square Remembers 🇺🇸  #PearlHarbor #PearlHarborDay @QBridgeProgram @mjpisci @doughausladen @newsgirlct
@gilsimmo…",DesiInCT,2018-12-07 16:07:22,Happy Place!
"Do we have anything equivalent to the Hatch Act in Connecticut for State Employees?  @CTGOP @CTDems @NedLamont.  If we don't, we need one.  If we do, we need to start prosecuting the cheaters. https://t.co/0fY7ejzNcT",KristiTalmadge,2018-12-07 15:55:00,"Connecticut, USA"
"RT @BlossomBlogger: Wooster Square Remembers 🇺🇸  #PearlHarbor #PearlHarborDay @QBridgeProgram @mjpisci @doughausladen @newsgirlct
@gilsimmo…",gilsimmons,2018-12-07 15:26:27,"New Haven, Connecticut"
@DoucheBhagwan @MetroNorth @NYGovCuomo @NedLamont Save your breath - those asshats won’t do anything either.  No one cares about anyone except themselves and their pockets.  Screw the hard working public...,fimschweiler,2018-12-07 14:44:23,"Fairfield, CT"
"Wooster Square Remembers 🇺🇸  #PearlHarbor #PearlHarborDay @QBridgeProgram @mjpisci @doughausladen @newsgirlct
@gilsimmons  @INFONewHaven @MayorHarp @NedLamont https://t.co/dhl9GOyrsY",BlossomBlogger,2018-12-07 14:32:23,"New Haven, CT"
#NedLamont just said on @991PLRFM he’s gonna legalize Marijuana #GreenChristmas #HappyHolidaze 😂,Dewey_James,2018-12-07 14:29:53,Meriden CT
@MetroNorth @NYGovCuomo @NedLamont it’s getting worse every day.  What can be done?  We pay huge amounts of money and get unreliable service.  It’s not fair. It’s not right. Take notice.,DoucheBhagwan,2018-12-07 14:19:46,
"RT @_AnimalAdvocate: #Christmas is coming! 
Please don't let @FreeKatoAndKleo's spend their 7th(!) one away from home!  @townofhamden @curt…",ToTamTam,2018-12-07 13:47:18,
RT @EpiphanyCompass: @FreeKatoAndKleo @townofhamden @curtleng @NedLamont @SenBlumenthal @ChrisMurphyCT @connecticutmag @connpost @wnpr @_An…,ToTamTam,2018-12-07 13:46:33,
RT @kallyloveskevie: @FreeKatoAndKleo @townofhamden @curtleng @NedLamont @SenBlumenthal @ChrisMurphyCT @connecticutmag @connpost @wnpr @_An…,ToTamTam,2018-12-07 13:46:21,
This is how you close a facility - with a simultaneous plan and commitment to invest in the alternative. @NedLamont can come in and make that investment and commitment on day 1 in CT. https://t.co/sfCgYNr7xB,CTJJA,2018-12-07 13:42:44,Connecticut
RT @FreeKatoAndKleo: #Christmas is coming!  Please don't let @FreeKatoAndKleo's spend their 7th(!) one away from home!  @townofhamden @curt…,RebeccaEyango,2018-12-07 13:40:04,France
RT @kallyloveskevie: @FreeKatoAndKleo @townofhamden @curtleng @NedLamont @SenBlumenthal @ChrisMurphyCT @connecticutmag @connpost @wnpr @_An…,RebeccaEyango,2018-12-07 13:39:59,France
RT @BadAssKittyG: @cmch1977 @irishartygirl @FreeKatoAndKleo @townofhamden @curtleng @NedLamont @SenBlumenthal @ChrisMurphyCT @connecticutma…,RebeccaEyango,2018-12-07 13:39:37,France
RT @EpiphanyCompass: @FreeKatoAndKleo @townofhamden @curtleng @NedLamont @SenBlumenthal @ChrisMurphyCT @connecticutmag @connpost @wnpr @_An…,RebeccaEyango,2018-12-07 13:38:40,France
RT @DoucheBhagwan: @MetroNorth My shocked face...let me show it to you. @NYGovCuomo @NedLamont do you see what is happening?  Every day the…,Cristy_Colon1,2018-12-07 13:14:47,"New York, NY"
RT @The_CCIC: Thank you @NedLamont for joining us at today’s CT Higher Education Presidents’ Council.   We look forward to working with you…,hchehartford,2018-12-07 13:13:17,"31 Pratt St, 5FL Hartford, CT"
"RT @Infosys: We're proud to announce that our Hartford Technology and Innovation Hub in Hartford, Connecticut is officially open! We apprec…",amitg_mrec,2018-12-07 12:56:40,"Toronto, Ontario"
"RT @_AnimalAdvocate: #Christmas is coming! 
Please don't let @FreeKatoAndKleo's spend their 7th(!) one away from home!  @townofhamden @curt…",DonnaSimino,2018-12-07 12:42:57,
RT @christinemaier4: @_AnimalAdvocate @FreeKatoAndKleo @townofhamden @curtleng @NedLamont @SenBlumenthal @ChrisMurphyCT Thank god @_AnimalA…,Finnegan6,2018-12-07 12:25:01,Connecticut
"RT @bozzo1931: @NedLamont Help FREE Kato and Kleo! Locked up 23 hours a day for 5 YEARS!
ABUSE by @townofhamden CT
https://t.co/WSKzqx6Qsy…",Finnegan6,2018-12-07 12:24:43,Connecticut
