Text,Handle,Time Created,Location
"RT @DandanHansen: Give me an Alexandria Ocasio-Cortez @Ocasio2018 

Give me a @PauletteEJordan 

Give me someone I can cheer without having…",saveelati,2018-12-07 21:01:06,Still Here
"@PauletteEJordan Happy birthday! And may the years to come bring you every success, good health and happiness!",HaraldHameleers,2018-12-07 12:29:27,Den Haag
"Give me an Alexandria Ocasio-Cortez @Ocasio2018 

Give me a @PauletteEJordan 

Give me someone I can cheer without having to ""get over"" all my ""nonsense"" you don't care about.",DandanHansen,2018-12-07 02:28:59,Enrolled Village of Kotzebue
"RT @PauletteEJordan: It’s Nat’l Day of Mourning for President George H.W. Bush.
Thank you President Bush for your service to our country. Y…",MDudunakis,2018-12-06 23:06:48,
"RT @PauletteEJordan: It’s Nat’l Day of Mourning for President George H.W. Bush.
Thank you President Bush for your service to our country. Y…",swwithkids,2018-12-06 00:58:52,"Phoenix, Arizona"
@Eyedahoan @PauletteEJordan And that gives you the right to other’s property?,robertrathbone,2018-12-06 00:12:34,
"RT @PauletteEJordan: It’s Nat’l Day of Mourning for President George H.W. Bush.
Thank you President Bush for your service to our country. Y…",naturenanimals,2018-12-05 22:58:23,
"@PauletteEJordan Happy Birthday this Friday, December 7th.  Idaho is waiting for you.  
Nancy Gaenzle",GaenzleNancy,2018-12-05 22:44:51,
@robertrathbone @PauletteEJordan What? Pretty sure I paid some taxes last year. I’ll have to check with my neighbor but I think he did too.,Eyedahoan,2018-12-05 21:27:57,"Boise, ID"
"RT @PauletteEJordan: It’s Nat’l Day of Mourning for President George H.W. Bush.
Thank you President Bush for your service to our country. Y…",shylakunz,2018-12-05 20:01:02,Somewhere with CK
"RT @PauletteEJordan: It’s Nat’l Day of Mourning for President George H.W. Bush.
Thank you President Bush for your service to our country. Y…",politeperson123,2018-12-05 19:50:40,
"RT @PauletteEJordan: It’s Nat’l Day of Mourning for President George H.W. Bush.
Thank you President Bush for your service to our country. Y…",my4catzz,2018-12-05 19:42:58,"Eagle, ID"
"RT @PauletteEJordan: It’s Nat’l Day of Mourning for President George H.W. Bush.
Thank you President Bush for your service to our country. Y…",PeaceWarrior44,2018-12-05 19:41:40,"Spokane, WA"
@thehill @PauletteEJordan He doesn't care.,OGintheOP,2018-12-05 19:09:20,
RT @thehill: Nebraska Farm Bureau says Trump's trade conflicts cost the state's farmers more than $1 billion https://t.co/VavbYJ1B9c https:…,PauletteEJordan,2018-12-05 19:02:46,Idaho
"RT @PauletteEJordan: It’s Nat’l Day of Mourning for President George H.W. Bush.
Thank you President Bush for your service to our country. Y…",network_gal,2018-12-05 18:57:47,"Tallahassee, FL"
We are losing our land. https://t.co/LCz0c58yth,trout2303,2018-12-05 18:52:03,
"RT @PauletteEJordan: It’s Nat’l Day of Mourning for President George H.W. Bush.
Thank you President Bush for your service to our country. Y…",kalARTproject,2018-12-05 18:50:14,#RightThere ➡️
@PauletteEJordan Unless they had HIV/AIDS,CurtisOrion,2018-12-05 18:42:10,"Los Angeles, CA"
