Text,Handle,Time Created,Location
"@RichCordray i just watched one of your jeopardy episodes. even knowing it’s well over and done, i was rooting for you.

have a good weekend.",EternalNyx,2018-12-07 23:45:45,Across the River Styx
@RichCordray Oy vey?,StevePhoto5,2018-12-07 23:05:35,"Skyline, Chili (get it?)"
@PortiaABoulger @AndrewZigmund @scapelliti @PatTheBerner @SenSanders @ninaturner @IPM_HQ @OurRevolution @GayleforCA @RichCordray @ConstanceForOH I should have written: There's always room for improvement. English is not my first language.,IdaMartinac,2018-12-07 22:56:57,
"@PortiaABoulger @IdaMartinac @scapelliti @PatTheBerner @SenSanders @ninaturner @IPM_HQ @OurRevolution @GayleforCA @RichCordray @ConstanceForOH It would also be great to see @ninaturner reach across the divide to her policy aligned allies in OH to form a candidate based coalition around policy and not party

There are pockets of the state where Ds can find candidates let alone progressive ones BUT where greens do run",AndrewZigmund,2018-12-07 22:34:42,"Ohio, USA"
"@PortiaABoulger @IdaMartinac @scapelliti @PatTheBerner @SenSanders @ninaturner @IPM_HQ @OurRevolution @GayleforCA @RichCordray @ConstanceForOH I agree my intent is to push OR further left

They accomplished amazing things and Im not even trying to imply they are coopted or malign

What I am saying is to make a mechanism to ensure state and local endorsements are vetted better so Gillum/Cordray figures arent endorsed",AndrewZigmund,2018-12-07 22:32:30,"Ohio, USA"
@RichCordray Amazingly bi-partisan. Got me to think about her appointment a little differently. Thanks.,realJimBrock,2018-12-07 20:12:37,
Buckeye State https://t.co/wzWtLjsDmA,nanslovealways,2018-12-07 19:29:24,
@RichCordray The “O” in Ohio is ambiguous.  There are two Os.,Barmy,2018-12-07 19:18:37,"Ohio, USA"
"According to section 5.01 of the Ohio Revised Code, “The ‘O’ represents the ‘O’ in ‘Ohio’ and suggests the state’s nickname, the buckeye state.” So we can give some leniency here. https://t.co/LLhhvYqLxx",RichCordray,2018-12-07 19:16:57,"Grove City, OH"
"@PortiaABoulger @IdaMartinac @scapelliti @PatTheBerner @SenSanders @ninaturner @IPM_HQ @OurRevolution @GayleforCA @RichCordray @ConstanceForOH That is objective

It is not manipulating anything

It is stating that their organization endorsed neoliberals",AndrewZigmund,2018-12-07 18:25:11,"Ohio, USA"
"@PortiaABoulger @IdaMartinac @scapelliti @PatTheBerner @SenSanders @ninaturner @IPM_HQ @OurRevolution @GayleforCA @RichCordray @ConstanceForOH What part is a lie?

None of it

You are trying to discredit me because I want poor/working/middle America to build power that isnt depending on the will of a center right party

OurRev is progressive but needs to have an internal mechinism to stop the endorsement of neoliberals",AndrewZigmund,2018-12-07 18:24:10,"Ohio, USA"
@AndrewZigmund @IdaMartinac @scapelliti @PatTheBerner @SenSanders @ninaturner @IPM_HQ @OurRevolution @GayleforCA @RichCordray @ConstanceForOH This is a local chapter. It happened after the primary &amp; had nothing to do with Nina or national OR. You need to be more specific. You are not to be trusted. I am unfollowing you. Don't want to have a damn thing to do with people who manipulate the truth and tell right out lies.,PortiaABoulger,2018-12-07 18:21:17,"Chillicothe, Ohio 45601"
"@PortiaABoulger @IdaMartinac @scapelliti @PatTheBerner @SenSanders @ninaturner @IPM_HQ @OurRevolution @GayleforCA @RichCordray @ConstanceForOH Cuyahoga County Progressive Caucus

They are the Cuyahoga County chapter of OurRev",AndrewZigmund,2018-12-07 18:20:18,"Ohio, USA"
"@PortiaABoulger @IdaMartinac @scapelliti @PatTheBerner @SenSanders @ninaturner @IPM_HQ @OurRevolution @GayleforCA @RichCordray @ConstanceForOH Im not even attacking them

Im simply being objective in stating they allow neoliberals (like beto cordray and gillum) to be endorsed",AndrewZigmund,2018-12-07 18:19:35,"Ohio, USA"
@AndrewZigmund @IdaMartinac @scapelliti @PatTheBerner @SenSanders @ninaturner @IPM_HQ @OurRevolution @GayleforCA @RichCordray @ConstanceForOH What is CCPC?,PortiaABoulger,2018-12-07 18:18:58,"Chillicothe, Ohio 45601"
"@PortiaABoulger @IdaMartinac @scapelliti @PatTheBerner @SenSanders @ninaturner @IPM_HQ @OurRevolution @GayleforCA @RichCordray @ConstanceForOH @Dennis_Kucinich was in the general??!?!?!?!

Wow! You should ask CCPC to correct their post primary endorsements, it says Cordray.

Must be a typo?

https://t.co/BfOa1IyQrL https://t.co/7CGTjfuZuS",AndrewZigmund,2018-12-07 18:18:44,"Ohio, USA"
"@PortiaABoulger @IdaMartinac @scapelliti @PatTheBerner @SenSanders @ninaturner @IPM_HQ @OurRevolution @GayleforCA @RichCordray @ConstanceForOH Its not a lie

CCPC endorsed Cordray CCPC is OurRev

They also endorsed Gillum and Beto as well, both people who left #MedicareForAll behind after they won their primary",AndrewZigmund,2018-12-07 18:16:54,"Ohio, USA"
@AndrewZigmund @IdaMartinac @scapelliti @PatTheBerner @SenSanders @ninaturner @IPM_HQ @OurRevolution @GayleforCA @RichCordray @ConstanceForOH Our Revolution did NOT endorse Cordray. They endorsed Kucinich. Google it. You make me sick!,PortiaABoulger,2018-12-07 18:15:56,"Chillicothe, Ohio 45601"
"@PortiaABoulger @IdaMartinac @scapelliti @PatTheBerner @SenSanders @ninaturner @IPM_HQ @OurRevolution @GayleforCA @RichCordray @ConstanceForOH CCPC is the Cuyahoga chapter of OurRev

They endorsed Cordray post primary, even those he takes money from and serves corporate interest

https://t.co/BfOa1IyQrL",AndrewZigmund,2018-12-07 18:15:04,"Ohio, USA"
"@AndrewZigmund @IdaMartinac @scapelliti @PatTheBerner @SenSanders @ninaturner @IPM_HQ @OurRevolution @GayleforCA @RichCordray @ConstanceForOH It you lie about @ninaturner or @OurRevolution, I will fight you. Expect it.",PortiaABoulger,2018-12-07 18:15:03,"Chillicothe, Ohio 45601"
@PortiaABoulger @IdaMartinac @scapelliti @PatTheBerner @SenSanders @ninaturner @IPM_HQ @OurRevolution @GayleforCA @RichCordray @ConstanceForOH Im not lying and you are defending people based on party not policy,AndrewZigmund,2018-12-07 18:10:00,"Ohio, USA"
"@PortiaABoulger @IdaMartinac @scapelliti @PatTheBerner @SenSanders @ninaturner @IPM_HQ @OurRevolution @GayleforCA @RichCordray @ConstanceForOH What internal mechanisms do they have to prevent neoliberal endorsement?

Cordray Gillum and Beto were ALL OurRev candidates",AndrewZigmund,2018-12-07 18:09:22,"Ohio, USA"
@AndrewZigmund @IdaMartinac @scapelliti @PatTheBerner @SenSanders @ninaturner @IPM_HQ @OurRevolution @GayleforCA @RichCordray @ConstanceForOH I am asking you why you lied and said Our Revolution endorsed Cordray. You lied. Why?,PortiaABoulger,2018-12-07 18:09:12,"Chillicothe, Ohio 45601"
@AndrewZigmund @IdaMartinac @scapelliti @PatTheBerner @SenSanders @ninaturner @IPM_HQ @OurRevolution @GayleforCA @RichCordray @ConstanceForOH And your point is?,PortiaABoulger,2018-12-07 18:08:37,"Chillicothe, Ohio 45601"
@AndrewZigmund @IdaMartinac @scapelliti @PatTheBerner @SenSanders @ninaturner @IPM_HQ @OurRevolution @GayleforCA @RichCordray @ConstanceForOH Our Revolution endorsed Dennis Kucinich and you know it. Why are spreading lies?,PortiaABoulger,2018-12-07 18:08:27,"Chillicothe, Ohio 45601"
"@PortiaABoulger @IdaMartinac @scapelliti @PatTheBerner @SenSanders @ninaturner @IPM_HQ @OurRevolution @GayleforCA @RichCordray @ConstanceForOH Why do you behave like this Portia?

Facts are facts

He gave contracts to his donors OVERWHELMINGLY

Used tax money to pay back donors

https://t.co/oK9094EVGn",AndrewZigmund,2018-12-07 18:08:07,"Ohio, USA"
@IdaMartinac @PortiaABoulger @scapelliti @PatTheBerner @SenSanders @ninaturner @IPM_HQ @OurRevolution @GayleforCA @RichCordray @ConstanceForOH https://t.co/oK9094EVGn,AndrewZigmund,2018-12-07 18:06:55,"Ohio, USA"
@PortiaABoulger @IdaMartinac @scapelliti @PatTheBerner @SenSanders @ninaturner @IPM_HQ @OurRevolution @GayleforCA @RichCordray @ConstanceForOH https://t.co/oK9094EVGn,AndrewZigmund,2018-12-07 18:06:35,"Ohio, USA"
@PortiaABoulger @AndrewZigmund @scapelliti @PatTheBerner @SenSanders @ninaturner @IPM_HQ @OurRevolution @GayleforCA @RichCordray @ConstanceForOH I agree,IdaMartinac,2018-12-07 18:04:10,
"@IdaMartinac @AndrewZigmund @scapelliti @PatTheBerner @SenSanders @ninaturner @IPM_HQ @OurRevolution @GayleforCA @RichCordray @ConstanceForOH Our Revolution is doing an amazing job. They have accomplished so much in just a bit over two years. Can any group improve, sure? BUT they are leading the way to make sure #OurRevolution is moving forward and growing.",PortiaABoulger,2018-12-07 18:03:12,"Chillicothe, Ohio 45601"
@PortiaABoulger @AndrewZigmund @scapelliti @PatTheBerner @SenSanders @ninaturner @IPM_HQ @OurRevolution @GayleforCA @RichCordray @ConstanceForOH You are in OH. Can you shed some light on this?,IdaMartinac,2018-12-07 18:03:10,
@IdaMartinac @AndrewZigmund @scapelliti @PatTheBerner @SenSanders @ninaturner @IPM_HQ @OurRevolution @GayleforCA @RichCordray @ConstanceForOH @AndrewZigmund is flat out lying! I don't know why he's doing this but it is a damn lie!,PortiaABoulger,2018-12-07 18:01:27,"Chillicothe, Ohio 45601"
@AndrewZigmund @PortiaABoulger @scapelliti @PatTheBerner @SenSanders @ninaturner @IPM_HQ @OurRevolution @GayleforCA @RichCordray @ConstanceForOH There's definitely room for improvement,IdaMartinac,2018-12-07 17:59:08,
RT @karenkasler: The #ohvote18 results are certified - they show @SenSherrodBrown won by the largest margin (6.8%) and @KeithFaber won by t…,skreuz,2018-12-07 16:26:14,"Cincinnati, OH"
RT @karenkasler: The #ohvote18 results are certified - they show @SenSherrodBrown won by the largest margin (6.8%) and @KeithFaber won by t…,wosunews,2018-12-07 16:20:34,"Columbus, Ohio"
"The #ohvote18 results are certified - they show @SenSherrodBrown won by the largest margin (6.8%) and @KeithFaber won by the smallest (3.4%). @MikeDeWine beat @RichCordray by 1 point in the 2010 race for AG, but by 3.7% in the race for governor this year. https://t.co/liyqa74VTK",karenkasler,2018-12-07 16:16:26,"Statehouse, Columbus, Ohio"
"@IdaMartinac @PortiaABoulger @scapelliti @PatTheBerner @SenSanders @ninaturner @IPM_HQ @OurRevolution @GayleforCA @RichCordray @ConstanceForOH I like/agree with the mission of @OurRevolution

I dont mean imply, AT ALL or in the slightest, that the body of the organization is malign or corrupted but they lack the proper internal mechanisms to prevent the endorsement of neoliberal/corporately funded candidates",AndrewZigmund,2018-12-07 16:16:06,"Ohio, USA"
RT @phrontpage: Official election results now posted on the @OhioSOSHusted website. @MikeDeWine beat @RichCordray by 3.7 points. @SenSherro…,Adorably_Nerdy,2018-12-07 16:10:17,"Princeton, NJ"
RT @phrontpage: Official election results now posted on the @OhioSOSHusted website. @MikeDeWine beat @RichCordray by 3.7 points. @SenSherro…,BradenVick,2018-12-07 16:02:20,"Grand Bay, AL"
RT @phrontpage: Official election results now posted on the @OhioSOSHusted website. @MikeDeWine beat @RichCordray by 3.7 points. @SenSherro…,retE8flygirl,2018-12-07 16:00:19,"BFE, USA"
RT @phrontpage: Official election results now posted on the @OhioSOSHusted website. @MikeDeWine beat @RichCordray by 3.7 points. @SenSherro…,rudnicknoah,2018-12-07 15:58:14,"Columbus, OH"
RT @phrontpage: Official election results now posted on the @OhioSOSHusted website. @MikeDeWine beat @RichCordray by 3.7 points. @SenSherro…,Glenn10TV,2018-12-07 15:57:44,"Columbus, Ohio"
@AndrewZigmund @PortiaABoulger @scapelliti @PatTheBerner @SenSanders @ninaturner @IPM_HQ @OurRevolution @GayleforCA @RichCordray @ConstanceForOH Wasn't aware of that.,IdaMartinac,2018-12-07 15:54:05,
Official election results now posted on the @OhioSOSHusted website. @MikeDeWine beat @RichCordray by 3.7 points. @SenSherrodBrown beat Jim Renacci by 6.8 points. In the #OH12 Rep. Balderson beat Danny O'Connor by 4.2 points.,phrontpage,2018-12-07 15:53:34,"Columbus, OH"
RT @matthewstoller: A good way to understand how progressive politics has changed is to compare comments by @Ocasio2018 to comments by Obam…,SG_Calcio,2018-12-07 15:26:42,"College Park / Annapolis, MD"
Im still cranky that @RichCordray left CFPB early just to run for Gov when he couldn’t win. Nan prolly could have eeked out a win. We could have had six more months more of consumer protection. Men are gonna men.,mcbyrne,2018-12-07 15:23:23,"philly. (and dc, nyc, ...)"
RT @AndrewZigmund: @IdaMartinac @PortiaABoulger @scapelliti @PatTheBerner @SenSanders @ninaturner @IPM_HQ @OurRevolution @GayleforCA They a…,wolfeprowler1,2018-12-07 15:19:00,Florida
👍🏼 https://t.co/J5784W8E95,TachiMine,2018-12-07 14:58:02,"Columbus, OH"
RT @Darla_Marlene: @RichCordray Really ? @wellsfargo sent moms account information to police who contracted with @remax to steal our proper…,BlakelyAdrian,2018-12-07 14:47:58,Northwest United States
