Text,Handle,Time Created,Location
"Great to see our former Political Liaison @TrailforAmerica back on campus! He debriefed students on his time as the Comms Director for @RickettsForGov which he steered into a resounding 20 point victory!

Watch the full event: https://t.co/Y8Lb9oBVvh https://t.co/9Efnw1YfOa",uchicagogop,2018-12-06 01:28:09,University of Chicago
".@pussykrang @RickettsForGov @SarahPalinUSA There is so much white in this picture, it literally couldn't handle his likeness.",emerarchive,2018-12-05 15:15:22,#emerip 
"""Nebraskans, consider yourself invited, Ricketts and Shore said Tuesday at a news conference at Pinnacle Bank Arena, where the ball will be held."" #RickettsInaugural https://t.co/OFLHLihcTm",RickettsForGov,2018-12-04 21:48:14,Nebraska
It's A Celebration! #RickettsInaugural https://t.co/b89kKLq7jg,TrailforAmerica,2018-12-04 18:09:14,"Papillion, NE"
"Governor Ricketts' 2019 Inaugural Ball will be held on Saturday, January 12. For more info and to get your tickets, visit https://t.co/ewrRB3jRPm #RickettsInaugural https://t.co/Y4jNmUgwAL",RickettsForGov,2018-12-04 18:04:14,Nebraska
"On Thursday, the RGA elected @RickettsForGov as Chair and @GregAbbott_TX as Vice Chair. https://t.co/SBROi8Eyvh",ActorAaronBooth,2018-12-01 17:52:40,Minneapolis
@RickettsForGov @The_RGA They are also using lame duck sessions to abduct democracy,browntailedhawk,2018-12-01 15:44:57,"Upper Peninsula, Michigan"
"RT @RickettsForGov: “'.@realDonaldTrump has delivered on his promise to finalize a new trade deal with Canada and Mexico,' said Governor Ri…",TrailforAmerica,2018-11-30 20:54:32,"Papillion, NE"
"“'.@realDonaldTrump has delivered on his promise to finalize a new trade deal with Canada and Mexico,' said Governor Ricketts."" Read more here: https://t.co/bMUA4PsjUA https://t.co/YpSIBU8x6J",RickettsForGov,2018-11-30 20:53:05,Nebraska
RT @NERightToLife: Congratulations @GovRicketts on being elected Chair of the Republican Governors' Association! https://t.co/Tnvx5Bungu,TrailforAmerica,2018-11-30 20:22:51,"Papillion, NE"
"RT @RickettsForGov: Across our country, Republican governors are getting the job done and making government work better for American famili…",johnrobertgage,2018-11-30 18:26:25,"Hillsdale, MI"
"RT @RickettsForGov: Across our country, Republican governors are getting the job done and making government work better for American famili…",The_RGA,2018-11-30 17:54:55,"Washington, DC"
Congratulations @GovRicketts on being elected Chair of the Republican Governors' Association! https://t.co/Tnvx5Bungu,NERightToLife,2018-11-30 17:33:44,"Lincoln, NE"
RT @TedNesi: So 2019 will be DGA Chair @GinaRaimondo vs RGA Chair Pete Ricketts https://t.co/quoSGaYWYH,TimWhiteRI,2018-11-30 16:44:05,Rhode Island
So 2019 will be DGA Chair @GinaRaimondo vs RGA Chair Pete Ricketts https://t.co/quoSGaYWYH,TedNesi,2018-11-30 16:36:51,"Providence, RI"
"RT @RickettsForGov: Across our country, Republican governors are getting the job done and making government work better for American famili…",JBurkeNation,2018-11-30 16:35:35,"Washington, DC"
"RT @RickettsForGov: Across our country, Republican governors are getting the job done and making government work better for American famili…",dweinman3,2018-11-30 16:02:29,
"RT @RickettsForGov: Across our country, Republican governors are getting the job done and making government work better for American famili…",TrailforAmerica,2018-11-30 15:27:44,"Papillion, NE"
"Across our country, Republican governors are getting the job done and making government work better for American families. I'm honored to be the 54th Chairman of @The_RGA. https://t.co/ByQhcC6wn7",RickettsForGov,2018-11-30 15:21:24,Nebraska
