Text,Handle,Time Created,Location
"RT @MAGA_NOW_: Investigate and prosecute SNIPES and BUCHER NOW❗️  BEFORE 2020‼️
.
Florida voters outraged: NO CONSEQUENCES 2016 nor 2018.💥…",mimiinftworth,2018-12-07 23:45:39,United States
"RT @TPUSA: DON'T MISS DESANTIS! 🇺🇸🇺🇸🇺🇸

Florida Governor-Elect @RonDeSantisFL Is Coming To #SAS2018 And YOU Have To Be There Along With Ove…",troymeeker,2018-12-07 23:36:40,"Phoenix, AZ"
"RT @Jess__Custodio: Governor-Elect, @RonDeSantisFL will be joining THE biggest freedom party... #SAS2018!!!! https://t.co/nI7mQqiDPb",troymeeker,2018-12-07 23:36:37,"Phoenix, AZ"
@RonDeSantisFL I am a professional educator with 23 years of experience in Florida schools.  I would like to be a part of your new education team as I see you are missing people who are ACTUAL CLASSROOM TEACHERS.  WE are the people you should be consulting with now.,adrienne_paone,2018-12-07 23:34:23,"Florida, USA"
RT @SSNAlerts: .@RonDeSantisFL introduces Transition Advisory Committee on Health and Wellness: https://t.co/ar88W2AEdN #SSNalerts #sayfie…,PhilAmmann,2018-12-07 23:32:31,"St. Petersburg, FL"
"RT @MAGA_NOW_: Investigate and prosecute SNIPES and BUCHER NOW❗️  BEFORE 2020‼️
.
Florida voters outraged: NO CONSEQUENCES 2016 nor 2018.💥…",vbeezs,2018-12-07 23:28:06,
"RT @MAGA_NOW_: Investigate and prosecute SNIPES and BUCHER NOW❗️  BEFORE 2020‼️
.
Florida voters outraged: NO CONSEQUENCES 2016 nor 2018.💥…",JOSEPHMARY1234,2018-12-07 23:27:14,
.@RonDeSantisFL introduces Transition Advisory Committee on Health and Wellness: https://t.co/ar88W2AEdN #SSNalerts #sayfie #FlaPol,SSNAlerts,2018-12-07 23:24:18,"Tallahassee, Florida"
"RT @MAGA_NOW_: Investigate and prosecute SNIPES and BUCHER NOW❗️  BEFORE 2020‼️
.
Florida voters outraged: NO CONSEQUENCES 2016 nor 2018.💥…",League_Patriots,2018-12-07 23:22:00,"Florida CD-22, USA"
"@JebBush @RonDeSantisFL @richardcorcoran in other words, #TheSwamp #DrainTheSwamp",2016GetOverIt,2018-12-07 23:21:14,"Pompano Beach, FL"
@RonDeSantisFL I believe in you!,oscar67363717,2018-12-07 23:20:07,"Miami, FL"
@RonDeSantisFL Amen! Thank You sir 🤗 Good wins over evil 😍😍😍,cari_bushey,2018-12-07 23:19:47,
"@AndrewGillum @RonDeSantisFL 

Yes, as of yet, I’ve had no response or acknowledgement of my letter sent to:
The Future #Governor of #Florida 

#concerns #mail #DangerZone #mosquito #ticks #LymeDisease #LymeDiseaseExistsInFlorida #Denial #Medical #EducateDoctors #HelpFromFriends #HELP_ME https://t.co/RpY2aLM1VN",kristie4lyme,2018-12-07 23:19:13,"Boynton Beach, FL"
Congratulations @alevine014!! Governor-elect @RonDeSantisFL and his transition team have certainly picked the right person for the right team. https://t.co/veqCuFaChq,amitvashist06,2018-12-07 23:16:47,
"RT @MAGA_NOW_: Investigate and prosecute SNIPES and BUCHER NOW❗️  BEFORE 2020‼️
.
Florida voters outraged: NO CONSEQUENCES 2016 nor 2018.💥…",rial_rocks,2018-12-07 23:15:35,"Sherwood, AR"
RT @AMErikaNGIRL07: End The Freebies. End the Guilt.American children + Veterans come First. Don’t let the left play with your feelings. We…,pgreco0266,2018-12-07 23:09:15,"Fargo, ND"
@RonDeSantisFL,jstcallmiDELL,2018-12-07 23:01:32,"London, N10"
@fred_guttenberg @FLGovScott @RonDeSantisFL @SenateGOP what do you stand for again? @AP,GaleShira,2018-12-07 23:00:27,
"RT @TPUSA: DON'T MISS DESANTIS! 🇺🇸🇺🇸🇺🇸

Florida Governor-Elect @RonDeSantisFL Is Coming To #SAS2018 And YOU Have To Be There Along With Ove…",EricCox24,2018-12-07 22:56:04,"Gahanna, OH"
RT @OMGODOT: @realDonaldTrump @RonDeSantisFL I will regret voting for you the rest of my life; nazi propaganda tactics do not belong in a d…,Wildmoonsister,2018-12-07 22:51:35,"St. Paul, Minnesota"
"@RonDeSantisFL yeah, you really are starting off great, fat boy.",KayeBeeHoney,2018-12-07 22:50:29,((Where all the love lives))
"RT @MAGA_NOW_: Investigate and prosecute SNIPES and BUCHER NOW❗️  BEFORE 2020‼️
.
Florida voters outraged: NO CONSEQUENCES 2016 nor 2018.💥…",TroyBainbridge,2018-12-07 22:40:39,United States
"RT @TPUSA: DON'T MISS DESANTIS! 🇺🇸🇺🇸🇺🇸

Florida Governor-Elect @RonDeSantisFL Is Coming To #SAS2018 And YOU Have To Be There Along With Ove…",C_Marie_Stella,2018-12-07 22:36:06,"Cincinnati, OH"
Why are illegals given tax payers dollars. That's theft! Stop paying welfare to #illegals! @realDonaldTrump @marcorubio @RealJamesWoods @mitchellvii @RonDeSantisFL @GOP,AnewLulu,2018-12-07 22:35:53,United States
@RyanAFournier @TruthKjv @RonDeSantisFL Up and comer are we? Learning the GOP slant right away?!,SSanPaolo1,2018-12-07 22:16:01,
RT @josefelixdiaz: Kudos to @RonDeSantisFL for his nomination of @JaredEMoskowitz as Florida’s next @FLSERT Secretary.  Jared is an excepti…,MariaYes2trump,2018-12-07 22:02:57,"Treasure Coast, FL"
"It's been rumored for the last couple of weeks that @RonDeSantisFL was going to do something unusual: hire a Democrat. 

This week, he officially announced Jared Moskowitz will join his administration. 

https://t.co/IjBW6owtTi",WLRN,2018-12-07 22:01:00,South Florida
RT @josefelixdiaz: Kudos to @RonDeSantisFL for his nomination of @JaredEMoskowitz as Florida’s next @FLSERT Secretary.  Jared is an excepti…,DanWantsFreedom,2018-12-07 21:57:01,"Fort Lauderdale, Florida"
"@PeterSchorschFL @RonDeSantisFL @LtGovNunez @alevine014 @jasonbrodeur @BryanAnderson83 @FloridaMedical I’ll be interested in watching this work, @MelissainJax ... ...",Kevin_Clair_Jax,2018-12-07 21:54:04,
"RT @RNRFlorida: 🌟🌟 Congratulations to #Florida's next Governor and U.S Senator. 🌟🌟
🌟🌟 Ron Desantis &amp; Rick Scott! 🌟🌟

🇺🇸 @RonDeSantisFL 
🇺🇸…",melvin_pevy,2018-12-07 21:53:30,
Great pick by Governor Elect @RonDeSantisFL Speaker Corcoran is the right selection at the right time to ensure we provide the best education possible to our children. https://t.co/i5aBIMxG6A,LarryWmsConsult,2018-12-07 21:51:20,
@bluebludgardenr @RonDeSantisFL No problem. Good luck to you!,Sherry09,2018-12-07 21:50:29,Florida
"@THETXEMBASSY @SultanOfCatnip @John_R_Berna @Roger007moore3 @robertsrickyb @RickOtt2 @Rightchick21 @RightofCenter13 @rightgottweets @RL9631 @RmoonDrmoo3n @ARmastrangelo @RNRLouisiana @RonDeSantisFL @RonMyers98 @LilaGraceRose @RotNScoundrel @LVNancy @RNcat50 @magicalacres @BoboFromTexas @drscott_atlanta @baalter @lacerci65 @ShotsRangOut @Chairmnoomowmow @c5hardtop1999 @newzealblog @ChristopherHull @JVER1 Followed all, thanks!",vanderfk,2018-12-07 21:48:35,SWFl
@Sherry09 @RonDeSantisFL I'm fluent in the 2-handed alphabet that was developed for my great grandma in 1900(her hands were too small at age 4 to be understood with standard ASL). The standard ASL moves too fast for me to follow it. I mostly lip read or have things written down for me. Thanks anyway.,bluebludgardenr,2018-12-07 21:47:30,"Pilot Knob, MO"
RT @THETXEMBASSY: @SultanOfCatnip @John_R_Berna @Roger007moore3 @robertsrickyb @RickOtt2 @Rightchick21 @RightofCenter13 @rightgottweets @RL…,vanderfk,2018-12-07 21:41:15,SWFl
"RT @TPUSA: DON'T MISS DESANTIS! 🇺🇸🇺🇸🇺🇸

Florida Governor-Elect @RonDeSantisFL Is Coming To #SAS2018 And YOU Have To Be There Along With Ove…",jimmystickley_,2018-12-07 21:39:27,
"@RonDeSantisFL So glad we caught those filthy democrats cheating before they stole yet another election like they did in California and Arizona
Truly disgusting animals, every last one of them",jeancla94147256,2018-12-07 21:36:44,
RT @PeterSchorschFL: .@RonDeSantisFL transition announces that @LtGovNunez &amp; @alevine014 will lead advisory committee on health &amp; wellness.…,alevine014,2018-12-07 21:36:28,"Johnson City, TN"
