Text,Handle,Time Created,Location
That question has always hung over Special Prosecutor Todd Flood's probe &amp; @SchuetteOnDuty's filing of charges. Davis was CME for nearly 3/4 of the 2014-2015 Legionnaires' outbreak. Filing: Impossible that Wells caused Flint death https://t.co/q7sDvkSzXP https://t.co/cEfamS1BiJ,RichardBurr_DN,2018-12-07 21:21:42,"Detroit, Michigan"
"RT @StatesideRadio: George H. W. Bush put “service over self,” says longtime friend and Michigan Attorney General  Bill Schuette @SchuetteO…",MichiganRadio,2018-12-07 19:58:08,Southern Lower Michigan
"George H. W. Bush put “service over self,” says longtime friend and Michigan Attorney General  Bill Schuette @SchuetteOnDuty
https://t.co/gGHpClbXQl",StatesideRadio,2018-12-07 19:29:40,"Ann Arbor, MI"
RT @emtfr: @RayBlehar @DavidHarns @PS4RS @michiganstateu @wensilver @Berklund4 @DefendAChild @NCAA @Johnubacon @ChiTownLionPSU @MarkHorgas…,emtfr,2018-12-07 18:56:15,Dallas via Upst NY & Chicago
@GOP @The_RGA @BillHaslam @GovRicketts @BrianCalley @SchuetteOnDuty @MichiganDEQ @MichiganHHS @onetoughnerd #BREAKING: Michigan's Medical Chief to Stand Trial Over #FlintWaterCrisis https://t.co/3s2W4Fa7Iv @StatusCoup @ErinBrockovich @GretchenWhitmer @AbdulElSayed #Gentrification,dcfairbank,2018-12-07 17:55:38,"Chicago, IL"
"@Baltic_Bluebird @Rose52413 @NRA @JohnJamesMI @SchuetteOnDuty @GOP @jack @TwitterSupport Did you know that Butina is the woman who asked Trump, the FIRST person to EVER ask him, if he was going to drop sanctions on Russia at a presser/rally prior to him getting the nomination!!???!?!?",OnePissedOffBee,2018-12-07 17:31:38,United States
"@RayBlehar @DavidHarns @PS4RS @michiganstateu @wensilver @Berklund4 @DefendAChild @NCAA @Johnubacon @ChiTownLionPSU @MarkHorgas @SMSS_FF @jackstripling @LouPrato @JayPaterno @ScottPaterno @francoharrishof @Dana3432 2/2 2. @SchuetteOnDuty thought he could parlay a witch-hunt hanging of ""#MSU"" into a win in the Midterm election for the Governor spot. He FAILED @gretchenwhitmer won.  Sound familiar? 1. #PSUBOT 2. #TomCorbett aka #OneTermTom in PA @dananessel is left cleaning up the AG 's mess.",emtfr,2018-12-07 14:42:48,Dallas via Upst NY & Chicago
@wisgop @MIGOP @The_RGA @GovWalker @SenFitzgerald @onetoughnerd @SchuetteOnDuty Stunning state power grabs expose a @GOP uneasy with democracy itself https://t.co/vjOu5tR91b @AmyGoodman_DN @JuanGon68 @DemocracyNow @Jimmy_Dore @TheYoungTurks #MorningJoe #tytlive #WIPowerGrab,dcfairbank,2018-12-07 12:03:45,"Chicago, IL"
"@SchuetteOnDuty Maybe instead of hiding, you could be a man and speak out against what the sore losers are doing in Lansing. Instead of being a hack, maybe you could do something decent for a change.",oper8or,2018-12-07 04:49:20,"ÜT: 41.514862,-90.566814"
@Baltic_Bluebird @NRA @JohnJamesMI @SchuetteOnDuty Let's not forget BUTINA THE NRA'S SPY. @GOP,Rose52413,2018-12-07 04:39:41,"Washington, USA"
Hey @MIGOP could use this and chill out after the history making democrats did this year 🥳🥳😘💨💨 @gop @SchuetteOnDuty https://t.co/1Y5ue1wf61,patriot_420,2018-12-07 02:16:38,"Michigan, USA"
RT @SchuetteOnDuty: Gretchen Whitmer and Garlin Gilchrist are the most extreme Democrat candidates in Michigan history—opposing immigration…,FionasRevenge,2018-12-07 01:35:49,
@realDonaldTrump @Mike_Pence @onetoughnerd @SchuetteOnDuty @wisgop @GovWalker @The_RGA Wisconsin @GOP’s Unethical Power Grab https://t.co/IxVCmA6CLq @TYTPolitics @Tony4WI @GretchenWhitmer @AbdulElSayed @TheYoungTurks #tytlive #WisconsinPowerGrab #MichiganPowerGrab #GOPPowerGrab,dcfairbank,2018-12-06 23:19:55,"Chicago, IL"
"It's fascinating, really. While legislative republicans are pulling powers of the incoming Democrats, you see this, and you see @briancalley welcoming @gretchenwhitmer and @garlin. Meanwhile, @SchuetteOnDuty puts his stamp of approval on the #MIpowergrab 🤔 https://t.co/0hHY7zX7Qi",greenandwrite10,2018-12-06 21:39:26,
@saarrraaahhh123 @realDonaldTrump @MIGOP @GOPChairwoman @EdRollins @GreatAmericaPAC @dbongino @SebGorka @LouDobbs @KellyannePolls We had voter fraud in 2018's election in bigger cities like Detroit! We had STELLAR candidates like @JohnJamesMI @SchuetteOnDuty @TomLeonard28 @MTLforSOS who lost to inexperienced/less qualified dems. Then Peloser carpet bagged that S1obkin bot who hasn't lived here in 20 YEARS! https://t.co/fyoS8Iyw1l,HummingBirdFast,2018-12-06 21:24:35,From Detroit Detroit - NOT Detroit Metro Area or the Burbs!
@GOP @The_RGA @onetoughnerd @SchuetteOnDuty @GovWalker @SenFitzgerald A Lame-Duck “Legislative Coup”: @wisgop Stages Last-Minute Power Grab Before @TheDemocrats Take Office https://t.co/JGECzviF8M @AmyGoodman_DN @JuanGon68 @rconniff @Tony4WI @TheYoungTurks #GOPPowerGrab #tytlive,dcfairbank,2018-12-06 20:25:02,"Chicago, IL"
"@StatesideRadio @MichiganRadio @GeorgeHWBush @SchuetteOnDuty Why aren’t we talking about all the horrible things Bush did? Didn’t he participate w/ South American regime change? Perpetuating the drug war? Help create the Iraq debacle?

If we have a problem today w/ refugees, why aren’t we addressing the causes?",MyoclonicJerk42,2018-12-06 19:55:28,
"RT @StatesideRadio: ""I think the message for all Americans is this @GeorgeHWBush way of service over self,"" says @SchuetteOnDuty on the leg…",MichiganRadio,2018-12-06 19:43:41,Southern Lower Michigan
"RT @NextGenAmerica: Aided by gubernatorial loser @SchuetteOnDuty, Michigan Republicans have weakened minimum wage and paid sick leave laws.…",sara_arub,2018-12-06 18:44:46,"Virginia, USA"
"""I think the message for all Americans is this @GeorgeHWBush way of service over self,"" says @SchuetteOnDuty on the legacy of our 41st President. https://t.co/QlddTShsIW",StatesideRadio,2018-12-06 18:25:00,"Ann Arbor, MI"
@BadgerStew @WSJ says @wisgop @ScottWalker @GovWalker might have won if he had taken over Milwaukee Schools like VICIOUS RACIST REPUBLICANS @onetoughnerd @MIGOP Governor Snyder and @SchuetteOnDuty did in appointing @BetsyDeVosED @usedgov to take over Detroit Schools @MichiganDems @WisDems https://t.co/HOixJyzxhF,bkohatl,2018-12-06 17:57:15,"Atlanta, GA"
@MIAttyGen @POTUS @TheJusticeDept @MikeJBouchard @MISupremeCourt @SchuetteOnDuty The choice is yours.  Was never mine since 1993,KenKolke,2018-12-06 17:16:43,"Walled Lake, MI"
"@MIAttyGen @POTUS @TheJusticeDept @MikeJBouchard @MISupremeCourt @SchuetteOnDuty You truly don't know what freedom is, you only know communism. Get me what I need and let me show you how this is done and to restore Honor in the OATH.",KenKolke,2018-12-06 17:15:17,"Walled Lake, MI"
"@MIAttyGen @POTUS @TheJusticeDept @MikeJBouchard @MISupremeCourt @SchuetteOnDuty My record should be spotless, I would have taken the governors seat hands down.",KenKolke,2018-12-06 17:09:26,"Walled Lake, MI"
"@GOP @realDonaldTrump @VP @Cabinet @SecPompeo @EPA @The_RGA @MichiganDEQ @BrianCalley @SchuetteOnDuty @onetoughnerd New Study Shows How #FlintWaterCrisis Almost Triggered a Plastic Waste Crisis, Too https://t.co/cMpl72H558 @MonaHannaA @AbdulElSayed @TheYoungTurks #tytlive",dcfairbank,2018-12-06 17:04:11,"Chicago, IL"
"@MIAttyGen @POTUS @TheJusticeDept @MikeJBouchard @MISupremeCourt @SchuetteOnDuty I've been immorally trialed over exrecising my Rights to life, liberty and freedom. I complied with request assisting an officer by safely removing a hazard off the road, even in my own drive way.
Talk about gross over reach. 
Do me a miracle, Freedom is protected by OATH.",KenKolke,2018-12-06 16:59:04,"Walled Lake, MI"
"@MIAttyGen @POTUS @TheJusticeDept @MikeJBouchard @MISupremeCourt Come on @SchuetteOnDuty @MIAttyGen my debt's fines, penalties haven't stopped. Sstaate forgot to take my interest ruling in the Sstates best interest.",KenKolke,2018-12-06 16:55:43,"Walled Lake, MI"
RT @AndeeBarenholtz: @FrJohnUSA @charles_gaba @SchuetteOnDuty @LenaEpstein @knollenberg Pseudo Christian bigot,BiblicaIStudies,2018-12-06 16:17:06,
".@ScottWalker and @SchuetteOnDuty tried to do to @Tony4WI and @gretchenwhitmer what @CharlieBakerMA did to @marthacoakley in 2014, with the same backer--KochBros via @The_RGA. They failed, so Koch bros want #WIPowerGrab and #MIpowergrab https://t.co/hUZ4mTZ5lH #wipolitics #mapoli https://t.co/vD9YWvNeTW",RWwatchMA,2018-12-06 16:03:34,Massachusetts
"Hey beleaguered lame duck loser AG @SchuetteOnDuty 
When I get home from work imma smoke a big fat bong with MARIJUANA in it and you can’t do shit about it 🖕🏼",quajeezo,2018-12-06 15:18:15,"Michigan, USA"
@lpohutsky19 Let's see how forthright and strong @onetoughnerd is? So glad spineless @SchuetteOnDuty  lost! Michiganders should propose ballot to take away the health benefits of these GOP legislators,Pantherine4688,2018-12-06 13:19:23,🌎
RT @Caribbean_Reina: @jonathanoosting The Republican party is dead to me at any government level.  Never again will I give any of them my v…,Meb7777i,2018-12-06 12:56:47,Indianapolis
@jonathanoosting The Republican party is dead to me at any government level.  Never again will I give any of them my vote. They've  shamelessly proven time and again that all they care about is power and greed. @onetoughnerd @schuetteonduty,Caribbean_Reina,2018-12-06 03:41:49,"Michigan, USA"
RT @michpoligal: Updated with @schuetteonduty opinion that amend and adopt is okay: https://t.co/pDJ34wGjFd via @freep,jjpearson64,2018-12-06 03:06:38,
RT @michpoligal: Updated with @schuetteonduty opinion that amend and adopt is okay: https://t.co/pDJ34wGjFd via @freep,TankRalph,2018-12-06 02:23:12,
RT @dcfairbank: @GOP @The_RGA @ohiogop @NCGOP @GovWalker @SenFitzgerald @wisgop @MIGOP @onetoughnerd @SchuetteOnDuty @gretchenwhitmer @Abdu…,DemocratsCare,2018-12-06 01:46:12,Be the change you want to see. INFJ
RT @dcfairbank: @AriBerman @GOP @The_RGA @ohiogop @NCGOP @GovWalker @SenFitzgerald @Wisgop @MIGOP @onetoughnerd @SchuetteOnDuty Republicans…,DemocratsCare,2018-12-06 01:46:09,Be the change you want to see. INFJ
"Though @GeorgeHWBush was born in Massachusetts and raised his family in West Texas, he was no stranger to Michigan. @SchuetteOnDuty shares with us how he became a close friend of the 41st President and Barbara Bush. https://t.co/2HFa2AqlBw",StatesideRadio,2018-12-06 01:35:00,"Ann Arbor, MI"
RT @michpoligal: Updated with @schuetteonduty opinion that amend and adopt is okay: https://t.co/pDJ34wGjFd via @freep,MORNINGMANIAC,2018-12-06 00:47:35,Atlanta GA
@teh_Robbie @FantasticMrSnow @michpoligal @SchuetteOnDuty @freep Have you heard of Modern Monetary Theory?,MidSentryModern,2018-12-05 23:00:50,
"RT @FantasticMrSnow: @teh_Robbie @MidSentryModern @michpoligal @SchuetteOnDuty @freep Look a Seatac, economy is booming after being first c…",MidSentryModern,2018-12-05 23:00:13,
@teh_Robbie @michpoligal @SchuetteOnDuty @freep If you believe modern economic ethics are are actually ethical. I don't.,MidSentryModern,2018-12-05 23:00:04,
@SchuetteOnDuty @MEAOnline @gretchenwhitmer @garlin @dananessel listened to your interview on @MichiganRadio. Service over party? Seriously? As the @MIGOP are currently doing everything to hinder our state... Unbelievable...,rbjettateach,2018-12-05 20:47:18,"Grand Rapids, MI"
RT @michpoligal: Updated with @schuetteonduty opinion that amend and adopt is okay: https://t.co/pDJ34wGjFd via @freep,BrookeMelton84,2018-12-05 20:24:42,"Arizona, USA"
"@FantasticMrSnow @MidSentryModern @michpoligal @SchuetteOnDuty @freep Idk much about them, I’ll check it out and personally I doubt this is would be a big reason why the economy is booming. So the city raised minimum wage, is there any inflation taking place? Higher prices?",teh_Robbie,2018-12-05 19:45:17,United States
"RT @NextGenAmerica: Aided by gubernatorial loser @SchuetteOnDuty, Michigan Republicans have weakened minimum wage and paid sick leave laws.…",ToniRagusa,2018-12-05 19:44:53,"Chicago, IL"
@GOP @The_RGA @ohiogop @NCGOP @GovWalker @SenFitzgerald @wisgop @MIGOP @onetoughnerd @SchuetteOnDuty @gretchenwhitmer @AbdulElSayed @WisDems The Wisconsin GOP just completed a #LameDuck coup to strip @TheDemocrats of power https://t.co/P55IkNnvv6 @AriBerman @MotherJones @Tony4WI #GOPpowergrab #GOPShameDuck,dcfairbank,2018-12-05 19:15:26,"Chicago, IL"
@AriBerman @GOP @The_RGA @ohiogop @NCGOP @GovWalker @SenFitzgerald @Wisgop @MIGOP @onetoughnerd @SchuetteOnDuty Republicans are brazenly gutting #VotingRights in #LameDuck before they lose power https://t.co/GvxYF2bG03 @Tony4WI @GretchenWhitmer @AbdulElSayed #FlintWaterCrisis #GOPpowergrab,dcfairbank,2018-12-05 18:59:09,"Chicago, IL"
"RT @NextGenAmerica: Aided by gubernatorial loser @SchuetteOnDuty, Michigan Republicans have weakened minimum wage and paid sick leave laws.…",QuinnDunlea,2018-12-05 18:12:43,"Richmond, VA"
"RT @NextGenAmerica: Aided by gubernatorial loser @SchuetteOnDuty, Michigan Republicans have weakened minimum wage and paid sick leave laws.…",Gigasrex,2018-12-05 17:35:30,"Frankfort, KY"
"RT @NextGenAmerica: Aided by gubernatorial loser @SchuetteOnDuty, Michigan Republicans have weakened minimum wage and paid sick leave laws.…",Solutioneer72,2018-12-05 17:31:03,"Chicago, IL, USA"
"Aided by gubernatorial loser @SchuetteOnDuty, Michigan Republicans have weakened minimum wage and paid sick leave laws. #MIpol #MIpowergrab
https://t.co/wS29aYBHJx",NextGenAmerica,2018-12-05 17:29:09,
"@michpoligal @SchuetteOnDuty @freep Attorney General Bill Schuette should be disbarred for the malicious prosecution and abuse of power he did against that pig farmer

I have never seen such a gross abuse of power in my life. They starved man's animals

Cc @TYTNetwork @cenkuygur @johniadarola @AP @gretchenwhitmer",RobertSandera,2018-12-05 17:07:04,Detroit and Northeast
RT @michpoligal: Updated with @schuetteonduty opinion that amend and adopt is okay: https://t.co/pDJ34wGjFd via @freep,babs2122,2018-12-05 17:01:01,Traverse City MI
"@CNN @LZGranderson @CNNOpinion That is not who @MISenate @MIHouseGOP @onetoughnerd @SchuetteOnDuty Remind Me of. We must fight Republican Nazis on the beaches, in the streets, in the halls of the legislature. Boycott and ostracize these evil vicious people. @MichiganDems @MISenDems @freep @detroitnews https://t.co/Po4CBFRBwx",bkohatl,2018-12-05 16:56:05,"Atlanta, GA"
"@lpohutsky19 Hate them, fight them, boycott @MIGOP @freep @detroitnews They steal what they haven't earned, see what Republican Vicious Racist Republican @ScottWalker taught the kids of Baraboo Wisconsin. @BetsyDeVosED @SchuetteOnDuty @onetoughnerd The Nazis taught them well. @MichiganDems https://t.co/i8YVbKFIpS",bkohatl,2018-12-05 16:52:36,"Atlanta, GA"
RT @michpoligal: Updated with @schuetteonduty opinion that amend and adopt is okay: https://t.co/pDJ34wGjFd via @freep,StockScout1,2018-12-05 15:57:19,Kansas City
RT @michpoligal: Updated with @schuetteonduty opinion that amend and adopt is okay: https://t.co/pDJ34wGjFd via @freep,mysticrose29,2018-12-05 15:56:37,Florida
@michpoligal @SchuetteOnDuty @freep Why do we bother voting on proposals when the GOP is in power ?,detroitcasey,2018-12-05 14:55:02,Near Detroit
"RT @BballCoach80: @SchuetteOnDuty ⚡️ “Michigan Republicans pass bill weakening paid sick leave and minimum wage hike”

https://t.co/qrxY5nD…",BballCoach80,2018-12-05 14:53:23,
"@SchuetteOnDuty ⚡️ “Michigan Republicans pass bill weakening paid sick leave and minimum wage hike”

https://t.co/qrxY5nDbbq",BballCoach80,2018-12-05 14:50:47,
@SchuetteOnDuty YOU LOST. Stop trying to hurt the rest of us. Kthxbye. https://t.co/dkTPe3auKO,wolverinethad,2018-12-05 14:35:22,Michigan
"@SchuetteOnDuty Admit it:

You're PERSONALLY backing these ""revisions"", because you lost, right?",dean77bro,2018-12-05 14:12:50,"Mason, MI"
@SchuetteOnDuty is crooked and a very bad guy. I am elated he will not be our governor but it seems he had to stick it to the people of Michigan one last time before he leaves. https://t.co/mhmYdHoYQS,susanwoolner,2018-12-05 14:05:13,"Michigan, USA"
"@teh_Robbie @MidSentryModern @michpoligal @SchuetteOnDuty @freep Look a Seatac, economy is booming after being first city to initiate a 15 min.",FantasticMrSnow,2018-12-05 14:01:15,Here
@FBGM_Gamer @michpoligal @SchuetteOnDuty @freep I need a source cause that head is awesome!,FantasticMrSnow,2018-12-05 14:00:25,Here
@SchuetteOnDuty how come you didn't agree to adopt the same sick time policies of hb 1175? You make me sick i wish u and your cohorts the worst,bonebrann,2018-12-05 13:19:19,Under the black flag S.H MI
"@MidSentryModern @michpoligal @SchuetteOnDuty @freep I can understand not liking a political party, but you can’t back these claims. Minimum wage increase cause inflation and businesses have no obligation to pay you when you don’t work, only the government does.",teh_Robbie,2018-12-05 13:14:09,United States
"Thank you God, that come January @SchuetteOnDuty will just be a distant bad (VERY BAD!!!) memory!!!",LifeIsSweetBaby,2018-12-05 13:07:40,Westland MI
RT @michpoligal: Updated with @schuetteonduty opinion that amend and adopt is okay: https://t.co/pDJ34wGjFd via @freep,GlitchiePixel,2018-12-05 12:27:51,
@michpoligal @SchuetteOnDuty @freep Love the duck! Get Aflac! They are the only company that pays you during those difficult times.,SENECAMACK,2018-12-05 12:19:42,outyourspace
@LevineMarybeth @kylegriffin1 @SchuetteOnDuty Unbelievable that we finally vote them out and are still going to get screwed!,nevstew,2018-12-05 12:12:58,Michiagn
RT @michpoligal: Updated with @schuetteonduty opinion that amend and adopt is okay: https://t.co/pDJ34wGjFd via @freep,burberryant,2018-12-05 12:10:49,"Missouri, USA"
"@kylegriffin1 Please note, it's endorsed by OUTGOING conservative AG @SchuetteOnDuty who was RESOUNDINGLY DEFEATED for Governor by #MI voters and who will literally be nothing but a private citizen in 4 wks. #Michigan said NO to #Schuette, what he wants now shouldn't matter. #mileg #milameduck",LevineMarybeth,2018-12-05 12:08:22,Metro Detroit
RT @michpoligal: Updated with @schuetteonduty opinion that amend and adopt is okay: https://t.co/pDJ34wGjFd via @freep,DetroitReporter,2018-12-05 11:30:43,Detroit Rock City. Get up!
@michpoligal @SchuetteOnDuty @freep That's why he didn't get elected..,zetahutch,2018-12-05 11:26:15,
RT @michpoligal: Updated with @schuetteonduty opinion that amend and adopt is okay: https://t.co/pDJ34wGjFd via @freep,SoLun10,2018-12-05 09:57:31,
RT @michpoligal: Updated with @schuetteonduty opinion that amend and adopt is okay: https://t.co/pDJ34wGjFd via @freep,corepatt,2018-12-05 09:43:39,"Phoenix, AZ"
"@michpoligal @SchuetteOnDuty @freep No wonder we despise @MIHouseGOP
@MISenate #RickSynder 👎👎👎",2SassyD,2018-12-05 08:29:10,MI & Bichon USA
RT @michpoligal: Updated with @schuetteonduty opinion that amend and adopt is okay: https://t.co/pDJ34wGjFd via @freep,BoomersOhio,2018-12-05 07:36:44,"Elyria, OH"
RT @michpoligal: Updated with @schuetteonduty opinion that amend and adopt is okay: https://t.co/pDJ34wGjFd via @freep,KAIJUKING23,2018-12-05 07:03:28,"Orlando, FL"
RT @michpoligal: Updated with @schuetteonduty opinion that amend and adopt is okay: https://t.co/pDJ34wGjFd via @freep,Serial_Tragedy,2018-12-05 06:45:27,"Indiana, USA"
"RT @MidSentryModern: @michpoligal @SchuetteOnDuty @freep GOP does not respect the will of the People, they don't want us to vote and they p…",MidSentryModern,2018-12-05 06:43:11,
"@michpoligal @SchuetteOnDuty @freep GOP does not respect the will of the People, they don't want us to vote and they presume the authority to override policies mandated at the ballot box. They are playing with f**king fire.",MidSentryModern,2018-12-05 06:43:02,
RT @michpoligal: Updated with @schuetteonduty opinion that amend and adopt is okay: https://t.co/pDJ34wGjFd via @freep,javajunco,2018-12-05 05:54:11,Michigan
RT @michpoligal: Updated with @schuetteonduty opinion that amend and adopt is okay: https://t.co/pDJ34wGjFd via @freep,Kellym10800048,2018-12-05 05:51:22,
RT @michpoligal: Updated with @schuetteonduty opinion that amend and adopt is okay: https://t.co/pDJ34wGjFd via @freep,ralphx95,2018-12-05 05:39:33,
RT @michpoligal: Updated with @schuetteonduty opinion that amend and adopt is okay: https://t.co/pDJ34wGjFd via @freep,ruthellaowens,2018-12-05 05:31:16,"Dallas, TX"
RT @michpoligal: Updated with @schuetteonduty opinion that amend and adopt is okay: https://t.co/pDJ34wGjFd via @freep,TTElectricMonk,2018-12-05 05:12:49,
RT @michpoligal: Updated with @schuetteonduty opinion that amend and adopt is okay: https://t.co/pDJ34wGjFd via @freep,TaylorManhart,2018-12-05 05:04:12,"Atlanta, GA"
RT @michpoligal: Updated with @schuetteonduty opinion that amend and adopt is okay: https://t.co/pDJ34wGjFd via @freep,davge107,2018-12-05 05:03:20,
RT @michpoligal: Updated with @schuetteonduty opinion that amend and adopt is okay: https://t.co/pDJ34wGjFd via @freep,Myrkrida,2018-12-05 04:59:30,Michigan
@michpoligal @SchuetteOnDuty @freep Where do I purchase a duck hat like that the though?,FBGM_Gamer,2018-12-05 04:40:42,
RT @michpoligal: Updated with @schuetteonduty opinion that amend and adopt is okay: https://t.co/pDJ34wGjFd via @freep,BrendaSchory,2018-12-05 04:25:48,Kane County Chronicle
RT @michpoligal: Updated with @schuetteonduty opinion that amend and adopt is okay: https://t.co/pDJ34wGjFd via @freep,djmonette,2018-12-05 04:16:48,
