Text,Handle,Time Created,Location
RT @Albaccord2: To the tune of hundreds of millions a year here in #Oklahoma #okpol #okgov #okleg #oklaed @StittforGov https://t.co/Pa25Z7S…,FoxCarlynfox,2018-12-08 00:18:42,
"RT @PastorOmayraR: @Rebark Oklahoma City area U.S.A $1.83 galon 
Praise God Almighty for President Trump #MAGA #KAG 
@StittforGov",my_royal_love,2018-12-07 23:03:03,
"RT @PastorOmayraR: @Rebark Oklahoma City area U.S.A $1.83 galon 
Praise God Almighty for President Trump #MAGA #KAG 
@StittforGov",SoldierforGod7,2018-12-07 22:18:32,USA being a soldier for God
"RT @Marquet02938518: @StittforGov Julius Jones story was featured on the ABC TV documentary The Last Defense,you really need to check it ou…",800dcb827bde486,2018-12-07 18:58:33,"Battle Ground, WA"
"Already changing things up, even before he is sworn in. Looking forward to our new governor @StittforGov serving and leading with a fresh perspective and new way of doing things. https://t.co/pAhAFMzt0i",joshcockroft,2018-12-07 17:46:35,"Wanette, OK"
@StittforGov Julius Jones is INNOCENT and the state of Oklahoma is in jeopardy of executing an INNOCENT man. I implore you to act the very day that you take office. Thank you,Marquet02938518,2018-12-07 16:53:15,Oklahoma City
"@StittforGov Julius Jones story was featured on the ABC TV documentary The Last Defense,you really need to check it out.A fair and new trial is what we want. Julius deserves to have his side of the story heard by a jury #JusticeforJulius #CriminalJusticeReform #thelastdefense #Justice4julius https://t.co/7n8Gnz9SgR",Marquet02938518,2018-12-07 16:49:39,Oklahoma City
"@StittforGov Mr.Stitt on behalf of thousands around the world I ask you to look into the case of Death Row inmate Julius Jones as soon as you take Office the state of Oklahoma did not give him a fair trial,the district attorney will not release the case files,we need to know why? https://t.co/FsymgPW5lT",Marquet02938518,2018-12-07 16:42:06,Oklahoma City
@StittforGov keep your promise to audit &amp; post online results the entire State Government. That’s why I voted for you!!,okcvip,2018-12-07 16:20:50,"iPhone: 0.000000,0.000000"
@StittforGov please repeal/reign in the OKC Mayor. He should NOT have power to name change a Federal Holiday (Colombus Day) w/o your consent,okcvip,2018-12-07 16:19:45,"iPhone: 0.000000,0.000000"
@StittforGov Can't wait until you get inaugurated as governor.,MelanieLDeal76,2018-12-07 15:59:35,"McAlester, OK"
RT @TulsaTeresa: Expanding Medicaid could help Oklahoma with this problem @StittforGov https://t.co/7TsYBHVJn3,sherylfortner,2018-12-07 15:11:21,"Oklahoma, USA"
@TulsaTeresa @StittforGov You are aware he somehow is going to under perform Fallin. He should make Pruitt his chief of Staff and set to the business of grifting our state as best he can.,curtismcauliff,2018-12-07 15:01:53,"Edmond, OK"
"“Oklahoma’s turnaround starts right here, right now!” -Oklahoma Governor Kevin Stitt https://t.co/uVxWgVeAb6",OklahomaAIJ,2018-12-07 14:57:28,"Oklahoma, USA"
@betsydaddy @ChickfilA thanks for saying hello!,StittforGov,2018-12-07 14:20:15,"Tulsa, OK"
RT @betsydaddy: Ran into @StittforGov @ChickfilA. https://t.co/tzycIXo6La,StittforGov,2018-12-07 14:20:07,"Tulsa, OK"
Enjoyed talking to the capitol press corps yesterday &amp; look forward to more drop-ins in the near future! https://t.co/p23XQHgWO2,StittforGov,2018-12-07 14:14:20,"Tulsa, OK"
@GovMaryFallin @NEWS9 Hope @StittforGov doesn't act like this. And actually let ppl off for the right reasons,BasedAmerican,2018-12-07 13:42:12,United States
RT @TulsaTeresa: Expanding Medicaid could help Oklahoma with this problem @StittforGov https://t.co/7TsYBHVJn3,TROKNOWS,2018-12-07 13:20:02,
"@WO4TG @sooner_wood @StittforGov @OU_Football @TexasFootball And you have an Okie's name gracing your stadium, the best coach you've ever had Darrell Royal. Apparently the horns just need to get good leadership to get that talent moving right to win (@OU_Football) not whine @TexasFootball). #4Straight  #12Total @Big12Conference ✌",RARedwine,2018-12-07 13:02:18,"Oklahoma City, OK (WestxSouth)"
@15Deloreans @TulsaTeresa @lauraelang @StittforGov Which seems to be the thingoklahoma would rather spend money on. Sigh.,carey_cole,2018-12-07 12:24:16,
RT @StittforGov: Friends- imitation spam accounts are popping up on Twitter. One is direct messaging people asking for personal information…,TonyaForeman67,2018-12-07 11:45:02,"Bartlesville, OK"
RT @TulsaTeresa: Expanding Medicaid could help Oklahoma with this problem @StittforGov https://t.co/7TsYBHVJn3,stormyokla,2018-12-07 11:27:39,"Oklahoma, USA"
I would love to see @StittforGov push our state legislature for a policy change here. No reason our state legislators can’t be fully transparent regarding official government business #okleg https://t.co/pL2LMvZRJq,JudgeSpaulding,2018-12-07 10:27:30,DC via Oklahoma
"@NewsOn6 @Greenthevote1 
@ABC @AP @netanyahu
@CBSNews @cnnbrk @TulsaPolice
@TulsaSheriffs @OHPtraffic
@realDonaldTrump @StittforGov
@SenatorLankford @JimInhofe
@TurnbullMalcolm @SharrenHaskel
@DrDoreGold @dannydanon
https://t.co/TGtXBlIuFo https://t.co/cWpGqyRwdq",bendapplegate,2018-12-07 10:25:03,"Sand Springs, OK"
RT @TulsaTeresa: Expanding Medicaid could help Oklahoma with this problem @StittforGov https://t.co/7TsYBHVJn3,AltTulsa,2018-12-07 10:23:21,"Tulsa, Oklahoma"
RT @TulsaTeresa: Expanding Medicaid could help Oklahoma with this problem @StittforGov https://t.co/7TsYBHVJn3,freightelevator,2018-12-07 10:11:57,Oklahoma
The Oklahoma incarceration rate is highest in the nation. Mandatory minimums for non-violent offenders need to be seriously questioned and a higher concentration on rehabilitation instead of punishment is a necessity. @SenatorLankford @JimInhofe @StittforGov,OKColtonCarroll,2018-12-07 04:45:54,"Oklahoma, USA"
@TulsaTeresa @lauraelang @StittforGov So would a larger stadium,15Deloreans,2018-12-07 02:44:40,eggs.spark.meals
RT @TulsaTeresa: Expanding Medicaid could help Oklahoma with this problem @StittforGov https://t.co/7TsYBHVJn3,lauraelang,2018-12-07 02:43:38,"Oklahoma City, OK"
RT @StittforGov: Friends- imitation spam accounts are popping up on Twitter. One is direct messaging people asking for personal information…,OSBI_Director,2018-12-07 02:37:42,
RT @TulsaTeresa: Expanding Medicaid could help Oklahoma with this problem @StittforGov https://t.co/7TsYBHVJn3,TheEpicOliver,2018-12-07 02:29:46,"Norman, OK"
RT @TulsaTeresa: Expanding Medicaid could help Oklahoma with this problem @StittforGov https://t.co/7TsYBHVJn3,OKPolicy,2018-12-07 02:28:54,"Tulsa, OK"
Expanding Medicaid could help Oklahoma with this problem @StittforGov https://t.co/7TsYBHVJn3,TulsaTeresa,2018-12-07 02:28:37,"Tulsa, Oklahoma"
RT @StittforGov: Friends- imitation spam accounts are popping up on Twitter. One is direct messaging people asking for personal information…,WendyPratt234,2018-12-07 01:38:57,"Dibble, OK"
Ran into @StittforGov @ChickfilA. https://t.co/tzycIXo6La,betsydaddy,2018-12-07 00:41:09,
Imagine Kevin Stitt sliding into your DM’s to ask you for your social security number https://t.co/PQ5y9aK7UF,jurisdorktorate,2018-12-06 23:21:18,The Function
"RT @justice4danielh: @StittforGov we surpassed 24,000 signatures this morning!! Daniel’s 32nd birthday is Dec 10th, the day he was wrongful…",marleycoo,2018-12-06 23:17:37,"Colorado, USA"
"RT @justice4danielh: @StittforGov we surpassed 24,000 signatures this morning!! Daniel’s 32nd birthday is Dec 10th, the day he was wrongful…",pammustard,2018-12-06 22:44:30,"Ontario, Canada"
"@StittforGov we surpassed 24,000 signatures this morning!! Daniel’s 32nd birthday is Dec 10th, the day he was wrongfully convicted 3 yrs ago.  Please help us fight to #FreeDanielHoltzclaw https://t.co/9rBvsMzxjZ @michellemalkin @ZellnerLaw",justice4danielh,2018-12-06 21:03:12,www.HoltzclawTrial.com
RT @StittforGov: Friends- imitation spam accounts are popping up on Twitter. One is direct messaging people asking for personal information…,ugohelen59,2018-12-06 20:25:14,United States
RT @StittforGov: Friends- imitation spam accounts are popping up on Twitter. One is direct messaging people asking for personal information…,pielo75,2018-12-06 20:20:58,USA
RT @StittforGov: Friends- imitation spam accounts are popping up on Twitter. One is direct messaging people asking for personal information…,michellesacct,2018-12-06 20:19:22,United States
RT @StittforGov: Friends- imitation spam accounts are popping up on Twitter. One is direct messaging people asking for personal information…,rewilson80,2018-12-06 18:53:10,"Kansas, USA "
RT @StittforGov: Friends- imitation spam accounts are popping up on Twitter. One is direct messaging people asking for personal information…,RadioAesthetic,2018-12-06 18:37:17,"Tulsa, OK"
RT @StittforGov: Friends- imitation spam accounts are popping up on Twitter. One is direct messaging people asking for personal information…,bjcowan1970,2018-12-06 18:11:18,"Norman, OK"
@StittforGov @GovMaryFallin @realDonaldTrump @BlueWalkPoconos @WinterwoodGrace @tararollins62 @Forensics4Real @PC1170 @PoliticalShort @CherieW41941745 @Boxermamaof2 @IDAddictUSA #FreeDanielHoltzclaw https://t.co/9EzWDPhWxz,DebiUnruh,2018-12-06 18:09:40,Follow me & I will follow back
@StittforGov @Twitter I’ve posted one of the spam acc on my page RT and report him,QueenA91567967,2018-12-06 17:53:59,
RT @StittforGov: Friends- imitation spam accounts are popping up on Twitter. One is direct messaging people asking for personal information…,AshwoodSamuel,2018-12-06 17:52:56,"Oklahoma, USA"
RT @momeye76: @StittforGov @Twitter https://t.co/8qcy0mvIva,QueenA91567967,2018-12-06 17:52:56,
@drcamey @StittforGov @Twitter Same,QueenA91567967,2018-12-06 17:52:36,
RT @StittforGov: Friends- imitation spam accounts are popping up on Twitter. One is direct messaging people asking for personal information…,QueenA91567967,2018-12-06 17:51:52,
RT @StittforGov: Friends- imitation spam accounts are popping up on Twitter. One is direct messaging people asking for personal information…,dashicl,2018-12-06 17:37:30,originally No. California
RT @StittforGov: Friends- imitation spam accounts are popping up on Twitter. One is direct messaging people asking for personal information…,IreneVMP,2018-12-06 17:36:30,
RT @StittforGov: Friends- imitation spam accounts are popping up on Twitter. One is direct messaging people asking for personal information…,wing13nut,2018-12-06 17:31:05,Manhattan NY or God's Country
Alert https://t.co/oQsl8YzPe8,OkLbrl80,2018-12-06 17:01:32,Oklahoma
RT @StittforGov: Friends- imitation spam accounts are popping up on Twitter. One is direct messaging people asking for personal information…,breckbear,2018-12-06 16:49:19,"Harrah, OK"
RT @StittforGov: Friends- imitation spam accounts are popping up on Twitter. One is direct messaging people asking for personal information…,1Amabo2Go,2018-12-06 16:44:43,United States
RT @StittforGov: Friends- imitation spam accounts are popping up on Twitter. One is direct messaging people asking for personal information…,MelanieLDeal76,2018-12-06 16:39:07,"McAlester, OK"
RT @StittforGov: Friends- imitation spam accounts are popping up on Twitter. One is direct messaging people asking for personal information…,kaessmike,2018-12-06 16:37:40,"Tulsa, OK"
RT @StittforGov: Friends- imitation spam accounts are popping up on Twitter. One is direct messaging people asking for personal information…,ChadAlexander2,2018-12-06 16:13:28,"Oklahoma, USA"
RT @StittforGov: Friends- imitation spam accounts are popping up on Twitter. One is direct messaging people asking for personal information…,LiGhTnEssRains,2018-12-06 16:08:44,MERICA
RT @StittforGov: Friends- imitation spam accounts are popping up on Twitter. One is direct messaging people asking for personal information…,kimEPP33,2018-12-06 15:41:26,"Oklahoma City, OK"
RT @StittforGov: Friends- imitation spam accounts are popping up on Twitter. One is direct messaging people asking for personal information…,larryokc,2018-12-06 15:18:17,Oklahoma CIty
RT @StittforGov: Friends- imitation spam accounts are popping up on Twitter. One is direct messaging people asking for personal information…,NancyWhitmore1,2018-12-06 15:10:07,Oklahoma
@OKftl @StittforGov @Twitter @OKftl is a troll,Ouachita59,2018-12-06 14:52:22,Ouachita Nat'l Forest
@OKftl @StittforGov @Twitter Give him a chance.,Ouachita59,2018-12-06 14:50:31,Ouachita Nat'l Forest
@StittforGov @Twitter Hello Guv'nor!,Ouachita59,2018-12-06 14:49:08,Ouachita Nat'l Forest
"@StittforGov @Twitter Gov. Stitt, during the primary some people who supported you had some hateful ads towards Mick Cornette. Were all GOP, we dont do dumb stuff like that (ok the Bull Stitt ads were really dumb). I never heard any kind of effort to say those attack ads were wrong @officialOKGOP",jamespwhite44,2018-12-06 14:30:35,"Stillwater, OK"
"I heard about this, one of these ""imitation accounts"" has already made it into the governor' mansion. https://t.co/DjjKs1R4Af",sagenwok,2018-12-06 14:30:33,God's Country
RT @StittforGov: Friends- imitation spam accounts are popping up on Twitter. One is direct messaging people asking for personal information…,RZimms,2018-12-06 14:19:51,United States
@StittforGov @Twitter Thanks for the heads up. I got one of those. I reported it to Twitter.,drcamey,2018-12-06 14:16:11,Oklahoma
@StittforGov @Twitter https://t.co/WdrEIWiLH6,momeye76,2018-12-06 14:05:46,"Oklahoma, USA"
@StittforGov @Twitter https://t.co/8qcy0mvIva,momeye76,2018-12-06 14:05:31,"Oklahoma, USA"
RT @StittforGov: Friends- imitation spam accounts are popping up on Twitter. One is direct messaging people asking for personal information…,GrantHermesKWTV,2018-12-06 14:04:02,
"RT @StittforGov: Thank You, Oklahoma! https://t.co/Uc1YovOIFq",csbaby,2018-12-06 13:54:30,TEXAS - USA
RT @StittforGov: Friends- imitation spam accounts are popping up on Twitter. One is direct messaging people asking for personal information…,LadyAnon5,2018-12-06 13:53:42,
RT @StittforGov: Friends- imitation spam accounts are popping up on Twitter. One is direct messaging people asking for personal information…,eCapitol_Shawn,2018-12-06 13:40:57,Oklahoma City
RT @StittforGov: Friends- imitation spam accounts are popping up on Twitter. One is direct messaging people asking for personal information…,mynameissquatch,2018-12-06 13:35:38,"Oklahoma, USA"
@ATrueAmericanOK @StittforGov @Twitter Waaaaa!!! Russia!!! Waaaaa!!! https://t.co/nkV5JWDMXN,RexKwon_doh,2018-12-06 13:31:43,
@ATrueAmericanOK @StittforGov @Twitter Are you gonna cry? #dbap,RexKwon_doh,2018-12-06 13:27:03,
RT @StittforGov: Friends- imitation spam accounts are popping up on Twitter. One is direct messaging people asking for personal information…,mdough24,2018-12-06 13:24:21,
@StittforGov @Twitter What about imitation Mary Fallin’s? Seen any of those moving into the Governor’s mansion lately?,OKftl,2018-12-06 13:23:19,New Terra
RT @StittforGov: Friends- imitation spam accounts are popping up on Twitter. One is direct messaging people asking for personal information…,Coff52,2018-12-06 13:21:13,
RT @JbrunoKFOR: WARNING: ⬇️⤵️ @kfor https://t.co/h2VM9Q2Zmf,HalBrock,2018-12-06 13:20:35,"Oklahoma City, OK"
"@StittforGov @Twitter If the people of Oklahoma are stupid enough to vote for a Nationalist Republican party of Russia for governor then they should lose money to another criminal like you.
Show us your taxes.",ATrueAmericanOK,2018-12-06 13:16:11,"Oklahoma City, OK"
RT @JbrunoKFOR: WARNING: ⬇️⤵️ @kfor https://t.co/h2VM9Q2Zmf,DaherLou,2018-12-06 13:10:39,"Texas, USA"
WARNING: ⬇️⤵️ @kfor https://t.co/h2VM9Q2Zmf,JbrunoKFOR,2018-12-06 13:09:58,Chicago ➡️TX ➡️OKC
"Friends- imitation spam accounts are popping up on Twitter. One is direct messaging people asking for personal information. Please do not respond! We have reported the spam accounts, but until @Twitter is able to resolve it, please know @stittforgov remains my only account.",StittforGov,2018-12-06 13:08:46,"Tulsa, OK"
"@StittforGov A @ScottPruittOK co conspirator not a good idea...
https://t.co/YljN3yGPoK 
You nessed up before you swore in. https://t.co/YyUcZeow74",O8Clint,2018-12-06 09:39:53,"Tulsa, OK"
"RT @O8Clint: @Michael_McElroy @ModerateOkie @PHReynolds_HOU @StittforGov Check this one out McElroy
https://t.co/NTiMC5s4dw 
Stitt hiring c…",O8Clint,2018-12-06 09:31:39,"Tulsa, OK"
"@Michael_McElroy @ModerateOkie @PHReynolds_HOU @StittforGov Check this one out McElroy
https://t.co/NTiMC5s4dw 
Stitt hiring criminals 
Filed complaint in @JimInhofe office with him present 2012 &amp; @TulsaPolice
@NewsOK @ChaseSupport @FBI
@FBIWFO @AGMikeHunter @ABCInvestigates @wpinvestigates @USAO_NDOK @bobbylorton @tulsaworld @politico https://t.co/pfh8fAk2AE",O8Clint,2018-12-06 09:31:20,"Tulsa, OK"
"RT @O8Clint: @StittforGov Ken Wagner failed to inform he is a @ScottPruittOK co conspirator ?
I know you got the mesage hired the criminal…",O8Clint,2018-12-06 09:16:00,"Tulsa, OK"
