Text,Handle,Time Created,Location
"@20committee @joshcampbell @honeyspctacular @LincolnsBible @lcmoser @StephenAtHome @gdebenedetti @WolfForPA @Bob_Casey, @WolfForPA, @LisaBLforPA @WalshFreedom @maddogpac @TheRickWilson @SchreckReports @BrianKarem @GenMhayden @KDKA  @kdkaradioamnews https://t.co/GCighgSO2p",JD1043,2018-12-08 00:34:29,
"@realDonaldTrump @20committee @joshcampbell @honeyspctacular @LincolnsBible @lcmoser @StephenAtHome @gdebenedetti @WolfForPA @Bob_Casey, @WolfForPA, @LisaBLforPA @WalshFreedom @maddogpac @TheRickWilson @SchreckReports @BrianKarem @GenMhayden @KDKA  @kdkaradioamnews",JD1043,2018-12-08 00:03:49,
"@WolfForPA  hey Mr Wolf , your views on inmates seems clouded! Karma is karma! I hope you never have to lose a loved one, but I’m sure if that ever happens by a repeat offender MAYBE YOU WILL OPEN YOUR EYES!!!!!! 🤬🤬🤬🤬🤬🤬",luvmonkey20,2018-12-07 16:38:35,new jersey
@WolfForPA Every Good Wish!!,AllMyLukeDA,2018-12-07 14:20:12,
RT @ZeroVisionPhila: Safe infrastructure treated like this! A Slow older pedestrian. How will #Speed #ScamCams Save him @bcgp @MayorKenney…,SmallBizPhilly,2018-12-07 12:08:39,Philadelphia PA
@MedicalTeam @WolfForPA  👍,JohnFetterman,2018-12-07 11:55:03,"Braddock, PA"
RT @WolfForPA: We just announced the schedule for Tom Wolf and John Fetterman’s Inauguration! Check it out at our new website → https://t.c…,MedicalTeam,2018-12-07 11:50:24,"Pittsburgh, Pa."
"@WolfForPA @JohnFetterman Just curious my friend, is it open to the public to see this great moment happening ?",MedicalTeam,2018-12-07 11:50:12,"Pittsburgh, Pa."
RT @WolfForPA: We just announced the schedule for Tom Wolf and John Fetterman’s Inauguration! Check it out at our new website → https://t.c…,earthlierforce,2018-12-07 10:58:48,"Philadelphia, PA"
RT @WolfForPA: We just announced the schedule for Tom Wolf and John Fetterman’s Inauguration! Check it out at our new website → https://t.c…,superwoman428,2018-12-07 07:23:12,"Elysburg, PA"
RT @WolfForPA: We just announced the schedule for Tom Wolf and John Fetterman’s Inauguration! Check it out at our new website → https://t.c…,beverlyNOTMYPRE,2018-12-07 03:05:04,"Elberton, GA"
@Mars___Hall @WolfForPA Figures.,tonyr671,2018-12-07 02:36:37,
@tonyr671 @WolfForPA Glad to have voted them in!,Mars___Hall,2018-12-07 02:30:36,"Philadelphia, PA"
@Mars___Hall @WolfForPA Only speaking the truth.  The Tax Brothers Tom and Jim.  They're great for population control.  Last person left please pay the electric bill b4 you leave.,tonyr671,2018-12-07 02:20:01,
RT @WolfForPA: We just announced the schedule for Tom Wolf and John Fetterman’s Inauguration! Check it out at our new website → https://t.c…,bvalaw,2018-12-07 02:07:10,
@WolfForPA.,snkundu1,2018-12-07 01:39:42,
RT @WolfForPA: We just announced the schedule for Tom Wolf and John Fetterman’s Inauguration! Check it out at our new website → https://t.c…,MattKnoedler,2018-12-07 01:30:01,"Washington, DC"
@tonyr671 @WolfForPA Tony Whine,Mars___Hall,2018-12-07 01:06:06,"Philadelphia, PA"
