Text,Handle,Time Created,Location
@NYGovCuomo @MikeBloomberg @andrewcuomo where is your outrage and defense for your constituents? I’ll wait for an answer https://t.co/F6iBHVRy9f,surfagogo,2018-12-08 00:37:20,suburb in wny
"@NYAdoptEquality @NYGovCuomo @andrewcuomo @AdopteeRightsCo @TransracialEyes @ChronicleSC I, too, was born in 1957. We were equals in the moments after our birth. Why, now, am I less equal than you?  Neither one of us was responsible for what brought us into this world. But every day without my original birth certificate is a day that I am less than",Phoenix4306,2018-12-07 23:10:44,
Let's pay attention to NY &amp; NJ as they contemplate legalization. andrewcuomo are you going to give licenses to current thriving business owners or allocate them directly to the people -… https://t.co/FmQ7Q3J1SQ,Rachel_Ilana,2018-12-07 23:08:47,"New York, USA"
"How is it #newyork lawmakers get a 50k  annual raise,  while gas prices rise even faster? Gas prices nationally are falling everywhere a except here and we wonder why.  @andrewcuomo you suck!  And you freaking wonder why people leave #iloveny. THEY ARE BROKE!",mechanicalnuts,2018-12-07 22:45:32,
"@SafeHorizon My friend experienced attempted rape by her roommate and you are denying her shelter sayin it’s not domestic violence? What the hell is wrong with you ? You should be ashamed ! 
@NYCMayorsOffice @andrewcuomo @SenGillibrand @SenSchumer",Corinne4Hillary,2018-12-07 22:40:05,
"RT @Matthewcogdeill: 📢#RETWEET 📢
Gov @andrewcuomo says America has never been great on the same day Hillary Clinton tells an 11 yo she’s co…",koda1950,2018-12-07 22:36:59,"White Lake, MI"
@FenucciMiles @andrewcuomo Same with NC.,unseen1_unseen,2018-12-07 22:25:17,
"RT @Matthewcogdeill: 📢#RETWEET 📢
Gov @andrewcuomo says America has never been great on the same day Hillary Clinton tells an 11 yo she’s co…",carlg341,2018-12-07 21:51:39,Floridas Space Coast
"RT @Matthewcogdeill: 📢#RETWEET 📢
Gov @andrewcuomo says America has never been great on the same day Hillary Clinton tells an 11 yo she’s co…",governor01,2018-12-07 21:48:34,Ottawa
@assemblymanjoe Pls review my bill (A3590) &amp; bring it to the floor for a vote in the spring.  It will be 20 yrs next year since my father died senselessly by someone who never earned a license ever.  I have left many messages &amp; emailed with no response. @andrewcuomo @PhilBoyleNY,annk_333,2018-12-07 21:47:32,
"RT @Matthewcogdeill: 📢#RETWEET 📢
Gov @andrewcuomo says America has never been great on the same day Hillary Clinton tells an 11 yo she’s co…",Matthewcogdeill,2018-12-07 21:41:04,Follow Instagram @MattCogdeill
"RT @NassauDems: Join Chairman Jay Jacobs 
for NCDC's 2018 Holiday Party
With Special Guests:

Governor andrewcuomo 
Senator John @Brooks4LI…",SouthBayDems,2018-12-07 21:35:54,"Massapequa, NY"
"RT @LoufromCT: Isn't .@AndrewCuomo another in long line of Dem female advocates &amp; protectors, like NY residents Harvey I'm Hideous like Kra…",MistyLynn67,2018-12-07 20:36:59, GREAT State of OHIO GO BUCKS 
"RT @LoufromCT: Isn't .@AndrewCuomo another in long line of Dem female advocates &amp; protectors, like NY residents Harvey I'm Hideous like Kra…",RL9631,2018-12-07 20:19:58,United States
@unseen1_unseen Upstate New York could have taken advantage of natural gas drilling but @AndrewCuomo decided that would benefit us too much. Better to let Upstate die.,FenucciMiles,2018-12-07 20:14:58,
"RT @Zimrico: ""America was never that great.""
@andrewcuomo 
We know you don't care, but we do.
@CNN @MSNBC @NBCNews @nbc @NBCPolitics @JoeNB…",totaljoyk,2018-12-07 20:01:47,
"RT @Zimrico: ""America was never that great.""
@andrewcuomo 
We know you don't care, but we do.
@CNN @MSNBC @NBCNews @nbc @NBCPolitics @JoeNB…",Zimrico,2018-12-07 20:01:37,Flyover Land
"@CIS_org Are u #unemployed, esp in the red states?  Get concerned b/c if this passes, #jobs will be gone forever as temp visas get full citizenship @nytimes @TexasTribune @latimes @njdotcom @usatoday @time @senstabenow @houseGOP @realdonaldtrump @ivankatrump @jerrybrowngov @andrewcuomo https://t.co/ikv8kfTAnw",mktldr,2018-12-07 17:17:14,MI
"@MaddieDubbs @GordonGrecoo I look forward to seeing the role of intersectionalism, policies and methods of @andrewcuomo take root on a nat’l scale, ntm the emerging socialists of the Dem Party. Maybe go protest to them not to investigate phony Russia collusion and actually do something productive.",aron_on171,2018-12-07 16:44:34,
@NYCMayorsOffice @NYCMayor @andrewcuomo https://t.co/naz2s5GyH6,Thekidgib45,2018-12-07 16:41:35,"Massapequa, NY"
@andrewcuomo I'll retract that last statement. My peeps found me an apartment.,JesseBeauchamp9,2018-12-07 16:37:09,
"RT @NassauDems: Join Chairman Jay Jacobs 
for NCDC's 2018 Holiday Party
With Special Guests:

Governor andrewcuomo 
Senator John @Brooks4LI…",TOHDC,2018-12-07 16:36:21,"Hempstead, NY"
"Thank you #Jesus!

'it's not like he's Andrew Cuomo, or something.'

@BetoORourke @andrewcuomo https://t.co/sgUgQlVvw9",davidgoldiner,2018-12-07 16:23:18,Brooklyn
"RT @TUCapCon: Gov. @AndrewCuomo isn't running for president, but his campaign did spend cash on Iowa consultant. https://t.co/uKxILlXaXD",TheJoeKonig,2018-12-07 16:05:06,
"RT @TUCapCon: Gov. @AndrewCuomo isn't running for president, but his campaign did spend cash on Iowa consultant. https://t.co/uKxILlXaXD",YanceyRoy,2018-12-07 16:04:20,
@annamar1a @andrewcuomo @MTA @RidersNY They should reduce it back to being a dollar at that point.,MarxMets,2018-12-07 16:02:17,"Ridgewood, Queens"
Who is up for a class action lawsuit against the @MTA? Maybe reclaim all the money we've lost from being late to shit because of this hemorraghing dinosaur that @andrewcuomo refuses to fix? Maybe @amazon is going to deliver new trains when they infect Queens? #FuckTheMTA,peterro130,2018-12-07 16:00:02,
"Gov. @AndrewCuomo isn't running for president, but his campaign did spend cash on Iowa consultant. https://t.co/uKxILlXaXD",TUCapCon,2018-12-07 16:00:00,"State Capitol, Albany"
"@NateSilver538 @amyklobuchar @SenSanders @BetoORourke @staceyabrams @elizabethforma @AndrewGillum @JoeBiden 4/ dimension to have. Certainly Biden, but also @SenKamalaHarris as former Cal state AG. Pure #1's, like @HillaryClinton, @andrewcuomo and @MikeBloomberg are probably already out of the running.",EAChrisMiller,2018-12-07 15:57:21,"Cleveland, OH"
"👇💪
@TomPerez @OurRevolution @MoveOn @SenSanders @ninaturner @KamalaHarris @rolandsmartin @normangoldman @Lawrence @StephMillerShow @EdKrassen @krassenstein @funder @BarackObama @TeamPelosi @JBPritzker @andrewcuomo @GavinNewsom @NationalNurses https://t.co/pGnZdc2qH2",OccupyCompanies,2018-12-07 15:38:38,"Chicago, IL"
"@NYPDONeill Wth? Need a citizen review board. Weed out the criminal,racist, predatory, subhuman factor. #Enough @BilldeBlasio @andrewcuomo @Ocasio2018 https://t.co/ZtOBJpfdas",Amusedrice,2018-12-07 14:09:03,"Bronx, NY"
@MarxMets @andrewcuomo @MTA @RidersNY Yea but what are they doing with the money we are already giving them with these fares? 🤷🏼‍♀️,annamar1a,2018-12-07 13:53:34,"Queens, NY"
"@RoArquette @TIMESUPNOW He blackmailed @andrewcuomo and got the first investigation dropped. Then New Yorkers re-elected him over voting for a queer woman because of ""his experience"". Excuse me while I go vomit.",jakeypoohlv,2018-12-07 13:47:36,"Las Vegas, NV"
@CNN I reckon we should ban bombs like guns so only the bad people will have them! You people @CuomoPrimeTime @NYGovCuomo @andrewcuomo @DonLemon_CNN @SenFeinstein @RepSwalwell  and the rest of you ignorant demonrats,Rooster64195131,2018-12-07 13:40:38,"Huachuca City, AZ"
"@andrewcuomo Apparently that was no homeless non autistic left behind. Have fun explaining this to my son when I freeze to death outside tonight. WNY and the 7 the day of Christmas. Thanks for nothing.
J.",JesseBeauchamp9,2018-12-07 13:40:34,
"RT @NewYorkGOP: .@AndrewCuomo never lets a little hypocrisy get in the way of his rhetoric. He decries ""corporate power"" while doling out b…",Trump_Muslim,2018-12-07 12:34:40,
"RT @JT3cool: It’s No different then what Your Brother @andrewcuomo’s doing in New York, and what the rest of Democrats are doing with their…",KNatkaniec,2018-12-07 12:10:53,"New York, USA"
"It’s No different then what Your Brother @andrewcuomo’s doing in New York, and what the rest of Democrats are doing with their power in office.
The only difference is, The Democrats are pissed off they didn’t do it first 😳 https://t.co/8C22THt6uD",JT3cool,2018-12-07 12:05:41,
"RT @NewYorkGOP: .@AndrewCuomo never lets a little hypocrisy get in the way of his rhetoric. He decries ""corporate power"" while doling out b…",CuomoCorruption,2018-12-07 12:03:26,
"RT @NassauDems: Join Chairman Jay Jacobs 
for NCDC's 2018 Holiday Party
With Special Guests:

Governor andrewcuomo 
Senator John @Brooks4LI…",LBDemCommittee,2018-12-07 12:02:48,"Long Beach, NY"
"RT @NassauDems: Join Chairman Jay Jacobs 
for NCDC's 2018 Holiday Party
With Special Guests:

Governor andrewcuomo 
Senator John @Brooks4LI…",NassauYDs,2018-12-07 11:57:05,"Garden City, NY"
@JasonDJordan @edfenergycomms Another @andrewcuomo waste of tax money?,FenucciMiles,2018-12-07 11:52:17,
So when are you going to increase funding for early childhood special education @andrewcuomo? Which also hasn’t had an increase in 20+ years? 🤔 https://t.co/JPRBNJomkO,emminger_11,2018-12-07 11:29:47,716. ☘️
@NewYorkGOP @andrewcuomo He’s definitely a little confused maybe he should see a Doctor,kb2izm,2018-12-07 10:57:20,"Oneida, NY"
.@NYGovCuomo @andrewcuomo Happy 61st birthday to the best person for the job! 😀,ceceilia0502,2018-12-07 09:13:00,"NYC, Millburn / Short Hills NJ"
