Text,Handle,Time Created,Location
".@dougducey declines to comment on what he &amp; potential US Senate appointee @MarthaMcSally talked about during their recent meeting. ""I’m going to keep the contents of our conversation confidential.”",jeremyduda,2018-12-07 22:19:34,"Phoenix, AZ"
".@dougducey seemed unaware of any ""massive surge"" at the border in AZ, as Trump tweeted. Ducey says he's talking with Homeland Security. “I wanted to understand if there was a change in the situation. ... We’re going to get the facts before I say anything more about the tweet.” https://t.co/bgI3IzxjFC",jeremyduda,2018-12-07 22:18:24,"Phoenix, AZ"
RT @mikespector: #RIP... https://t.co/oByTIK36qM,RWYoungblood,2018-12-07 22:18:21,"Atlanta, GA"
"Three Arizona leaders are looking out for our state's water future. Thank you Governor @dougducey, @repotondo, and Representative Rusty Bowers for your support! https://t.co/cIm0Vrojhb",AZChamberFdn,2018-12-07 22:18:00,"Phoenix, AZ"
RT @stevenjhsieh: Governor @dougducey's administration found Arizona Parks broke no rules when it exempted a seasonal ranger from a backgro…,weretuna,2018-12-07 22:14:49,"Provo, Utah"
RT @JeffWeninger: Great team effort. RT @PhxBizHayley: Grains of disruption: Why Arizona's #FinTech Sandbox wants to lure new #technology @…,traversantgroup,2018-12-07 22:13:26,Arizona
RT @reactionariez: @OBFSU @AzSkyWatcher @dougducey @MayorNicholls @cityofyuma @Yumalibrary @yumaciviccenter @YumaSheriff @yumacountyaz @Yum…,AzSkyWatcher,2018-12-07 21:49:17,"Arizona, USA"
"@dougducey In my 20 years in my @USNavy, having been to Hawaii several times where all those ships are still on the shallow bottom, I just can't imagine what that Sunday was like. It was not Church it was hell. Then came @NavajoCodes so we lost the Battle not the War.",Survivor_JohnS,2018-12-07 21:45:34,"Sierra Vista, AZ"
RT @JeffWeninger: Great team effort. RT @PhxBizHayley: Grains of disruption: Why Arizona's #FinTech Sandbox wants to lure new #technology @…,jeffsobotka,2018-12-07 21:42:18,"Arizona, USA"
"RT @dougducey: We gather at the anchor of the Battleship USS Arizona to remember each life lost 77 years ago today. But, we also remember t…",UniversityFour,2018-12-07 21:42:15,Rincon Market
Would have been nice of @dougducey to actually acknowledge Deputy US Marshal Chase White today. Today was his funeral. I personally acknowledge and thank you #ChaseWhite,SusanMahne,2018-12-07 21:40:09,Tucson Arizona
"RT @mpolletta: UPDATE: Gov @dougducey saw Trump tweet claiming AZ is 'bracing for a massive surge' of migrants, says he's working to 'under…",LoveThePines,2018-12-07 21:38:07,USA #MAGA Independent
"RT @dougducey: We are honored to be joined by some extraordinary gentlemen who were there 77 years ago — American heroes like Jack Holder,…",RossVandamme,2018-12-07 21:34:10,"Tucson, AZ"
"RT @dougducey: We gather at the anchor of the Battleship USS Arizona to remember each life lost 77 years ago today. But, we also remember t…",CCorieri,2018-12-07 21:32:34,"Phoenix, AZ"
"Shame AEA has you eating the rotten apple? Did it happen in your class? Classroom management issues? Why not take it up with your chain of command? Why do you refuse to use the system your district &amp; union put in place?
@dougducey @Meeeech_L https://t.co/vSNKb2RBJp",ReporterGreen,2018-12-07 21:26:28,United States
RT @reactionariez: @OBFSU @AzSkyWatcher @dougducey @MayorNicholls @cityofyuma @Yumalibrary @yumaciviccenter @YumaSheriff @yumacountyaz @Yum…,OBFSU,2018-12-07 21:18:45,"Houston, TX"
RT @OBFSU: @AzSkyWatcher @dougducey @MayorNicholls @cityofyuma @Yumalibrary @yumaciviccenter @YumaSheriff @yumacountyaz @YumaCountyGOP @Yum…,GulfDogs,2018-12-07 21:14:08,Texas
"@merissahamilton @dougducey @AZGOP The list of Leftist\Woke\Millenial pieces ""explaining"" the evil #Whiteness in my national #Constitution are legion ... add in Coloradoan 3-19-14 ""Constitution was created by White people to benefit White people"" ... so how does a #Lib justify quoting this Tragedy Against Humanity",DreadnoughtQCCA,2018-12-07 21:06:53,Prescott Valley Arizona USA
"RT @JimSmall: Add GPL to the list of those calling on Stringer to resign. It includes @dougducey, @AZGOP, @YavGop, @TheCourierNews, @FannKf…",lenniearizona,2018-12-07 21:05:28,United States
"@OBFSU @AzSkyWatcher @dougducey @MayorNicholls @cityofyuma @Yumalibrary @yumaciviccenter @YumaSheriff @yumacountyaz @YumaCountyGOP @YumaDems @YumaFirst @YumaCity @yumasun @HolgerAwakens @GulfDogs @smokie_tx @MamaMiaNOSharia hmmmm, skirting the law to do  experiments.
doing it on the rez is a new wrinkle though.",reactionariez,2018-12-07 21:05:16,beyond the edge of reason
"RT @dougducey: We are honored to be joined by some extraordinary gentlemen who were there 77 years ago — American heroes like Jack Holder, Ed Miklavcic and Maurice Stork. #Arizona is eternally grateful for your service and bravery. #PearlHarbor https://t.co/LEwtvGueTl",westgov,2018-12-07 21:05:04,Denver
"@merissahamilton @dougducey @AZGOP IF I'm mistaken and you're not a  #Liberal or #leftist (just trolling with that #AZCDL in your tags) then my advice is ""When you lay down with dogs expect to wake up with fleas"" - stop helping these #DemocRATs attack this country. #DemocRATsHateAmerica",DreadnoughtQCCA,2018-12-07 20:57:51,Prescott Valley Arizona USA
"RT @dougducey: We gather at the anchor of the Battleship USS Arizona to remember each life lost 77 years ago today. But, we also remember t…",my_blind_life,2018-12-07 20:53:31,
"While working in Ohio a couple of years ago, I met a man from my client.  When I saw his pix on LinkedIn, I was stunned. Governor @dougducey I didn't realize you had a twin brother of a different mother! https://t.co/3Q4itse5JQ",MichaelSchiller,2018-12-07 20:53:13,"Flyover Country, USA 🇺🇸"
