Text,Handle,Time Created,Location
"@JobsDortCom @ashly_banta @DSM_DSA @polkdems Joe it's ""@FredHubbell""",The__Casey,2018-12-07 01:42:00,"Des Moines, IA"
@kaufmannGOP @FredHubbell I guess you don’t accept apologies.,CSandbox,2018-12-06 06:16:21,
"RT @ia_dutchman: Spot @Josh_Mandelbaum, @FredHubbell and Frank Cownie. #ParistoPittsburgh",Josh_Mandelbaum,2018-12-05 01:53:50,"Des Moines, IA"
"Spot @Josh_Mandelbaum, @FredHubbell and Frank Cownie. #ParistoPittsburgh",ia_dutchman,2018-12-05 01:28:57,"Des Moines, IA"
"RT @KrauseForIowa: Which #Midwest state known for #Beer, #cheese &amp; #Harleys will also be known for its anti-democratic, coup d'tat? #Wiscon…",KrauseForIowa,2018-12-04 19:48:21,Iowa
"Which #Midwest state known for #Beer, #cheese &amp; #Harleys will also be known for its anti-democratic, coup d'tat? #Wisconsin, land of #JoeMcCarthy? What state wud #IaLegis have copied had @FredHubbell won the governorship? #Wisconsin, of course! #IaPolitics",KrauseForIowa,2018-12-04 19:30:35,Iowa
RT @LPIowa: @shanevanderhart @KimReynoldsIA @FredHubbell We will be discussing an alternate to the 2% to maintain with members of the legis…,ShelbyIALP,2018-12-03 20:20:14,"Harlan, IA"
It’s interesting that @FredHubbell owns 🏠🏠🏠🏠🏠🏘🏘🏘🏘🏘,BluRayKing1000,2018-12-02 10:50:28,Des Moines Iowa
RT @LPIowa: @shanevanderhart @KimReynoldsIA @FredHubbell We will be discussing an alternate to the 2% to maintain with members of the legis…,SSG_Davis_Ret,2018-12-01 15:47:27,Over The Road
@desmoinesdem @Abby4Iowa @FredHubbell What concerns me is her lack of Governing experience and her debt.,JoshuaJamesHerb,2018-12-01 05:13:44,"Maxwell, Iowa"
"RT @SpeakerUpmeyer: .@FredHubbell  calls me “the woman” in the House. My name is Linda but he can call me Madam Speaker

Like @KimReynoldsI…",JohnHoughton42,2018-11-30 22:09:41,"Modesto, CA"
@thatwasmejpm @Abby4Iowa @FredHubbell I'm sure she will be holding more events around the district than Blum did.,desmoinesdem,2018-11-30 16:54:01,"Windsor Heights, Iowa"
@desmoinesdem @Abby4Iowa @FredHubbell Proud to have voted for Abby.  I hope she would hold town halls since Blum had stopped doing that.,thatwasmejpm,2018-11-30 16:52:40,USA
"New post: Three keys to Abby Finkenauer's win in #IA01 
(includes maps &amp; tables w/ final county-level results for @Abby4Iowa and #iagov nominee @FredHubbell in this part of #Iowa) https://t.co/Lx3FsaR0wQ",desmoinesdem,2018-11-30 16:14:30,"Windsor Heights, Iowa"
"RT @desmoinesdem: Although Republicans lost 2 U.S. House seats in #Iowa, the massive GOP turnout allowed @KimReynoldsIA to beat @FredHubbel…",lltwing,2018-11-29 02:13:55,
"Although Republicans lost 2 U.S. House seats in #Iowa, the massive GOP turnout allowed @KimReynoldsIA to beat @FredHubbell in the governor's race. #iagov https://t.co/Rq1bUS0HbY https://t.co/m0mDRkkKuk",desmoinesdem,2018-11-29 01:11:00,"Windsor Heights, Iowa"
