Text,Handle,Time Created,Location
@azcapmedia @dougducey @dg4az Ducey sabotaged the personal cultivation clause in the Arizona Medical Marijuana Act. This inflated the price of illegal marijuana on the street and the crime and violence. The exact opposite of the Purpose of the Law and Will of the People. https://t.co/piwlAmGl6S,USHEMP,2018-11-29 15:40:45,Arizona Desert
@azcapmedia @dougducey @dg4az Republicans abused our citizens and used our TVs and Telephone to terrify old folks and turn off young voters. What the Ducey/McSally gang did to win in Arizona should be considered Domestic Terrorism. https://t.co/eIbjsPHXQc,USHEMP,2018-11-29 15:34:29,Arizona Desert
RT @azcapmedia: @dougducey tells donors to Republican Governors Association their $8M cash helped him tell his positive message for reelect…,leewah,2018-11-29 15:34:27,
"@dougducey tells donors to Republican Governors Association their $8M cash helped him tell his positive message for reelection. But the dollar RGA spent actually went to ads designed to scare voters of risks of electing @dg4az. 
https://t.co/vSX7dYbdfp",azcapmedia,2018-11-29 15:28:30,Arizona State Capitol
"RT @azcapmedia: @dougducey says the $8 M spent by Republican Governors Association provided ""firewall"" for him to tell voters what he's abo…",WayneSchutsky,2018-11-29 13:26:46,"Phoenix, AZ"
"RT @azcapmedia: @dougducey says the $8 M spent by Republican Governors Association provided ""firewall"" for him to tell voters what he's abo…",AZAugie,2018-11-29 04:52:38,
"@dg4az @mattgrodsky @realDonaldTrump @dougducey Lol
You couldn't get elected dog catcher",DiscoveringTru1,2018-11-29 04:49:00,"Alaska, USA"
"@dougducey says the $8 M spent by Republican Governors Association provided ""firewall"" for him to tell voters what he's about. But that $8 M went to ads designed to scare voters against supporting @dg4az. https://t.co/3tOuL0d6hg",azcapmedia,2018-11-29 04:39:01,Arizona State Capitol
"RT @Garrett_Archer: Interactive precinct detail map of the 2018 Gubernatorial contest between @dougducey and @dg4az. 

https://t.co/HDjPYEe…",elium2,2018-11-28 14:30:20,RI
"RT @TheRealRaNon: @HillaryClinton @dg4az As if @dg4az [David Garcia] didn't have enough campaign problems, now he gets the endorsement that…",ZnaTrainer,2018-11-28 03:29:12,https://facebook.com/healthiestantiaging
Can't afford one they spent it all on @dg4az https://t.co/jn6TTbnzst,ReporterGreen,2018-11-28 03:26:09,United States
