Text,Handle,Time Created,Location
"@gretchenwhitmer And we are so incredibly glad that it did!Make Michigan a great place to live again... roads fixed, children safe, healthy and well educated. Lakes clean.",miblueskies,2018-12-08 00:18:35,
"#NCA4annarbor take note, &amp; ask @gretchenwhitmer @SenStabenow @SenGaryPeters @ElissaSlotkin @RepDebDingell how Michigan can help #ActOnClimate https://t.co/dCBgLQoq21",frankszollosi,2018-12-08 00:12:44,
RT @briancalley: Congratulations! You have been entrusted with the leadership of the greatest state in this nation. To capture the sentimen…,EnormanScott,2018-12-08 00:05:57,
@FireGoddessB @MIHouseDems @gretchenwhitmer @AbdulElSayed @onetoughnerd Truth and Word,Raff19970,2018-12-07 23:49:16,USA
@gretchenwhitmer @briancalley If only he could convince @onetoughnerd to veto every bill passed by #milameduck. #saveourstate,SharonRB,2018-12-07 23:43:26,Michigan
It would be nice if he could convince @onetoughnerd to veto all the disgusting legislation being passed by his party in #milameduck. #walkthetalk https://t.co/5f3V1Zn85h,SharonRB,2018-12-07 23:40:10,Michigan
@gretchenwhitmer @briancalley Thank you both! You give us great hope! #PureMichiganProud,EighthOn9,2018-12-07 23:40:06,"Detroit, MI"
@dananessel @gretchenwhitmer https://t.co/jerP4pNUSO,Thirdcoastmoto2,2018-12-07 23:39:36,Southwestern Lower Michigan
"RT @AndrewZigmund: @AbdulElSayed What is @gretchenwhitmer plan to address this? 

Her platform, and transition team, in no way reflect that…",wolfeprowler1,2018-12-07 23:05:04,Florida
@gretchenwhitmer Congratulations! Thanks for fighting for us Yoopers too!,Suzie17136387,2018-12-07 23:02:31,
Congratulations are in Order Madam Governor!  May you Govern Well.  I am sure glad I support and voted for your team. https://t.co/gkREDdTVAb,MerovingianOne,2018-12-07 23:01:25,"Ann Arbor, MI"
"I will donate to this cause. Sign me, Heartsick in Michigan. @MIGOP @MISenate 

@gretchenwhitmer @dananessel @jocelynbenson We have your back. 

@onetoughnerd please consider your legacy. Do U want 2B remembered as governor who stood for democracy or the @ScottWalker of Michigan? https://t.co/fiRnUQHqbB",JanetMaxLive,2018-12-07 22:58:12,"Ann Arbor, MI"
"I will donate to this cause. Sign me, Heartsick in Michigan. @MIGOP @MISenate 

@gretchenwhitmer @dananessel @jocelynbenson We have your back. 

@onetoughnerd please consider your legacy. Do U want 2B remembered as governor who stood for democracy or the @ScottWalker of Michigan? https://t.co/G3l2BHYoRg",JanetEMax,2018-12-07 22:55:54,Ann Arbor
RT @gretchenwhitmer: So this came in the mail today... https://t.co/B5bHg1hAE0,landen_kni,2018-12-07 22:48:52,"Grand Rapids, MI"
"@BridgeMichigan @mcculloughmg @onetoughnerd @gretchenwhitmer That is despicable, short sighted, BS.",MichellePeetEdL,2018-12-07 22:46:44,"Ann Arbor, MI"
"RT @AndrewZigmund: @AbdulElSayed What is @gretchenwhitmer plan to address this? 

Her platform, and transition team, in no way reflect that…",merlinnerd922,2018-12-07 22:11:18,
@TheOnion @nickrmanes God I hope @gretchenwhitmer sees this 😂,geersn,2018-12-07 22:07:25,"Grand Rapids, MI"
"@gretchenwhitmer I'm proud of you, would be prouder if you'd dump the corporate donors. Then we'd really know you represent the people. Until then I'll keep my grains of salt handy.",MeEsATiM1,2018-12-07 21:47:52,
Well said @briancalley we’re rooting for her too @briancalley! 💪🏽👍🏽🎉 https://t.co/be4KFIGUnZ,sugarshack30,2018-12-07 21:46:56,"Flint, MI"
Frontlines of Freedom: @GretchenWhitmer's Media Allies Lower Expectations. https://t.co/9gJK5M5bX8 https://t.co/vz3U5fd1Yx,MichiganFreedom,2018-12-07 21:45:01,
"@AbdulElSayed What is @gretchenwhitmer plan to address this? 

Her platform, and transition team, in no way reflect that she has any plans for rent control or minimum income adjustments

As someone who endorsed/campaigned for her, could you describe her plan in detail?",AndrewZigmund,2018-12-07 21:42:21,"Ohio, USA"
"RT @BridgeMichigan: @MichSoS @LindsayVanHulle In the House, the GOP narrowly passed bills that would create a new #miched commission that s…",KassandraSeven,2018-12-07 21:30:15,"Detroit, MI"
RT @gretchenwhitmer: So this came in the mail today... https://t.co/B5bHg1hAE0,Storm_Rising,2018-12-07 21:23:16,"New York, NY"
RT @briancalley: Congratulations! You have been entrusted with the leadership of the greatest state in this nation. To capture the sentimen…,tbozarth65,2018-12-07 21:07:02,ann arbor mi
RT @crooksandliars: Michigan officials cheated on @EPA -mandated testing of lead in Flint's water. The #Flintwatercrisis is not over. Congr…,ElianaSisman,2018-12-07 20:56:11,
"@JoeDiSano @AndrewZigmund @OurProgressive @AbdulElSayed @gretchenwhitmer @Ronan4Progress @usaunify 😆😆😆😆😆 #CrybabyProgressive

""You are blocked from following @OurProgressive and viewing @OurProgressive's Tweets. Learn more""",PhilRevard,2018-12-07 20:53:23,Michigan
"RT @AndrewZigmund: @AbdulElSayed Than why did you endorsed a corporately funded goon like @gretchenwhitmer?

Will someone beholden to corpo…",AndrewZigmund,2018-12-07 20:52:30,"Ohio, USA"
"@JoeDiSano @AndrewZigmund @OurProgressive @AbdulElSayed @gretchenwhitmer @Ronan4Progress @usaunify This is the person you called an ""awesome progressive"" #Hypocrisy 

https://t.co/CmNmJGHUQd",PhilRevard,2018-12-07 20:51:14,Michigan
