Text,Handle,Time Created,Location
RT @JiranRick: Tree lighting ceremony and York County Day @Carowinds ... A great time was had by all... And @henrymcmaster and the first la…,visityorkcounty,2018-12-08 01:02:14,"York County, SC"
Tree lighting ceremony and York County Day @Carowinds ... A great time was had by all... And @henrymcmaster and the first lady here to flip the switch and light the Christmas tree! https://t.co/prHAmK65fZ,JiranRick,2018-12-08 00:04:45,"York, SC"
@henrymcmaster do something! https://t.co/d7vptlndBq,KatinaSensing,2018-12-07 23:51:36,
RT @fortjacksoncg: I had a great time the other night getting in to the holiday spirit at the Governor's Carolighting event. We enjoyed mus…,CSM_Gan,2018-12-07 23:20:32,"ATC and Fort Jackson, SC"
RT @tjbarton83: INBOX: @henrymcmaster announces Freddie Pough will continue as director of S.C. Dept. of Juvenile Justice. That's 2nd cabin…,BuzzAtTheState,2018-12-07 21:51:00,South Carolina
This is NOT okay. Someone please do something about this. Saw it play out in the local news. Disgusting and Disgraceful. @nikkihaley @realDonaldTrump @LindseyGrahamSC @wmbfnews @henrymcmaster I know it's NC and not SC but one of y'all please reach out to someone and do something! https://t.co/Gklmjx2U9u,JLettermanMB,2018-12-07 21:41:49,"Myrtle Beach, SC"
RT @tjbarton83: INBOX: @henrymcmaster announces Freddie Pough will continue as director of S.C. Dept. of Juvenile Justice. That's 2nd cabin…,AveryGWilks,2018-12-07 20:41:53,"Columbia, South Carolina"
INBOX: @henrymcmaster announces Freddie Pough will continue as director of S.C. Dept. of Juvenile Justice. That's 2nd cabinet member McMaster said will stick around. He announced yesterday Bobby Hitt will stay @SCcommerce.  #scpol #sctweets https://t.co/VZAEhVBPeq,tjbarton83,2018-12-07 20:40:04,"Columbia, SC"
RT @MomRovin: .@nikkihaley can you answer why this man wasn’t investigated/prosecuted? @henrymcmaster will you call for an investigation? h…,doxiedachsie,2018-12-07 20:08:54,Somewhere in NYC. 
@TheAtlantic @Morning_Joe @UriLF @nikkihaley @MarkSanford @henrymcmaster who dropped the ball in this case? https://t.co/gkfcC071yz,MomRovin,2018-12-07 19:34:25,
RT @MomRovin: .@nikkihaley can you answer why this man wasn’t investigated/prosecuted? @henrymcmaster will you call for an investigation? h…,Plantflowes,2018-12-07 19:33:06,
.@nikkihaley can you answer why this man wasn’t investigated/prosecuted? @henrymcmaster will you call for an investigation? https://t.co/BPl4MIfPs0,MomRovin,2018-12-07 19:32:10,
@henrymcmaster That's your boy https://t.co/ZuXTuNFAgg,WhittyPics,2018-12-07 18:30:27,"Clover, SC"
@henrymcmaster Great Job Governor #JobsReport,billygavigan,2018-12-07 18:09:13,"Beaufort, SC 29902"
"@ClayBryantSC @henrymcmaster @PamelaEvette Wow, that’s really neat, Clay!
You really worked hard pre-election with phone calls, putting out signs, and many other helpful things.  Congratulations!",AnneWillcox,2018-12-07 16:40:31,"Greenville, SC"
