Text,Handle,Time Created,Location
"RT @LBSieger: ""Maine is open for clean energy business...that is my promise to you.""

Awesome to hear Maine Gov-elect @JanetMillsforME is c…",billdornbos,2018-12-07 21:50:47,"Hartford, Connecticut"
"RT @UCSPaulina: “Climate change is not new, but the new administration will take it very seriously.” @JanetMillsforME @AcadiaCtr https://t.…",billdornbos,2018-12-07 21:50:36,"Hartford, Connecticut"
"RT @AcadiaCtr: Many thanks to @JanetMillsforME for today's keynote, and to all our speakers, presenters, and participants for their contrib…",billdornbos,2018-12-07 21:50:04,"Hartford, Connecticut"
"RT @AcadiaCtr: Many thanks to @JanetMillsforME for today's keynote, and to all our speakers, presenters, and participants for their contrib…",eniedowski,2018-12-07 21:41:38,"Lincoln, RI"
"Many thanks to @JanetMillsforME for today's keynote, and to all our speakers, presenters, and participants for their contributions! Acadia Center is excited to carry this work forward alongside so many dedicated individuals and organizations. #StrongerMaine https://t.co/63DzIt1V4G",AcadiaCtr,2018-12-07 21:40:42,United States
"RT @LBSieger: ""Maine is open for clean energy business...that is my promise to you.""

Awesome to hear Maine Gov-elect @JanetMillsforME is c…",AcadiaCtr,2018-12-07 21:15:22,United States
RT @mikeshepherdME: A packed Daily Brief: The problems with reports that Maine voters received wrong ballots and how lobbyists can give to…,KellyRek,2018-12-07 21:04:37,Arizona
"""Maine is open for clean energy business...that is my promise to you.""

Awesome to hear Maine Gov-elect @JanetMillsforME is committed to fair net metering participation and lifting the cap on #communitysolar project size and participants. #StrongerMaine @AcadiaCtr https://t.co/32oKiKIa0T",LBSieger,2018-12-07 21:01:12,"Boston, MA"
"RT @UCSPaulina: “Climate change is not new, but the new administration will take it very seriously.” @JanetMillsforME @AcadiaCtr https://t.…",AcadiaCtr,2018-12-07 20:57:59,United States
RT @DeSmogBlog: What a New Governor Means for Renewable Energy in Maine https://t.co/g023zkeZ6Y @JanetMillsforME #renewables,ColdWarrior2000,2018-12-07 20:55:33,"Evanston, IL"
RT @DeSmogBlog: What a New Governor Means for Renewable Energy in Maine https://t.co/g023zkeZ6Y @JanetMillsforME #renewables,lahautj,2018-12-07 20:51:09,planet Earth 
"Governor-Elect @JanetMillsforME says it’s time for wise, prudent and informed action on climate change #StrongerMaine https://t.co/g7Ls22Q0P3",Swoodsie,2018-12-07 20:51:05,DC
"“Climate change is not new, but the new administration will take it very seriously.” @JanetMillsforME @AcadiaCtr https://t.co/5Mj0EUyDgg",UCSPaulina,2018-12-07 20:48:46,"Cambridge, MA"
RT @DeSmogBlog: What a New Governor Means for Renewable Energy in Maine https://t.co/g023zkeZ6Y @JanetMillsforME #renewables,timethief,2018-12-07 20:32:05,"Salish Sea, British Columbia, Canada."
