Text,Handle,Time Created,Location
@BarackObama @JBPritzker You are in our school newspaper from Chicago GOTV Rally on Nov 2! Thank you @SeanCasten for enabling @TheNorthCurrent to feature this! Please check out our recently published issue! https://t.co/vfIRYhDCSX,Caramel_Jeromel,2018-12-07 23:44:53,Planet Earth
RT @JBPritzker: I loved speaking at the Illinois Business Immigration Coalition’s New American Dreams Forum today about uniting Illinois ar…,RebeccaShi1985,2018-12-07 23:34:10,
RT @Illinois_Hotels: .@TravelJacobson and several @Illinois_Hotels board members met with Gov. Elect @JBPritzker today to discuss how #hote…,TravelJacobson,2018-12-07 23:28:21,Chicago
.@TravelJacobson and several @Illinois_Hotels board members met with Gov. Elect @JBPritzker today to discuss how #hotels can continue to play a role in Illinois’ economic development and job creation. https://t.co/rCEnnbWz8z,Illinois_Hotels,2018-12-07 23:27:50,Illinois
Thank you Gov-elect @JBPritzker for  your support for sensible bipartisan solutions! We are ready to work https://t.co/AufsWeCdis,ILBizImmigrant,2018-12-07 23:27:36,Illinois 
"RT @USVisaLawyer: Great to be here w/ @ILBizImmigrant &amp; @JBPritzker 

John Rowe opens explaining the bipartisan nature of IBEC “this is a m…",ILBizImmigrant,2018-12-07 23:20:27,Illinois 
"RT @USVisaLawyer: The great @SenatorDurbin at the #NewAmericanDreamsForum

“We need to make this an issue that transcends political parties…",ILBizImmigrant,2018-12-07 23:20:25,Illinois 
RT @TheMartyCastro: As a member of @ILBizImmigrant’s Steering Committee I was honored to co-host the “New #American Dreams Forum” with #Gov…,ILBizImmigrant,2018-12-07 23:20:05,Illinois 
"RT @NaperChamber: Our CEO, @nanderson61 and Government Affairs Director, @ColinDalough    attended @ILBizImmigrant #NewAmericanDreamsForum…",ILBizImmigrant,2018-12-07 23:19:35,Illinois 
RT @Healthy_ILL: Thank you @ILBizImmigrant for putting together such an amazing forum and Governor-elect @JBPritzker &amp; all of the legislato…,ILBizImmigrant,2018-12-07 23:19:27,Illinois 
@ckjbg @illnewsnetwork @JBPritzker @ILSenDems @HouseDemsIL @ILComptroller @DickDurbin @robertmartwick BINGO. Illinoisans are you paying attention? Watch ur Xmas spending. You’ll need some of that to hand over to the dems in 2019.,Stupette1974,2018-12-07 23:19:10,usa 
"RT @OPRIMA1: @ILBizImmigrant forum this morning, @JBPritzker spoke of his great grandfather, fleeing persecution in Ukraine, arriving penni…",ILBizImmigrant,2018-12-07 23:18:40,Illinois 
"I hope the size of @JBPritzker’s education transition committee is indicative to the amount of attention #K12 and #HigherEd receive come budget time. #IL 
https://t.co/cgdcbFKL0Q",dmaher95,2018-12-07 23:05:04,"Bloomington, IL"
@JBPritzker how is this fair? Ehat can you do to change this? https://t.co/zSHqXFpoFW,gdel07,2018-12-07 22:57:03,"Chicago, IL"
@realDonaldTrump @Mayajeandonegan @ChicagosMayor @realDonaldTrump @JBPritzker George Bush Sr John F Kennedy and Abraham Lincoln left in a freight train.,AnnaWisniowski8,2018-12-07 22:52:21,
RT @Intelligencia76: @allenskillicorn I think the game plan is to let it crash right after @JBPritzker is voted out in fours years. This wa…,lionessofsocial,2018-12-07 22:46:02,United States
"@HouseDemsIL Yes, Happy Birthday Illinois. And to celebrate, with the help of @JBPritzker you are going to take even more of our hard earned money, promise to pay debts with it, and then turn around and find new ways to spend it, then raise taxes again the year after that.

Illinois is dead.",ckjbg,2018-12-07 22:43:54,
"Hey @JBPritzker ! Did you know the 1st charter school strike ever is happening here in Chicago? We need a favor. Can you get Richard Rodriguez, CEO of @ACEROSCHOOLS to the bargaining table? He hasn't showed up once. #ctuactsstrike #faircontractnow https://t.co/MfKi23GBIq",gdel07,2018-12-07 22:42:14,"Chicago, IL"
"Thank you @JBPritzker and @SenatorDurbin for stepping up, identifying the impact immigration has on our economy and standing up for those undocumented immigrants who work their butts off every day contributing positively to our economy and society
#immigrantsmatter",BryneValenzuela,2018-12-07 22:35:37,
"RT @ILBizImmigrant: Miramar Group CEO Juan Ochoa: “My mom instilled in me the values of hard work, discipline, valor, and love for one anot…",LorieMeacham,2018-12-07 22:22:05,Arizona U.S.
"@illnewsnetwork Well unfortunately, Rauner won't have anything to do with it, and come next year, Pritzker will give Madigan a blank check.

Get ready to bend over Illinois taxpayers!! #Twill 
@JBPritzker @ilsendems @housedemsil @ILComptroller 
@DickDurbin @robertmartwick",ckjbg,2018-12-07 22:18:02,
RT @TheMartyCastro: As a member of @ILBizImmigrant’s Steering Committee I was honored to co-host the “New #American Dreams Forum” with #Gov…,LaRieSuttle216,2018-12-07 22:13:03,"Illinois, USA"
RT @JBPritzker: I loved speaking at the Illinois Business Immigration Coalition’s New American Dreams Forum today about uniting Illinois ar…,DSuarez70,2018-12-07 22:12:05,
RT @JBPritzker: I loved speaking at the Illinois Business Immigration Coalition’s New American Dreams Forum today about uniting Illinois ar…,YoungDemsOfIL,2018-12-07 22:07:32,"Illinois, USA"
RT @Intelligencia76: @allenskillicorn I think the game plan is to let it crash right after @JBPritzker is voted out in fours years. This wa…,Dondorey1,2018-12-07 21:58:54,"San Antonio, Texas"
RT @Intelligencia76: @allenskillicorn I think the game plan is to let it crash right after @JBPritzker is voted out in fours years. This wa…,RogerCaynor,2018-12-07 21:56:22,"Florida, USA"
RT @Intelligencia76: @allenskillicorn I think the game plan is to let it crash right after @JBPritzker is voted out in fours years. This wa…,PaulaWh87821762,2018-12-07 21:47:21,Illinois USA 
RT @Intelligencia76: @allenskillicorn I think the game plan is to let it crash right after @JBPritzker is voted out in fours years. This wa…,wsnoey,2018-12-07 21:44:59,"Seattle, Washington"
RT @Intelligencia76: @allenskillicorn I think the game plan is to let it crash right after @JBPritzker is voted out in fours years. This wa…,Kimbraov1,2018-12-07 21:43:59,"Florida, USA"
RT @Intelligencia76: @allenskillicorn I think the game plan is to let it crash right after @JBPritzker is voted out in fours years. This wa…,ManzanaresBye,2018-12-07 21:38:53,United States
"Dreamers. #ilgov 
#twill https://t.co/INZfeIz7lM",WillySkyKing,2018-12-07 21:37:58,
RT @Intelligencia76: @allenskillicorn I think the game plan is to let it crash right after @JBPritzker is voted out in fours years. This wa…,BEEKS_511,2018-12-07 21:29:50,SUFFOLK COUNTY N.Y.
RT @ilenviro: .@jencwalling on Powering Illinois’ Future Committee : “we’re excited to work on this committee to make investing in clean wa…,NLVZ1314,2018-12-07 21:27:19,
RT @Intelligencia76: @SWB138 @allenskillicorn @JBPritzker Yeah Scott but think about all of the people who worked for the state for decades…,MissILmom,2018-12-07 21:21:17,
@VICE @JBPritzker what’s the hold up my friend?,BlackUnityyy,2018-12-07 21:09:23,"Chicago, IL"
"@ILBizImmigrant forum this morning, @JBPritzker spoke of his great grandfather, fleeing persecution in Ukraine, arriving penniless and sleeping in Chicago's train station basement.  Nicholas Pritzker would later write a book about his experience... https://t.co/R4lGpnMPfz",OPRIMA1,2018-12-07 21:07:47,"Chicago, IL"
RT @Intelligencia76: @allenskillicorn I think the game plan is to let it crash right after @JBPritzker is voted out in fours years. This wa…,Lee0456lee,2018-12-07 21:05:21,Woodland ca
RT @Intelligencia76: @allenskillicorn I think the game plan is to let it crash right after @JBPritzker is voted out in fours years. This wa…,baalter,2018-12-07 20:59:06,USA
"Thank you @ILBizImmigrant for putting together such an amazing forum and Governor-elect @JBPritzker &amp; all of the legislators, business &amp; community leaders who participated. #ImmigrationReform is essential to our growth as a welcoming community, state &amp; nation! #ProtectFamilies https://t.co/cdqLNslK0f",Healthy_ILL,2018-12-07 20:57:54,"Chicago, IL"
RT @Intelligencia76: @allenskillicorn I think the game plan is to let it crash right after @JBPritzker is voted out in fours years. This wa…,brothergoldtoe,2018-12-07 20:51:32,"United States, Cedar Chest "
RT @Intelligencia76: @allenskillicorn I think the game plan is to let it crash right after @JBPritzker is voted out in fours years. This wa…,karli_bonne,2018-12-07 20:49:19,"New York, NY"
"RT @NaperChamber: Our CEO, @nanderson61 and Government Affairs Director, @ColinDalough    attended @ILBizImmigrant #NewAmericanDreamsForum…",ILChamberAction,2018-12-07 20:48:00,Illinois
