Text,Handle,Time Created,Location
"@ToddXena @billygunn76 @CocoThePatriot @RealBasedMAGA @realDonaldTrump @grizzlemeister @KatTheHammer1 @Maggieb1B @sxdoc @RNRKentucky @My2CentsGritXO @KNP2BP @YellowRose1776 @BlackWidow1928 @KrisKobach1787 @POTUS @IngrahamAngle @FBI @CIA I agree, even a newly elected politician gets a taste for power, money and the lobbyist own them forever. We need term limits and it should be on our ballot for us to decide, not the politicians. Two terms and your out. They will never vote themselves out of a job.",rwhite5789,2018-12-08 00:05:22,Hometown of VP Pence 
"@rwhite5789 @billygunn76 @CocoThePatriot @RealBasedMAGA @realDonaldTrump @grizzlemeister @KatTheHammer1 @Maggieb1B @sxdoc @RNRKentucky @My2CentsGritXO @KNP2BP @YellowRose1776 @BlackWidow1928 @KrisKobach1787 @POTUS @IngrahamAngle @VP Interesting fact: in 1983 90% of the media was owned by 50 companies, by 2011 90% was owned by 6 corps, by today even less as GE no longer in media. So the media is controlled by large global companies w/ a propaganda agenda-not reporting the news or facts. https://t.co/XdHtaWRuhl",ToddXena,2018-12-07 23:56:36,
"@rwhite5789 @billygunn76 @CocoThePatriot @RealBasedMAGA @realDonaldTrump @grizzlemeister @KatTheHammer1 @Maggieb1B @sxdoc @RNRKentucky @My2CentsGritXO @KNP2BP @YellowRose1776 @BlackWidow1928 @KrisKobach1787 @POTUS @IngrahamAngle @FBI @CIA It's disgusting what ""swamp"" &amp; Obama Admin has done to destroy integrity of intel/law enforc. communities in many cities. As w/ you I can't trust FBI/CIA and I don't trust career politicians in either party-once in DC-they all are corrupt-not working for us",ToddXena,2018-12-07 23:53:50,
"@ToddXena @billygunn76 @CocoThePatriot @RealBasedMAGA @realDonaldTrump @grizzlemeister @KatTheHammer1 @Maggieb1B @sxdoc @RNRKentucky @My2CentsGritXO @KNP2BP @YellowRose1776 @BlackWidow1928 @KrisKobach1787 @POTUS @IngrahamAngle The paper isexto be a Conservative newspaper, but was bought out. Funny thing is I live and also from the hometown of our @VP",rwhite5789,2018-12-07 23:37:22,Hometown of VP Pence 
"@ToddXena @billygunn76 @CocoThePatriot @RealBasedMAGA @realDonaldTrump @grizzlemeister @KatTheHammer1 @Maggieb1B @sxdoc @RNRKentucky @My2CentsGritXO @KNP2BP @YellowRose1776 @BlackWidow1928 @KrisKobach1787 @POTUS @IngrahamAngle Our Sheriff wouldn’t sit down with me nor could he tell me how many times he had ICE to intervention. His reply to me via email was good question. Needless to say, I slammed him in the paper by writing a letter to the editor. The paper edited my letter &amp; didn’t print everything",rwhite5789,2018-12-07 23:36:07,Hometown of VP Pence 
"@ToddXena @billygunn76 @CocoThePatriot @RealBasedMAGA @realDonaldTrump @grizzlemeister @KatTheHammer1 @Maggieb1B @sxdoc @RNRKentucky @My2CentsGritXO @KNP2BP @YellowRose1776 @BlackWidow1928 @KrisKobach1787 @POTUS @IngrahamAngle You and I both. I now don’t trust anyone in the @fbi or @CIA. Our local Sheriff here is a Conservative and I couldn’t support him for he tests illegals better than the locals. He is on the SuCasa Board here which supports illegals, which I told him it was a conflict of interest.",rwhite5789,2018-12-07 23:33:28,Hometown of VP Pence 
@ToddXena @billygunn76 @CocoThePatriot @RealBasedMAGA @realDonaldTrump @grizzlemeister @KatTheHammer1 @Maggieb1B @sxdoc @RNRKentucky @My2CentsGritXO @KNP2BP @YellowRose1776 @BlackWidow1928 @KrisKobach1787 @POTUS @IngrahamAngle Thanks,rwhite5789,2018-12-07 23:29:47,Hometown of VP Pence 
@KrisKobach1787... here's your voter fraud... 😕  https://t.co/ZrNy0CgoRt,DavidBeazley4,2018-12-07 23:22:47,"Melbourne, Victoria"
@KrisKobach1787 So glad you have been voted out!!!,KYEducator2018,2018-12-07 23:17:01,KY
"@KrisKobach1787 It was organized election fraud from the GOP, not voter fraud.",tallbaby21,2018-12-07 23:10:30,Low Rises
@KrisKobach1787 where’s #teamkobach on the NC D9 voter fraud? This is exactly the kind of fraud that he was trying to expose!,ben_campbell_99,2018-12-07 22:55:44,
