Text,Handle,Time Created,Location
“I saw Santa! I saw Santa!” Eli met #SantaClaus &amp; we celebrated the Holidays with great neighbors &amp; friends in the vibrant Village of Red Hook! @redhookvillage https://t.co/Q4Zzxgc58N,marcmolinaro,2018-12-08 01:01:27,"Red Hook, NY"
@marcmolinaro Any rhyme or reason as to why not all bridges and tunnels under toll by mail ? Thanks for any help,DeniseBermudez2,2018-12-07 23:46:26,"Long Island, NY "
Protecting the rights &amp; freedoms of every individual begins in the ‘small places’ of our lives. I was proud to join @FDRLibrary and celebrate the shared dignity of every individual. https://t.co/L2AQLkLuev,marcmolinaro,2018-12-07 23:29:34,"Red Hook, NY"
@marcmolinaro I sure wish you were governor because the rest of NYS can use the tax relief as well.,PeterBarillaro,2018-12-07 20:15:29,Owego NY
RT @marcmolinaro: A date which will live in infamy... we shall #NeverForget #PearlHarbor #PearlHarborDay #RememberPearlHarbor #remember htt…,MarciaW02564145,2018-12-07 19:58:26,
@marcmolinaro the Greatest Generation - I will forever be in their debt -,shamrocksangel,2018-12-07 19:51:38,New York
RT @marcmolinaro: A date which will live in infamy... we shall #NeverForget #PearlHarbor #PearlHarborDay #RememberPearlHarbor #remember htt…,shamrocksangel,2018-12-07 19:38:19,New York
@marcmolinaro Ha come to Long Island we just got reassessed by our wonderful new county executive. Property taxes rising by the thousands.,SpillaneCammi,2018-12-07 19:27:16,
RT @marcmolinaro: A date which will live in infamy... we shall #NeverForget #PearlHarbor #PearlHarborDay #RememberPearlHarbor #remember htt…,lagonegrok,2018-12-07 19:14:45,
"@marcmolinaro @SerenityCH3 #PearlHarborDay 
Greatest generation defended evil and freed the world from tyranny.
Not an offended snowflake in sight.
#Patriots 
#GodBlessAmerica",AHappyPatriot,2018-12-07 19:02:19,"Florida, USA"
RT @marcmolinaro: A date which will live in infamy... we shall #NeverForget #PearlHarbor #PearlHarborDay #RememberPearlHarbor #remember htt…,RockheadRichard,2018-12-07 19:02:08,The Hudson Highlands
RT @marcmolinaro: A date which will live in infamy... we shall #NeverForget #PearlHarbor #PearlHarborDay #RememberPearlHarbor #remember htt…,jalopeo,2018-12-07 18:58:20,I'm over here now
RT @marcmolinaro: A date which will live in infamy... we shall #NeverForget #PearlHarbor #PearlHarborDay #RememberPearlHarbor #remember htt…,jlanderson1977,2018-12-07 18:43:33,"Midland, TX"
