Text,Handle,Time Created,Location
"RT @DRottiemom: @PeteStauber .@POTUS
@tomemmer @doug_wardlow
@TuckerCarlson
@MNJeffJohnson 
@TomFitton
WE NEED TO
💥FIND THE SOROS 💰💰💰
💥CONN…",Carolynyadayada,2018-12-07 21:18:17,
RT @pw4g: @DRottiemom @katrina_wiser @PeteStauber @POTUS @tomemmer @doug_wardlow @TuckerCarlson @MNJeffJohnson @TomFitton @AlphaNewsMN Look…,Thor4306,2018-12-07 20:50:06,"New York, USA"
RT @zanadu99laura: @DRottiemom @PeteStauber @POTUS @tomemmer @doug_wardlow @TuckerCarlson @MNJeffJohnson @TomFitton @AlphaNewsMN Ask q and…,Thor4306,2018-12-07 20:50:02,"New York, USA"
RT @donahoe_debra: @DRottiemom @DariusVolket @PeteStauber @POTUS @tomemmer @doug_wardlow @TuckerCarlson @MNJeffJohnson @TomFitton @AlphaNew…,Thor4306,2018-12-07 20:49:59,"New York, USA"
RT @KatGkannon: @DRottiemom @cs00582scs @PeteStauber @POTUS @tomemmer @doug_wardlow @TuckerCarlson @MNJeffJohnson @TomFitton @AlphaNewsMN R…,Thor4306,2018-12-07 20:49:53,"New York, USA"
RT @CindyEr14043668: @DRottiemom @DariusVolket @PeteStauber @POTUS @tomemmer @doug_wardlow @TuckerCarlson @MNJeffJohnson @TomFitton @AlphaN…,Thor4306,2018-12-07 20:49:52,"New York, USA"
RT @RobertJ98986257: @DRottiemom @darhar981 @PeteStauber @POTUS @tomemmer @doug_wardlow @TuckerCarlson @MNJeffJohnson @TomFitton @AlphaNews…,Thor4306,2018-12-07 20:49:47,"New York, USA"
"RT @DRottiemom: @PeteStauber .@POTUS
@tomemmer @doug_wardlow
@TuckerCarlson
@MNJeffJohnson 
@TomFitton
WE NEED TO
💥FIND THE SOROS 💰💰💰
💥CONN…",Thor4306,2018-12-07 20:49:02,"New York, USA"
@DRottiemom @darhar981 @PeteStauber @POTUS @tomemmer @doug_wardlow @TuckerCarlson @MNJeffJohnson @TomFitton @AlphaNewsMN Like all the other investigations into the corruption of the communist party called @DNC it will be squashed!,RobertJ98986257,2018-12-07 20:00:42,American Born & Raised
"RT @DRottiemom: @PeteStauber .@POTUS
@tomemmer @doug_wardlow
@TuckerCarlson
@MNJeffJohnson 
@TomFitton
WE NEED TO
💥FIND THE SOROS 💰💰💰
💥CONN…",darhar981,2018-12-07 19:58:19,USA
