Text,Handle,Time Created,Location
@Pearce4NM How? Who owns it? How much is the state going to make? Are legal New Mexicans going to get jobs? Will there be fracking? Please tell us?,tgone4,2018-12-08 00:01:03,"New Mexico, USA"
-While naysayer's cling to their green energy doctrine. https://t.co/z1fnARzBPN,SteveConiglio,2018-12-07 20:27:19,Land of Enchantment
@Pearce4NM We continue to define opportunity differently sir.,keith_k2,2018-12-07 18:19:44,
This continues to be an incredible opportunity for New Mexico! https://t.co/2YLTWzrLjS,Pearce4NM,2018-12-07 17:33:26,"Hobbs, NM"
RT @citigirl555: @ABQPOLICE @Pearce4NM @RepStevePearce @nmgop @SandovalNMGOP @nmgopman @nmgopmoneymaker @CibolaNMGOP @BreitbartNews @mitche…,lindathomas102,2018-12-07 16:26:30,Louisiana
@ABQPOLICE @Pearce4NM @RepStevePearce @nmgop @SandovalNMGOP @nmgopman @nmgopmoneymaker @CibolaNMGOP @BreitbartNews @mitchellvii @FoxBusiness https://t.co/LuQK2ajOGt,citigirl555,2018-12-07 16:26:03,Land of Enchantment 🇺🇸 505
@Pearce4NM What are we in New Mexico to do when the new Governor and legislature pass strict Gun Control?  Even though its against the US constitution and the state constitution they’ll do it anyway.  Could lead to a revolt!!  Your thoughts??,gary_killough,2018-12-07 16:20:51,
"@DORIANNEBLOOM @Pearce4NM Ohio Communities Are Becoming a Dumping Ground for the Fracking Industry
Earthquakes, spills, and groundwater contamination—wastewater wells come with many risks and few rewards for Trumbull County residents.

 https://t.co/Hfy6Un80TR",cgatchellus4,2018-12-06 03:34:15,
"@Pearce4NM Ohio Communities Are Becoming a Dumping Ground for the Fracking Industry.  
Earthquakes, spills, and groundwater contamination—wastewater wells come with many risks and few rewards for Trumbull County residents.

 https://t.co/Hfy6Un80TR",cgatchellus4,2018-12-06 03:33:40,
@cgatchellus4 @Pearce4NM This is egregiously incorrect.,DORIANNEBLOOM,2018-12-06 01:49:48,
"@Pearce4NM Southern New Mexico is slowly turning into a environmental disaster because of People Like Pearce &amp; Harrell. Their agenda is for Oil &amp; Gas, not Healthcare, Woman's Rights, Human Rights.",cgatchellus4,2018-12-06 01:20:14,
@DORIANNEBLOOM @Pearce4NM Like I said Bush was a real President.  Steve@Pearce4NM  doesn't deserve respect because he doesn't respect New Mexicans.,cgatchellus4,2018-12-06 01:14:47,
"@cgatchellus4 @Pearce4NM This was unnecessary. 
Mr. Pearce- equal in service to his country- was simply honoring a good man. 
Along with everything else, President Bush demonstrated genuine and gentlemanly decorum.  
Learn that.",DORIANNEBLOOM,2018-12-05 20:52:52,
RT @NMPolJournal: WHO WILL BE CHAIR of the @NewMexicoGOP? @Pearce4NM Sends Odd Letter to Republican Central Committee: Strange for What it…,NMPolJournal,2018-12-05 13:52:32,Santa Fe
WHO WILL BE CHAIR of the @NewMexicoGOP? @Pearce4NM Sends Odd Letter to Republican Central Committee: Strange for What it Says and What it Does NOT Say. Questions Central Committee Members Should Pose. Some Republicans express moral concerns. https://t.co/rSYK6szNJD #nmpol #nmleg,NMPolJournal,2018-12-04 23:53:07,Santa Fe
RT @tdohrmann: @Pearce4NM I believe we’re going to see immediate upticks in support form local and national government in the U.S.  @_joeba…,_joebaffoe,2018-12-03 15:28:02,"Illinois, USA"
See what I mean #LasCruces #NewMexico ??? We’re not the only ones who know this. #DreamBig #DreamNM @Pearce4NM @BryanChasko https://t.co/JRBEK5cnpe,tdohrmann,2018-12-03 15:27:31,USA 
@Pearce4NM I believe we’re going to see immediate upticks in support form local and national government in the U.S.  @_joebaffoe @BryanChasko https://t.co/iQ23DrMeuN,tdohrmann,2018-12-03 09:05:28,USA 
@TheRickWilson in New Mexico Steve @Pearce4NM  Pearce got drubbed running for Gov.  so make him the head of the state party.   yup.,Not_Fade__Away,2018-12-03 01:12:09,Mountain Park  NM
@Pearce4NM He was a real President unlike the President you support. Lefty would not be proud of you. And maybe he would if you forced Yvette to concede.,cgatchellus4,2018-12-01 15:43:43,
@Pearce4NM that is true.  now get Yvette to have some class and concede.,Not_Fade__Away,2018-12-01 05:54:30,Mountain Park  NM
Condolences to the Bush family upon the passing of President George H. W. Bush. He was a man of integrity who served our great country with honor. He will be missed. #nmpol,Pearce4NM,2018-12-01 05:37:33,"Hobbs, NM"
