Text,Handle,Time Created,Location
@jackbgoode1 @realScottWagner @aknancy077 @kb_maga @ScrewedHumans @1st5d @4AmericanKat @Dvscott81Scott @ls7jones @TRAred2011 @brittcams @cindylogden @kimfike12 @MMchiara @JLindo222 @America_Again_ @ravena68 @Walter_lars @DebM1963 Two Caregivers RNs @shareesewillia1 &amp; @MisssBee,czarofwonder,2018-12-07 12:51:57,GOD'S WORLD! NOT DATING SITE!
"RT @jackbgoode1: 2Eng-car266
@realScottWagner  &lt; -- Vote GOV PA
@aknancy077
@kb_maga 
@ScrewedHumans
@1st5d
@jackbgoode1
@4AmericanKat 
@Dv…",czarofwonder,2018-12-07 12:51:07,GOD'S WORLD! NOT DATING SITE!
"RT @jackbgoode1: 2Eng-car266
@realScottWagner  &lt; -- Vote GOV PA
@aknancy077
@kb_maga 
@ScrewedHumans
@1st5d
@jackbgoode1
@4AmericanKat 
@Dv…",DebM1963,2018-12-07 09:44:16,Northern California
"RT @LizScolforoYD: Former Sen. Scott Wagner told me he has empathy for caregivers, who do a tough job and work long hours: 
https://t.co/mz…",rebeccaklar_,2018-12-06 16:40:23,"York, PA"
"RT @LizScolforoYD: Former Sen. Scott Wagner told me he has empathy for caregivers, who do a tough job and work long hours: 
https://t.co/mz…",YCoCoroner,2018-12-06 14:39:36,"York, Pennsylvania"
"RT @LizScolforoYD: Former Sen. Scott Wagner told me he has empathy for caregivers, who do a tough job and work long hours: 
https://t.co/mz…",YorkDispatch,2018-12-06 00:06:44,"York, Pa."
"Former Sen. Scott Wagner told me he has empathy for caregivers, who do a tough job and work long hours: 
https://t.co/mz0uavoHfS @EndElderAbuse @PAAttorneyGen @PaCrimeWatch @realScottWagner @YCoCoroner @yorkcounty_da @PASenateGOP @houseofbuddy",LizScolforoYD,2018-12-05 21:41:58,"York, PA"
@RepGrove Oh look. Failed @realScottWagner ideas. Sit down kid. The adults have work to do. You didn’t write anything.,PersistentPrick,2018-12-05 19:12:24,
"RT @RandyLoBasso: Hey @realScottWagner, the election was nearly a month ago. Please come clean up your trash. 🗑 https://t.co/1YYGTiihNp",chalkerjas,2018-12-04 18:24:54,NJ/Philly
"RT @RandyLoBasso: Hey @realScottWagner, the election was nearly a month ago. Please come clean up your trash. 🗑 https://t.co/1YYGTiihNp",MaxPrimeMusic,2018-12-04 17:13:46,"Philadelphia, PA"
"I don't think anyone is reading @realScottWagner's tweets, but you would think he'd be all about cleaning this up, given his background in waste management. https://t.co/3OjT8wURhf",RandyLoBasso,2018-12-04 14:24:47,"Philadelphia, Pa"
"Hey @realScottWagner, the election was nearly a month ago. Please come clean up your trash. 🗑 https://t.co/1YYGTiihNp",RandyLoBasso,2018-12-04 14:16:13,"Philadelphia, Pa"
@ByJohnLMicek @realScottWagner @JohnFetterman Who is the third guy?,herrlk,2018-12-03 17:03:06,Pennsylvania
RT @ByJohnLMicek: So this just happened @realScottWagner and @JohnFetterman meet in NYC https://t.co/DV4UEhjjnN,dschwagr,2018-12-03 15:57:20,"Wilkes-Barre, PA USA"
RT @ByJohnLMicek: So this just happened @realScottWagner and @JohnFetterman meet in NYC https://t.co/DV4UEhjjnN,candynotcandace,2018-12-03 15:00:30,"Harrisburg, PA"
RT @bizwomen4TRUMP: @JohnMcGeever70 @TWGroupsWarrior @leahbirdjohnso2 @fail2communic8 @Mamma_Kel @Smhulk1 @kb_maga @EverydayMAGA @RogerCayn…,Carry_a_40,2018-12-03 05:07:17,
RT @bizwomen4TRUMP: @JohnMcGeever70 @TWGroupsWarrior @leahbirdjohnso2 @fail2communic8 @Mamma_Kel @Smhulk1 @kb_maga @EverydayMAGA @RogerCayn…,BILLHALES88,2018-12-03 04:33:36,"California, USA Where the $ is"
RT @JohnMcGeever70: @bizwomen4TRUMP @TWGroupsWarrior @leahbirdjohnso2 @fail2communic8 @Mamma_Kel @Smhulk1 @kb_maga @EverydayMAGA @RogerCayn…,Dmacleod59,2018-12-03 02:52:17,"Erie, Pa"
25 Annual Asian Indian American of Central PA tonight. @HACCSki @HarrisburgU @wgregrothman @RepScottPerry @realScottWagner @SenatorReganPA https://t.co/z9gNoOhpO3,SenatorDiSanto,2018-12-03 02:23:18,
@ByJohnLMicek @realScottWagner @JohnFetterman Catchers mask not needed.,derekJmousseau,2018-12-03 02:14:19,"Aspinwall, PA"
RT @JohnMcGeever70: @bizwomen4TRUMP @TWGroupsWarrior @leahbirdjohnso2 @fail2communic8 @Mamma_Kel @Smhulk1 @kb_maga @EverydayMAGA @RogerCayn…,lisawhynaught,2018-12-03 01:40:30,"Southern, Calif."
RT @JohnMcGeever70: @bizwomen4TRUMP @TWGroupsWarrior @leahbirdjohnso2 @fail2communic8 @Mamma_Kel @Smhulk1 @kb_maga @EverydayMAGA @RogerCayn…,BILLHALES88,2018-12-03 01:09:38,"California, USA Where the $ is"
RT @JohnMcGeever70: @bizwomen4TRUMP @TWGroupsWarrior @leahbirdjohnso2 @fail2communic8 @Mamma_Kel @Smhulk1 @kb_maga @EverydayMAGA @RogerCayn…,KeepCalmSwimOn,2018-12-03 00:56:54,"Bogotá, D.C., Colombia"
"@BillieJeanDavy @ByJohnLMicek @realScottWagner @JohnFetterman When I first heard the term ""Harrisburg girlfriend"" to refer to the affair one state rep I knew of was having I can't tell you how depressing it sounded. Not that that's related to this photo! Just what you are describing at PA Society. Meh. Also why isn't it in PA?!",exfkaty,2018-12-02 19:54:33,"Philadelphia, PA"
@margojtjt @Natashasjam @alley167 @Sabre3611 @Surfingcity @WeTheBase @kb_maga @misstifyd1 @NER1515 @NiteMare817 @Auntdiggie12 @jackbgoode1 @realScottWagner @aknancy077 @crimsonfaith88 @ScrewedHumans @1st5d @LakesideRules @IcyQueenBee @dwofford63 @ea_fuzz @ljbrilljr @KarenRo053061 @NikkiSchwab @ronaldauman @sandy___21 @luvnewinfo @wan2bherd @sohos1963 @RepMattGaetz @LouDobbs @benshapiro @Twitter @realDonaldTrump @FoxNews @POTUS @repgregwalden @Jim_Jordan @DevinNunes @RepMarkMeadows @GOPLeader Like I wish it were'nt True. ~😮😬😥,guqigirl,2018-12-02 17:25:04,Backyard
RT @margojtjt: @guqigirl @Natashasjam @alley167 @Sabre3611 @Surfingcity @WeTheBase @kb_maga @misstifyd1 @NER1515 @NiteMare817 @Auntdiggie12…,guqigirl,2018-12-02 17:24:21,Backyard
@exfkaty @ByJohnLMicek @realScottWagner @JohnFetterman Because then they can't get their debauchery on at home.,BillieJeanDavy,2018-12-02 17:02:13,"Pennsylvania, USA"
@BillieJeanDavy @ByJohnLMicek @realScottWagner @JohnFetterman Gross. Also why not just spend the money in PA?,exfkaty,2018-12-02 16:38:01,"Philadelphia, PA"
@ByJohnLMicek @realScottWagner @JohnFetterman wagner the weasel and fetterman the real man,Richard00996887,2018-12-02 14:44:37,
"RT @exfkaty: @ByJohnLMicek @realScottWagner @JohnFetterman This photo kind of sums up why I hate the PA Society circus, honestly. And why h…",BillieJeanDavy,2018-12-02 14:33:54,"Pennsylvania, USA"
"@exfkaty @ByJohnLMicek @realScottWagner @JohnFetterman I'm with you. Been at the event, it was more disgusting than you can imagine. The booze, the cheating men and women, the shady deals and corporate suck ups. Every bad cliche was present.",BillieJeanDavy,2018-12-02 14:33:46,"Pennsylvania, USA"
@ByJohnLMicek @realScottWagner @JohnFetterman This epitomizes the grossness of the PA Society bullshit. Disgusting.,BillieJeanDavy,2018-12-02 14:32:30,"Pennsylvania, USA"
@ByJohnLMicek @Heisler_Eric @realScottWagner @JohnFetterman That doesn’t look uncomfortable at all 😳,AbradaMangs,2018-12-02 13:54:55,570
RT @ByJohnLMicek: So this just happened @realScottWagner and @JohnFetterman meet in NYC https://t.co/DV4UEhjjnN,Heisler_Eric,2018-12-02 13:23:25,
RT @ByJohnLMicek: So this just happened @realScottWagner and @JohnFetterman meet in NYC https://t.co/DV4UEhjjnN,JanMurphy,2018-12-02 11:59:16,
@guqigirl @Natashasjam @alley167 @Sabre3611 @Surfingcity @WeTheBase @kb_maga @misstifyd1 @NER1515 @NiteMare817 @Auntdiggie12 @jackbgoode1 @realScottWagner @aknancy077 @crimsonfaith88 @ScrewedHumans @1st5d @LakesideRules @IcyQueenBee @dwofford63 @ea_fuzz @ljbrilljr @KarenRo053061 @NikkiSchwab @ronaldauman @sandy___21 @luvnewinfo @wan2bherd @sohos1963 @RepMattGaetz @LouDobbs @benshapiro @Twitter @realDonaldTrump @FoxNews @POTUS @repgregwalden @Jim_Jordan @DevinNunes @RepMarkMeadows @GOPLeader What does that mean noooonooo,margojtjt,2018-12-02 07:49:48,Australia
RT @ByJohnLMicek: So this just happened @realScottWagner and @JohnFetterman meet in NYC https://t.co/DV4UEhjjnN,RennaJedmond,2018-12-02 06:36:40,
"RT @jackbgoode1: 2Eng-car266
@realScottWagner  &lt; -- Vote GOV PA
@aknancy077
@kb_maga 
@ScrewedHumans
@1st5d
@jackbgoode1
@4AmericanKat 
@Dv…",cindylogden,2018-12-02 06:20:58,"Los Angeles, CA"
@ByJohnLMicek @realScottWagner @JohnFetterman Which one threatened to stomp on his opponents face with golf spikes?,davidjablow,2018-12-02 05:41:26,"Philadelphia, PA."
"@ByJohnLMicek @realScottWagner @JohnFetterman @JohnFetterman 
Did you ask him where his gold spikes are?
🤣🤣🤣",rawkus68,2018-12-02 02:47:30,Eerie
"@ByJohnLMicek @realScottWagner @JohnFetterman Hey, look! It's an irrelevant shitbird who thought he could run a campaign on Trump's same division tactics! What a neat guy!",ToomeyMemes,2018-12-02 02:08:39,"Pennsylvania, USA"
"@ByJohnLMicek @realScottWagner @JohnFetterman Hey, other 49 states. Our LG can beat up your LG.",JeremyLopus,2018-12-02 01:55:02,
"@ByJohnLMicek @realScottWagner @JohnFetterman Ew, wtf?",adrienne215PHL,2018-12-02 00:24:33,"Philadelphia, PA"
RT @ByJohnLMicek: So this just happened @realScottWagner and @JohnFetterman meet in NYC https://t.co/DV4UEhjjnN,RepGordon,2018-12-01 23:34:23,"Lancaster County, PA"
RT @margojtjt: @guqigirl @Natashasjam @alley167 @Sabre3611 @Surfingcity @WeTheBase @kb_maga @misstifyd1 @NER1515 @NiteMare817 @Auntdiggie12…,ea_fuzz,2018-12-01 23:33:54,"Sanctuary State, CA"
RT @guqigirl: @margojtjt @Natashasjam @alley167 @Sabre3611 @Surfingcity @WeTheBase @kb_maga @misstifyd1 @NER1515 @NiteMare817 @Auntdiggie12…,ea_fuzz,2018-12-01 23:33:25,"Sanctuary State, CA"
RT @PersistentPrick: @ByJohnLMicek @realScottWagner @JohnFetterman Wagner isn’t fit to shine his shoes. #WorthlessWagner #ProvenQuitter #Se…,HectorWelds,2018-12-01 22:21:14,I’ve been eveywhere man...
@ByJohnLMicek @realScottWagner @JohnFetterman Negotiating with Spike to handle sanitation removal from the Inauguration celebration?,BradKrenicky,2018-12-01 21:58:40,"Plymouth Meeting, PA"
@ByJohnLMicek @realScottWagner @JohnFetterman Wagner isn’t fit to shine his shoes. #WorthlessWagner #ProvenQuitter #SenateCoward,PersistentPrick,2018-12-01 21:47:47,
"@ByJohnLMicek @realScottWagner @JohnFetterman This photo kind of sums up why I hate the PA Society circus, honestly. And why hold it in NYC? Imagine all the money being taken out of our state and spent in NY. I don't like the event. Or maybe they aren't at that?",exfkaty,2018-12-01 20:16:00,"Philadelphia, PA"
@ByJohnLMicek @realScottWagner @JohnFetterman Who was wearing golf shoes?,KLEHouser,2018-12-01 20:13:18,"Harrisburg, PA"
@ByJohnLMicek @realScottWagner @JohnFetterman Winner and loser side by side,marcoforehand,2018-12-01 20:01:37,wallyworld
RT @ByJohnLMicek: So this just happened @realScottWagner and @JohnFetterman meet in NYC https://t.co/DV4UEhjjnN,catebarron,2018-12-01 19:25:04,"Harrisburg, PA"
RT @ByJohnLMicek: So this just happened @realScottWagner and @JohnFetterman meet in NYC https://t.co/DV4UEhjjnN,liberale442,2018-12-01 19:14:20,"Mechanicsburg, PA"
@ByJohnLMicek @realScottWagner @JohnFetterman Fetterman is HUGE.,bfulton1,2018-12-01 19:10:36,"Harrisburg, Pennsylvania"
RT @ByJohnLMicek: So this just happened @realScottWagner and @JohnFetterman meet in NYC https://t.co/DV4UEhjjnN,WesleyLeckrone,2018-12-01 16:47:54,"Philadelphia, PA"
@margojtjt @Natashasjam @alley167 @Sabre3611 @Surfingcity @WeTheBase @kb_maga @misstifyd1 @NER1515 @NiteMare817 @Auntdiggie12 @jackbgoode1 @realScottWagner @aknancy077 @crimsonfaith88 @ScrewedHumans @1st5d @LakesideRules @IcyQueenBee @dwofford63 @ea_fuzz @ljbrilljr @KarenRo053061 @NikkiSchwab @ronaldauman @sandy___21 @luvnewinfo @wan2bherd @sohos1963 @RepMattGaetz @LouDobbs @benshapiro @Twitter @realDonaldTrump @FoxNews @POTUS @repgregwalden @Jim_Jordan @DevinNunes @RepMarkMeadows @GOPLeader O Noooo Nooo Noooo!!,guqigirl,2018-12-01 16:28:42,Backyard
@margojtjt @Natashasjam @alley167 @Sabre3611 @Surfingcity @WeTheBase @kb_maga @misstifyd1 @NER1515 @NiteMare817 @Auntdiggie12 @jackbgoode1 @realScottWagner @aknancy077 @crimsonfaith88 @ScrewedHumans @1st5d @LakesideRules @IcyQueenBee @dwofford63 @ea_fuzz @ljbrilljr @KarenRo053061 @NikkiSchwab @ronaldauman @sandy___21 @luvnewinfo @wan2bherd @sohos1963 @RepMattGaetz @LouDobbs @benshapiro @Twitter @realDonaldTrump @FoxNews @POTUS @repgregwalden @Jim_Jordan @DevinNunes @RepMarkMeadows @GOPLeader Ha ha ha ha haaa Was it Fantasy Island?,guqigirl,2018-12-01 15:59:13,Backyard
RT @margojtjt: @guqigirl @Natashasjam @alley167 @Sabre3611 @Surfingcity @WeTheBase @kb_maga @misstifyd1 @NER1515 @NiteMare817 @Auntdiggie12…,guqigirl,2018-12-01 15:58:24,Backyard
RT @margojtjt: @guqigirl @Natashasjam @alley167 @Sabre3611 @Surfingcity @WeTheBase @kb_maga @misstifyd1 @NER1515 @NiteMare817 @Auntdiggie12…,guqigirl,2018-12-01 15:56:18,Backyard
@ByJohnLMicek @realScottWagner @JohnFetterman Gross,hugetinymistake,2018-12-01 15:38:03,crispy crust
@hugetinymistake @realScottWagner @JohnFetterman Because he’s LG-elect?,ByJohnLMicek,2018-12-01 15:37:14,"Harrisburg, PA"
@ByJohnLMicek @realScottWagner @JohnFetterman Why did John go? 😶,hugetinymistake,2018-12-01 15:32:34,crispy crust
RT @ByJohnLMicek: So this just happened @realScottWagner and @JohnFetterman meet in NYC https://t.co/DV4UEhjjnN,RepGrove,2018-12-01 15:23:10,"York County, PA"
RT @ByJohnLMicek: So this just happened @realScottWagner and @JohnFetterman meet in NYC https://t.co/DV4UEhjjnN,katebarbreotter,2018-12-01 15:14:51,
RT @margojtjt: @guqigirl @Natashasjam @alley167 @Sabre3611 @Surfingcity @WeTheBase @kb_maga @misstifyd1 @NER1515 @NiteMare817 @Auntdiggie12…,trixidoodlexx,2018-12-01 15:05:07,"Florida, USA"
"Eat your heart out, @realScottWagner. https://t.co/QMtLHuEOhX",anthonyzarzycki,2018-12-01 15:03:46,Commonwealth of Pennsylvania
RT @margojtjt: @guqigirl @Natashasjam @alley167 @Sabre3611 @Surfingcity @WeTheBase @kb_maga @misstifyd1 @NER1515 @NiteMare817 @Auntdiggie12…,ljbrilljr,2018-12-01 14:54:39,Florida
@ByJohnLMicek @realScottWagner @JohnFetterman Bromance? No? I guess @JohnFetterman 's dance card is full what with being elected to help run #PAgovt.,EasttownDems,2018-12-01 14:48:16,Berwyn  |  Devon  |  Paoli
