Text,Handle,Time Created,Location
@The_RGA @KrisKobach1787 @SenatorKelly I’m really glad she schooled you,kvngonyo,2018-12-02 21:04:14,earth
@DisavowTrump20 @robert_flanagan @SenatorKelly BOT,CorbettMini,2018-12-01 05:22:56,"Glendale, AZ"
RT @FastBecky: I hear this in the college classes that I teach that young professionals don’t see Kansas as an inclusive and progressive th…,ProfChrisMJones,2018-11-29 22:57:29,"Topeka, KS"
RT @hbraum: @FastBecky @SenatorKelly Something else that needs to be brought up that’s a reality: much of rural KS still lacks decent broad…,ksucats96,2018-11-29 22:53:19,"Kansas, the Free State 🌻"
"@FastBecky @SenatorKelly Something else that needs to be brought up that’s a reality: much of rural KS still lacks decent broadband infrastructure &amp; cell phone tower dead zones are everywhere. With tech hubs housing costs skyrocketing, KS could offer small towns &amp; good schools, but w/o decent internet...",hbraum,2018-11-29 22:51:20,"Now=Columbia, SC; Home=KS"
"With Kansas’ newly elected Governor, @SenatorKelly, activists are hopeful that Medicaid expansion is on the table: https://t.co/IJEqhcZd6y",medicaidforMD,2018-11-29 19:30:02,
@WomanResistorNC @SenatorCollins @MovementVote @wichitanaacp @sherdngr @abbydphillip @SenatorKelly @ACLUofIL @PeopleOfDetroit @msstate @wichitaeagle @visitduluth @RWPUSA @maddow @cnnbrk @africareview https://t.co/mzqgy31iDf,biasbustersofks,2018-11-29 15:38:02,
RT @sonny_scroggins: @EmpathyCapable @LJW_KU @CJOnline @HowardU @MayorSlyJames @CrossLinesKCKS @TopekaMagazine @FortSmithNPS @biasbustersof…,sonny_scroggins,2018-11-29 15:08:05,United States
RT @joyforkansas: Got talent to lend to a great cause? Join @SenatorKelly team and help restore Kansas to its former self. #ksgov https://t…,Kate02976935,2018-11-29 14:10:49,
"Kansas Governor-elect @SenatorKelly will restore worker protections from discrimination when she arrives in office. @Sebelius had originally put the order in effect, but it was rescinded in 2015 #lgbt #equality #forwardthinking #future https://t.co/rWRdUZeRws",OutLeadership,2018-11-29 14:01:26,New York
I'm thrilled to see that this order - originally put in place in 2007 by our Board Member @Sebelius - is getting reinstated by @SenatorKelly! #lgbt #lgbtpride https://t.co/boylG4ChbB,toddsears,2018-11-29 14:00:54,"New York, NY"
RT @sonny_scroggins: @EmpathyCapable @LJW_KU @CJOnline @HowardU @MayorSlyJames @CrossLinesKCKS @TopekaMagazine @FortSmithNPS @biasbustersof…,biasbustersofks,2018-11-29 10:49:59,
@EmpathyCapable @LJW_KU @CJOnline @HowardU @MayorSlyJames @CrossLinesKCKS @TopekaMagazine @FortSmithNPS @biasbustersofks @SunVisor123 @SenatorKelly @PaulDavisKS @AP @UPI @JuneteenthDOC @Dumfries_House @DMVBlackLives @emporiagazette @salinajournal @MuskogeePhoenix @AAECWM @UPI @DennisGMoriarty https://t.co/AIzasULMYE,sonny_scroggins,2018-11-29 10:47:55,United States
@JerryMoran @ACLU @DeptVetAffairs  @MSNBC @SenatorKelly @aclukansas - This is part of legal contract government signs with service members and this VA thinks they can walk away? There is more fraud happening and I will be heard!  https://t.co/flKWJEe8Um,Alyon_Advocate,2018-11-29 04:57:49,"Kansas, USA"
"@FastBecky @SenatorKelly Becky, I know that this is an issue near and dear to your heart but What can be done to keep people in rural KS ? Especially the young ? @ksucats96",FumbleOffense4U,2018-11-29 03:06:34,United States
RT @FastBecky: I hear this in the college classes that I teach that young professionals don’t see Kansas as an inclusive and progressive th…,ReeserStan,2018-11-28 21:33:48,
"Kansas elected a Democrat governor, SenatorKelly , and the fight for Medicaid expansion continues. What’s next? Read  more here:  https://t.co/IJEqhcZd6y",medicaidforMD,2018-11-28 21:30:06,
RT @joyforkansas: Got talent to lend to a great cause? Join @SenatorKelly team and help restore Kansas to its former self. #ksgov https://t…,MattCalcara,2018-11-28 19:49:51,"Olathe, KS"
Got talent to lend to a great cause? Join @SenatorKelly team and help restore Kansas to its former self. #ksgov https://t.co/sbkFDsRDHF,joyforkansas,2018-11-28 19:19:50,"Leawood, KS"
I hear this in the college classes that I teach that young professionals don’t see Kansas as an inclusive and progressive thinking place to work and live and are looking to move after college perhaps @SenatorKelly changing the vision of Ks the out migration will lessen in time. https://t.co/uBwc9Th2ds,FastBecky,2018-11-28 17:23:33,NE Johnson Co KS
"@POTUS @FLOTUS @VP @SecondLady @IvankaTrump
@JerryMoran @SenPatRoberts
@SenatorKelly @DCFKansas @SecAzar @LeahRemini
Mind you, this is an American citizen who has done nothing wrong — and yet, this is how he’s treated by our courts. 
https://t.co/nSYLpPYGRM",HeidiBeal1,2018-11-28 17:17:03,
"@POTUS @FLOTUS @VP @SecondLady @SecAzar @IvankaTrump @JerryMoran
@SenPatRoberts @SenatorKelly
@DCFKansas @LeahRemini
If Constitutional principles and civil liberties were followed by all state actors, children would not be terrorized by our own government.
https://t.co/q6qpNvwobO",HeidiBeal1,2018-11-28 17:02:43,
"@POTUS @FLOTUS @VP @SecondLady @IvankaTrump
@JerryMoran @SenPatRoberts
@SenatorKelly @DCFKansas @LeahRemini
The right to due process is conspicuously absent from almost all CPS cases. Criminal courts would never get away with this. 
https://t.co/q6qpNvwobO",HeidiBeal1,2018-11-28 16:58:34,
"RT @HeidiBeal1: @POTUS @FLOTUS @VP @SecondLady @IvankaTrump
@SecAzar @JerryMoran @SenPatRoberts @SenatorKelly
@LeahRemini @DCFKansas
How sa…",tomb6582,2018-11-28 16:13:45,"Arbutus, MD"
"@tmservo433 @SollieFloraKS @womenalsoknow @sharicedavids @SenatorKelly @imwithmary @SenatorWagle I make no effort to hide my partisanship nor do I typically focus on identity politics. A lot of these, lets praise women tweets, selectively praise only the Progressive ones... if we are praising women generally, they exist in both parties is my point.",Ho8Go8L1N,2018-11-28 14:44:08,"Wichita, KS"
@tmservo433 @Ho8Go8L1N @womenalsoknow @sharicedavids @SenatorKelly @imwithmary @SenatorWagle I should add I can recognize others as successful political operatives without agreeing with them.,SollieFloraKS,2018-11-28 14:34:42,"Mission, KS"
"@SollieFloraKS @Ho8Go8L1N @womenalsoknow @sharicedavids @SenatorKelly @imwithmary @SenatorWagle My apologies Solie, I was referring to Nathan saying we should acknowledge others; I was asking him why he didn't do the same.  In regards to Hyde-Smith, part of acknowledging women is treating them as equals; which can mean acknowledging horrible policies some stand for...",tmservo433,2018-11-28 14:27:54,"Kansas, USA"
"@tmservo433 @Ho8Go8L1N @womenalsoknow @sharicedavids @SenatorKelly @imwithmary @SenatorWagle I've given several shout outs to Rep. Koesten, Rep. Clayton, and Sen. Bollier on the R side. Possibly others, but these are who come to mind. But we've also got some really great D women in JoCo/WyCo in the statehouse.",SollieFloraKS,2018-11-28 14:26:10,"Mission, KS"
@Ho8Go8L1N @SollieFloraKS @womenalsoknow @sharicedavids @SenatorKelly @imwithmary @SenatorWagle Enough with the identity politics Nathan.,LeviABx,2018-11-28 14:23:33,KS
RT @sonny_scroggins: @davidwood1121 @sharicedavids @sherman_news @Celia_LJ @KCStar @MayorSlyJames @DeadlineWH @TheDemCoalition @NBCNightlyN…,sonny_scroggins,2018-11-28 14:22:04,United States
