Text,Handle,Time Created,Location
🔥🔥🔥Call to Action: Spread the Word and Pack the Meeting on Wednesday December 12th🔥🔥🔥#Handmarked #PaperBallots #FairFightGeorgia #VoterSuppression #VotingRights #StaceyAbrams #FairFightAction #TeamAbrams #Vote #GeorgiaVoting #GAPol #BrianKemp https://t.co/kDQtPb81My,AVoiceForAllGA,2018-12-07 23:47:35,"Georgia, USA"
"i ready for @AndrewGillum or @staceyabrams to President 2020!!! 
governorship may not have been yours but with the organizing skills, momentum and values you both exerted in 2018, i don’t see a problem with a clean sweep.",KingB4MyTime,2018-12-07 23:45:10,Mt Zion
RT @rashadrobinson: Always great to be with the brilliant and visionary @staceyabrams. She is the future and I’m so excited about what is n…,csin1957,2018-12-07 23:44:45,United States
"@gwlauren @tbonier @staceyabrams Georgians wanted to see a plan to solve real problems, an inspiring vision, not the deluge of Identity-related grievances you offered. Clinton failed w/same strategy: ignore White mid &amp; working class, count on minorities to drown them out ...1/2",noIwonthavease1,2018-12-07 23:44:42,
@SarahRiggsAmico @staceyabrams @GeorgiaDemocrat @Barrow4Georgia @miller4georgia Nah!!! I like Georgia Red!!! #DemonRats don’t concede elections!!!,salt27doggy,2018-12-07 23:43:25,"Key Biscayne, FL"
RT @gwlauren: This is a key point re inaccurate GA exit polls by @tbonier. Our internal post election analysis is 93% of African American m…,barricko_bama,2018-12-07 23:31:03,
RT @gwlauren: This is a key point re inaccurate GA exit polls by @tbonier. Our internal post election analysis is 93% of African American m…,EJRunyon,2018-12-07 23:30:24,"Las Cruces, NM"
@rihanna @staceyabrams Inspiration it would be nice if you would visit belize,MichealFlower18,2018-12-07 23:29:58,"Houston, TX"
RT @gwlauren: This is a key point re inaccurate GA exit polls by @tbonier. Our internal post election analysis is 93% of African American m…,AVoiceForAllGA,2018-12-07 23:29:45,"Georgia, USA"
RT @DaraLind: This. One of the many incredible things about the @staceyabrams campaign was the group of women we had leading the team. Than…,rdbatson,2018-12-07 23:29:29,"New York, NY"
RT @gwlauren: Also exit polls get things wrong-- anyone with voter file access can figure out that @staceyabrams earned support levels in t…,th_pan,2018-12-07 23:25:19,
RT @emilyslist: “I’m going to move forward because going backward isn’t an option and standing still is not enough.” — @staceyabrams https:…,Ccjjoa,2018-12-07 23:19:20,
@NateSilver538 .@staceyabrams is an outstanding choice too.,cupcakekitty09,2018-12-07 23:19:09,
@jonfavs Dems need to get @staceyabrams and @AndrewGillum on board for messaging. How about a drumbeat for resignation? Why do they stay silent?,SpeakOutNow16,2018-12-07 23:15:04,
RT @KennyHamilton: Tomorrow in my home state of Georgia is very important. Please get out to the polls and vote!! @staceyabrams #StaceyAbra…,Alissa66569725,2018-12-07 23:14:49,"Paris, France"
"COMMENTARY: Democrats 2020 – Not the Person, but the Program - NNPA NEWSWIRE — Too many cities and states are willing to o ... | https://t.co/Xgkcqs8TNO | @DrJLastWord @staceyabrams @CoryBooker @Deval Patrick @SenWarren @JoeBiden @MichaelAvenatti @KamalaHarris @NNPA_BlackPress https://t.co/uFE0chp0cm",BlackPressUSA,2018-12-07 23:09:26,"Washington, DC"
RT @rashadrobinson: Always great to be with the brilliant and visionary @staceyabrams. She is the future and I’m so excited about what is n…,cmcc1975,2018-12-07 23:08:07,
@BrianLehrer @gwlauren @staceyabrams On a related note.     https://t.co/YQfRmcbFgY,EllybStrt,2018-12-07 23:06:46,
RT @gwlauren: This is a key point re inaccurate GA exit polls by @tbonier. Our internal post election analysis is 93% of African American m…,th_pan,2018-12-07 23:05:53,
"RT @gwlauren: It's pretty cute (sickening) when GOP leaders (@paulbennecke of the RGA in this case) accuse @staceyabrams of being a ""sore l…",th_pan,2018-12-07 23:03:58,
@aripaul does it again @staceyabrams &gt; @BetoORourke cause a winner who had her ein stolen &gt; someone who lost to TED CRUZ by a Texas mile. https://t.co/99wJEyqiho,cerejota,2018-12-07 22:59:06,new york city
"#FLASHBACKFRIDAY
President Barack Obama at the get out the vote rally with Stacey Abrams and Democratic candidates across Georgia. 📸: 323creativedesigns
#staceyabrams #presidentobama… https://t.co/UcMJzcg3a7",gospelscentral,2018-12-07 22:58:55,"Atlanta, GA"
"RT @RaqiyahMays: Ep22 #RealBlackNews w/@russellhornsby on roles in Creed II, The Hate U Give, &amp; black actor tips. Lawyer @shavarjeffries on…",KidsWhoBank,2018-12-07 22:57:56,"New York, USA"
"@thehill Hey remember when @jaketapper castigated @staceyabrams for questioning the validity of an election presided over a candidate that dropped a number of voters from the rolls many times the margin of said candidate's victory? 

Where's your outrage Mr. ""I stick to the facts""?",maybewerelost,2018-12-07 22:46:52,"California, USA"
