Text,Handle,Time Created,Location
@SteveSisolak @CaesarsEnt @OfficialCBC @HispanicCaucus Cool guy. Best of luck !!,LouDeSalvio,2018-12-08 00:12:21,"Las Vegas, Nevada"
karlos is so important he doesn't even need a twitter handle https://t.co/nyiSDqOTmn,tsegerblom,2018-12-08 00:09:34,"Las Vegas, Nevada"
"RT @SteveSisolak: This morning, we held the first meeting with my amazing Transition Advisory Committee. Honored to have these hardworking…",NewSweetpea,2018-12-07 22:53:09,
"RT @SteveSisolak: This morning, we held the first meeting with my amazing Transition Advisory Committee. Honored to have these hardworking…",beverlynichols,2018-12-07 22:53:07,"Las Vegas, NV ps it's Nevaaada like tha*t!"
RT @MickyWhiteNV: And the best part? It was just announced that Asha will be serving as Chief of Staff for Rep @StevenHorsford! She is my h…,NewSweetpea,2018-12-07 22:52:35,
"RT @SteveSisolak: This morning, we held the first meeting with my amazing Transition Advisory Committee. Honored to have these hardworking…",repdinatitus,2018-12-07 22:50:46,"Las Vegas, NV"
@SteveSisolak @CaesarsEnt @OfficialCBC @HispanicCaucus Swastika Sisolak's transition team is nothing more than socialists and union has beens.,sauteequickly,2018-12-07 22:47:42,United States
"RT @SteveSisolak: Asha Jones is not only director of government affairs for @CSNCoyote, but also a hardworking community advocate whose exp…",nfischerNV,2018-12-07 22:25:50,"Carson City, NV"
"RT @SteveSisolak: This morning, we held the first meeting with my amazing Transition Advisory Committee. Honored to have these hardworking…",ClarkDems,2018-12-07 22:16:35,"Clark County, Nevada"
"Transition advisory committee member Karlos LaSane is Regional VP of Government Relations &amp; Community Affairs @CaesarsEnt, where his extensive gaming &amp; hospitality industry experience and policy knowledge make him an invaluable liaison to the @OfficialCBC and @HispanicCaucus. https://t.co/KXmJeve27U",SteveSisolak,2018-12-07 21:35:01,"Nevada, USA"
RT @MickyWhiteNV: And the best part? It was just announced that Asha will be serving as Chief of Staff for Rep @StevenHorsford! She is my h…,mamajeanab,2018-12-07 21:05:59,
That’s my friend! So proud of her!!!!!! https://t.co/19vk48EFfh,katkinson702,2018-12-07 21:00:18,USA
"RT @SteveSisolak: Asha Jones is not only director of government affairs for @CSNCoyote, but also a hardworking community advocate whose exp…",FrankPerezNV,2018-12-07 20:55:06,"Reno, NV"
"RT @SteveSisolak: This morning, we held the first meeting with my amazing Transition Advisory Committee. Honored to have these hardworking…",GordyMcGregor,2018-12-07 20:53:37,"Sparks, NV"
RT @emmyruiz: Led by the one and only @MickyWhiteNV. No one better. #shero https://t.co/6WwrqaruE9,CeceliaLorraine,2018-12-07 20:47:26,
