State ,Name ,Twitter ,Party ,Handle
Alabama ,Tony Hewitt Jr ,No Page ,I ,No Page
Alabama ,Kay Ivey ,https://www.twitter.com/kayiveyforgov ,R ,kayiveyforgov
Alabama ,Eric Lathan ,No Page ,I ,No Page
Alabama ,Walt Maddox ,https://www.twitter.com/waltmaddox ,D ,waltmaddox
Alaska ,Mark Begich ,https://www.twitter.com/MarkBegich ,D ,MarkBegich
Alaska ,Mike J. Dunleavy ,No Page ,R ,No Page
Alaska ,Bill Walker ,No Twitter ,I ,No Twitter
Arizona ,Doug Ducey ,https://www.twitter.com/dougducey ,R ,dougducey
Arizona ,David Garcia ,https://www.twitter.com/dg4az ,D ,dg4az
Arizona ,Kevin McCormick ,No Twitter ,L ,No Twitter
Arkansas ,Asa Hutchinson ,https://www.twitter.com/wolfforpa ,R ,wolfforpa
Arkansas ,Jared Henderson ,https://www.twitter.com/JaredforGov ,D ,JaredforGov
Arkansas ,Mark West ,https://www.twitter.com/MarkWest4Gov ,L ,MarkWest4Gov
California ,John H. Cox ,No Twitter ,R ,No Twitter
California ,Gavin Newsom ,https://www.twitter.com/GavinNewsom ,D ,GavinNewsom
Colorado ,Marcus Giavanni ,No Twitter ,I ,No Twitter
Colorado ,Bill Hammons ,No Twitter ,UPA ,No Twitter
Colorado ,Scott Helker ,No Twitter ,L ,No Twitter
Colorado ,Jared Polis ,https://www.twitter.com/polisforco ,D ,polisforco
Colorado ,Walker Stapleton ,https://www.twitter.com/WalkerStapleton ,R ,WalkerStapleton
Connecticut ,Oz Griebel ,https://www.twitter.com/ozforgovct ,I ,ozforgovct
Connecticut ,Ned Lamont ,https://www.twitter.com/NedLamont ,D ,NedLamont
Connecticut ,Bob Stefanowski ,https://www.twitter.com/bobforgovernor ,R ,bobforgovernor
Connecticut ,Micah Welintukonis ,https://www.twitter.com/MWelintukonis ,I ,MWelintukonis
Florida ,Riquet Caballero ,https://twitter.com/riquet4liberty ,L ,riquet4liberty
Florida ,Ron DeSantis ,https://www.twitter.com/RonDeSantisFL ,R ,RonDeSantisFL
Florida ,Andrew Gillum ,https://www.twitter.com/AndrewGillum ,D ,AndrewGillum
Florida ,Darcy Richardson ,https://www.twitter.com/DarcyRichardson ,Reform ,DarcyRichardson
Georgia ,Stacey Abrams ,https://www.twitter.com/staceyabrams ,D ,staceyabrams
Georgia ,Brian Kemp ,https://twitter.com/BrianKempGA ,R ,BrianKempGA
Georgia ,Ted Metz ,https://twitter.com/tedmetz ,L ,tedmetz
Hawaii ,Selina Blackwell ,No Twitter ,I ,No Twitter
Hawaii ,Jim Brewer ,No Twitter ,G ,No Twitter
Hawaii ,David Ige ,https://twitter.com/GovHawaii ,D ,GovHawaii
Hawaii ,Eric Link ,No Page ,I ,No Page
Hawaii ,Terrence Teruya ,No Twitter ,I ,No Twitter
Hawaii ,Andria Tupola ,https://twitter.com/votetupola ,R ,votetupola
Idaho ,Paulette Jordan ,https://www.twitter.com/PauletteEJordan ,D ,PauletteEJordan
Idaho ,Brad Little ,https://www.twitter.com/LtGovBradLittle ,R ,LtGovBradLittle
Idaho ,Adam Philips ,No Page ,I ,No Page
Idaho ,Michael Richardson ,No Page ,I ,No Page
Idaho ,John Thomas Wiechec ,No Page ,I ,No Page
Illinois ,Kash Jackson ,https://www.twitter.com/kashjackson2018 ,L ,kashjackson2018
Illinois ,Sam McCann ,https://twitter.com/mccann_sam ,Conservative ,mccann_sam
Illinois ,Gregg Moore ,No Page ,I ,No Page
Illinois ,J. B. Pritzker ,https://twitter.com/jbpritzker ,D ,jbpritzker
Illinois ,Bruce Rauner ,https://www.twitter.com/BruceRauner ,R ,BruceRauner
Illinois ,Dock Walls ,https://twitter.com/dockwalls ,I ,dockwalls
Iowa ,Marco Battaglia ,https://www.twitter.com/marcobattaglia ,L ,marcobattaglia
Iowa ,Fred Hubbell ,https://www.twitter.com/fredhubbell ,D ,fredhubbell
Iowa ,Jake Porter ,https://www.twitter.com/jakedporter ,L ,jakedporter
Iowa ,Kim Reynolds ,https://twitter.com/IAGovernor ,R ,IAGovernor
Kansas ,Jeff Caldwell ,https://twitter.com/caldwellforks ,L ,caldwellforks
Kansas ,Ilan Cohen ,No Page ,I ,No Page
Kansas ,Aaron Coleman ,No Twitter ,I ,No Twitter
Kansas ,Max Correa ,No Page ,I ,No Page
Kansas ,Joe Larry Hunter ,No Page ,I ,No Page
Kansas ,Laura Kelly ,https://twitter.com/senatorkelly ,D ,senatorkelly
Kansas ,Rick Kloos ,https://www.twitter.com/kloosforkansas ,I ,kloosforkansas
Kansas ,Kris Kobach ,https://twitter.com/kriskobach1787 ,R ,kriskobach1787
Kansas ,Greg Orman ,https://www.twitter.com/GregOrman ,I ,GregOrman
Kansas ,Jared Rogers ,No Page ,I ,No Page
Kansas ,Nicholas Schreiber ,No Page ,I ,No Page
Kansas ,Conner Shelton ,https://twitter.com/shelton4kansas ,I ,shelton4kansas
Maine ,Kenneth Capron ,No Twitter ,I ,No Twitter
Maine ,Alan Caron ,https://twitter.com/alancaronforme ,I ,alancaronforme
Maine ,Aaron Chadbourne ,https://twitter.com/aaronchadbourne ,I ,aaronchadbourne
Maine ,Terry Hayes ,https://twitter.com/hayesformaine ,I ,hayesformaine
Maine ,John Jenkins ,No Twitter ,I ,No Twitter
Maine ,Janet Mills ,https://twitter.com/janetmillsforme ,D ,janetmillsforme
Maine ,Shawn Moody ,https://twitter.com/Moody4Gov ,R ,Moody4Gov
Maryland ,Larry Hogan ,https://www.twitter.com/LarryHogan ,R ,LarryHogan
Maryland ,Ben Jealous ,https://www.twitter.com/BenJealous ,D ,BenJealous
Massachusetts ,Charlie Baker ,https://www.twitter.com/BakerPolito ,R ,BakerPolito
Massachusetts ,Jay Gonzalez ,https://www.twitter.com/jay4ma ,D ,jay4ma
Michigan ,Bill Gelineau ,https://www.twitter.com/BillGelineau ,L ,BillGelineau
Michigan ,Jennifer Kurland ,https://www.twitter.com/kurland4mi ,G ,kurland4mi
Michigan ,Bill Schuette ,https://www.twitter.com/SchuetteOnDuty ,R ,SchuetteOnDuty
Michigan ,Gretchen Whitmer ,https://www.twitter.com/gretchenwhitmer ,D ,gretchenwhitmer
Minnesota ,Jeff Johnson ,https://twitter.com/mnjeffjohnson ,R ,mnjeffjohnson
Minnesota ,Jenny Rhoades ,No Page ,I ,No Page
Minnesota ,Tim Walz ,https://www.twitter.com/Tim_Walz ,DFL ,Tim_Walz
Minnesota ,Chris Wright ,No Twitter ,LMNP ,No Twitter
Nebraska ,Bob Krist ,https://www.twitter.com/bobkristne ,D ,bobkristne
Nebraska ,Pete Ricketts ,https://twitter.com/RickettsForGov ,R ,RickettsForGov
Nevada ,Adam Laxalt ,https://www.twitter.com/AdamLaxalt ,R ,AdamLaxalt
Nevada ,Steve Sisolak ,https://www.twitter.com/stevesisolak ,D ,stevesisolak
New Hampshire ,Jilletta Jarvis ,https://www.twitter.com/Jarvis4Gov ,L ,Jarvis4Gov
New Hampshire ,Molly Kelly ,https://www.twitter.com/NHMollyKelly ,D ,NHMollyKelly
New Hampshire ,Chris Sununu ,https://www.twitter.com/ChrisSununu ,R ,ChrisSununu
New Mexico ,Michelle Lujan Grisham ,http://twitter.com/Michelle4NM ,D ,Michelle4NM
New Mexico ,Steve Pearce ,https://www.twitter.com/pearce4nm ,R ,pearce4nm
New York ,Andrew Cuomo ,https://www.twitter.com/andrewcuomo ,D ,andrewcuomo
New York ,Howie Hawkins ,https://www.twitter.com/HowieHawkins ,G ,HowieHawkins
New York ,Stephanie Miner ,https://www.twitter.com/MinerForNY ,SAM ,MinerForNY
New York ,Marcus Molinaro ,https://www.twitter.com/marcmolinaro ,R ,marcmolinaro
New York ,Larry Sharpe ,https://www.twitter.com/LarrySharpe ,L ,LarrySharpe
Ohio ,Richard Cordray ,https://www.twitter.com/RichCordray ,D ,RichCordray
Ohio ,Mike DeWine ,https://www.twitter.com/MikeDeWine ,R ,MikeDeWine
Ohio ,Constance Gadell-Newton ,https://www.twitter.com/ConstanceForOH ,G ,ConstanceForOH
Oklahoma ,Kevin Stitt ,https://www.twitter.com/StittforGov ,R ,StittforGov
Oklahoma ,Drew Edmondson ,https://www.twitter.com/DrewForOklahoma ,D ,DrewForOklahoma
Oklahoma ,Chris Powell ,https://twitter.com/okcspowell ,L ,okcspowell
Oregon ,Kate Brown ,https://www.twitter.com/KateBrownForOR ,D ,KateBrownForOR
Oregon ,Knute Buehler ,https://www.twitter.com/KnuteBuehler ,R ,KnuteBuehler
Pennsylvania ,Ken Krawchuk ,https://www.twitter.com/KenK4Pa ,L ,KenK4Pa
Pennsylvania ,Scott Wagner ,https://twitter.com/realscottwagner ,R ,realscottwagner
Pennsylvania ,Tom Wolf ,https://www.twitter.com/WolfForPA ,D ,WolfForPA
Rhode Island ,Allan Fung ,https://www.twitter.com/MayorFung ,R ,MayorFung
Rhode Island ,Gina Raimondo ,https://www.twitter.com/GinaRaimondo ,D ,GinaRaimondo
Rhode Island ,Joe Trillo ,https://twitter.com/trilloforgov ,I ,trilloforgov
South Carolina ,Henry McMaster ,https://www.twitter.com/henrymcmaster ,R ,henrymcmaster
South Carolina ,James E. Smith Jr. ,https://twitter.com/jamessmithforsc ,D ,jamessmithforsc
South Dakota ,Kristi Noem ,http://twitter.com/RepKristiNoem ,R ,RepKristiNoem
South Dakota ,Billie Sutton ,https://twitter.com/billiehsutton ,D ,billiehsutton
Tennessee ,Karl Dean ,https://www.twitter.com/KarlFDean ,D ,KarlFDean
Tennessee ,Bill Lee ,https://twitter.com/BillLeeTN ,R ,BillLeeTN
Texas ,Greg Abbott ,https://www.twitter.com/GregAbbott_TX ,R ,GregAbbott_TX
Texas ,Mark Tippetts ,https://twitter.com/mark4gov ,L ,mark4gov
Texas ,Lupe Valdez ,https://www.twitter.com/LupeValdez ,D ,LupeValdez
Vermont ,Joseph Barney ,No Twitter ,I ,No Twitter
Vermont ,Christine Hallquist ,https://www.twitter.com/christineforvt ,D ,christineforvt
Vermont ,Phil Scott ,https://www.twitter.com/philscott4vt ,R ,philscott4vt
Wisconsin ,Phil Anderson ,https://www.twitter.com/4philanderson ,L ,4philanderson
Wisconsin ,Tony Evers ,https://www.twitter.com/Tony4WI ,D ,Tony4WI
Wisconsin ,Scott Walker ,https://www.twitter.com/ScottWalker ,R ,ScottWalker
Wisconsin ,Michael White ,No Twitter ,G ,No Twitter
Wyoming ,Mark Gordon ,https://www.twitter.com/mark_gordon_wy ,R ,mark_gordon_wy
Wyoming ,Rex Rammell ,https://twitter.com/RexRammell ,C ,RexRammell
Wyoming ,Mary Throne ,https://www.twitter.com/MaryforWyoming ,D ,MaryforWyoming
Wyoming ,Lawrence Struempf ,No Twitter ,L ,No Twitter
